timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
1743177450701379,1743177450701379,197388,-0.018859489,0.17977962,0.45972288,0.874381,0
1743177451701379,1743177451701379,197388,-0.014682685,0.19066788,0.45470694,0.9259892,0
1743177452701379,1743177452701379,197388,-0.013148938,0.18087688,0.46499532,-0.69725984,0
1743177453701379,1743177453701379,197388,-0.024791444,0.18543902,0.45843452,0.073124155,0
1743177454701379,1743177454701379,197388,-0.013719555,0.18457128,0.45500466,0.916504,0
1743177455701379,1743177455701379,197388,-0.013595194,0.1839047,0.45329466,-0.057496954,0
1743177456701379,1743177456701379,197388,-0.029820463,0.17186043,0.45322046,-0.09548555,0
1743177457701379,1743177457701379,197388,-0.022667062,0.17775238,0.45685554,-0.11951685,0
1743177458701379,1743177458701379,197388,-0.013462593,0.1960527,0.45048922,0.56793654,0
1743177459701379,1743177459701379,197388,-0.018740397,0.18590209,0.4561381,0.37164193,0
1743177460701379,1743177460701379,197388,-0.012637336,0.1850116,0.44606492,-0.9229721,0
1743177461701379,1743177461701379,197388,0.025950646,0.21393758,0.43057695,-0.38060102,0
1743177462701379,1743177462701379,197388,0.031328175,0.23937654,0.43566164,0.11417374,0
1743177463701379,1743177463701379,197388,0.030282415,0.23341905,0.42112234,-0.045990724,0
1743177464701379,1743177464701379,197388,0.029990857,0.23520273,0.4387989,0.35554457,0
1743177465701379,1743177465701379,197388,0.023905005,0.23285736,0.4339595,0.16491683,0
1743177466701379,1743177466701379,197388,0.035377745,0.2443106,0.4320196,-0.0014642816,0
1743177467701379,1743177467701379,197388,0.040623195,0.22802381,0.4345732,-0.3133494,0
1743177468701379,1743177468701379,197388,0.035738844,0.23087394,0.4358718,-0.1904427,0
1743177469701379,1743177469701379,197388,0.044102173,0.2350206,0.4290029,0.27685985,0
1743177470701379,1743177470701379,197388,0.14075376,0.21911013,0.41174427,0.1103623,0
1743177471701379,1743177471701379,197388,0.043071527,0.23132211,0.4324351,-0.6120624,0
1743177472701379,1743177472701379,197388,0.06732661,0.22670895,0.4313776,0.581014,0
1743177473701379,1743177473701379,197388,0.06592765,0.20477445,0.4385366,-0.7954397,0
1743177474701379,1743177474701379,197388,-0.04354636,0.2163596,0.44586834,-0.4745956,0
1743177475701379,1743177475701379,197388,-0.02427585,0.23732477,0.42997345,-0.31667134,0
1743177476701379,1743177476701379,197388,-0.13494113,0.21358569,0.42451146,-0.4695777,0
1743177477701379,1743177477701379,197388,-0.17067501,0.20006357,0.41761315,0.34872094,0
1743177478701379,1743177478701379,197388,-0.18982133,0.15758789,0.42469543,-0.17618704,0
1743177479701379,1743177479701379,197388,-0.20054173,0.11105215,0.43845734,0.14057893,0
1743177480701379,1743177480701379,197388,-0.19375183,0.052305352,0.44519612,-0.28910753,0
1743177481701379,1743177481701379,197388,-0.22268054,0.067898154,0.42580408,0.2013449,0
1743177482701379,1743177482701379,197388,0.11142668,0.22422314,0.4232911,-0.4333581,0
1743177483701379,1743177483701379,197388,0.10879012,0.17980869,0.44451195,-0.55338883,0
1743177484701379,1743177484701379,197388,0.011238529,0.18452616,0.45851207,0.3441637,0
1743177485701379,1743177485701379,197388,-0.06117418,0.1764144,0.46033624,-0.54422975,0
1743177486701379,1743177486701379,197388,-0.069116764,0.16783243,0.45968735,0.62326306,0
1743177487701379,1743177487701379,197388,-0.06935366,0.17391305,0.45556548,0.8097694,0
1743177488701379,1743177488701379,197388,-0.09170471,0.16795601,0.45142448,0.9647462,0
1743177489701379,1743177489701379,197388,-0.062274773,0.107876435,0.48123154,0.30309862,0
1743177490701379,1743177490701379,197388,-0.16332678,0.11386233,0.45039403,0.20357184,0
1743177491701379,1743177491701379,197388,-0.15037555,0.09200455,0.449865,-0.50221705,0
