timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
830004000,829886000,0.00071562995,0.0001388943,0.00064835796,1,0,0,0,0,0,0,0,0,0,0
831004000,830886000,0.00069641625,0.0001473524,0.0011043445,1,0,0,0,0,0,0,0,0,0,0
832036000,831914000,0.00052207574,6.7229965e-05,0.0011495919,1,0,0,0,0,0,0,0,0,0,0
833020000,832902000,0.00051354966,0.0005379769,0.0011178788,1,0,0,0,0,0,0,0,0,0,0
834012000,833890000,0.0006604115,0.00020400832,0.0014151455,1,0,0,0,0,0,0,0,0,0,0
834996000,834878000,0.0008698949,0.00032646424,0.0017107498,1,0,0,0,0,0,0,0,0,0,0
835828000,835710000,0.0006663685,0.00021026167,0.0011871468,1,0,0,0,0,0,0,0,0,0,0
837020000,836906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
838012000,837894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
838804000,838686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
839836000,839714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
841028000,840910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
842020000,841898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
843004000,842886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
844004000,843886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
845036000,844914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
846020000,845898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
847004000,846890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
847996000,847878000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
848828000,848710000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
850028000,849906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
851012000,850894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
851804000,851686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
852828000,852714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
854028000,853910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
855020000,854898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
856004000,855882000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
857004000,856886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
858036000,857918000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
859020000,858902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
860012000,859890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
860996000,860878000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
861828000,861710000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
863020000,862902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
864012000,863894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
864804000,864686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
865836000,865714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
867028000,866910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
868020000,867898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
869004000,868886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
870004000,869886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
