timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
829244000,-0.44873968,-1.1149832,0.14132428,-1.1102686,0.00061130716,-9.536559e-09,0.00051198504,0.699488,-5.9604645e-07,0.063999064,-0.063999064,0.0,4.0,-4.0,nan,nan,nan
829268000,-0.44876674,-1.1150061,0.14692244,nan,0.0,-5.09191e-07,-0.0010340014,0.69884807,-2.1219254e-05,-0.06528151,-0.095997214,0.0,0.0,-4.0,nan,nan,nan
829444000,-0.44927064,-1.1156696,0.14174144,nan,0.0,0.00051196944,-0.00051196944,0.69948804,0.06399809,-0.06399809,-0.06399809,4.0,-4.0,-4.0,nan,nan,nan
829644000,-0.4498484,-1.1162788,0.14152193,nan,0.0,0.00051197596,-0.00051197596,0.699488,0.0639985,-0.0639985,-0.0639985,4.0,-4.0,-4.0,nan,nan,nan
829844000,-0.4498945,-1.1167244,0.14168775,nan,0.0,0.00051197695,-0.00051197695,0.699488,0.06399856,-0.06399856,-0.06399856,4.0,-4.0,-4.0,nan,nan,nan
830044000,-0.44944578,-1.1171147,0.1418427,nan,0.0,0.00051196414,-0.00051196414,0.69948804,0.06399776,-0.06399776,-0.06399776,4.0,-4.0,-4.0,nan,nan,nan
830244000,-0.44889438,-1.1174407,0.14198314,nan,0.0,0.0005119929,-0.0005119929,0.699488,0.063999556,-0.063999556,-0.063999556,4.0,-4.0,-4.0,nan,nan,nan
830444000,-0.4489327,-1.1169103,0.14177707,nan,0.0,0.0005119639,-0.0005119639,0.69948804,0.063997746,-0.063997746,-0.063997746,4.0,-4.0,-4.0,nan,nan,nan
830644000,-0.44918656,-1.1167936,0.14147815,nan,0.0,0.0005119811,-0.0005119811,0.699488,0.06399882,-0.06399882,-0.06399882,4.0,-4.0,-4.0,nan,nan,nan
830844000,-0.4490236,-1.1169889,0.14134954,nan,0.0,0.0005119737,-0.0005119737,0.69948804,0.06399836,-0.06399836,-0.06399836,4.0,-4.0,-4.0,nan,nan,nan
831044000,-0.44849595,-1.1172137,0.14104311,nan,0.0,0.00051197404,-0.00051197404,0.69948804,0.06399838,-0.06399838,-0.06399838,4.0,-4.0,-4.0,nan,nan,nan
831244000,-0.4482533,-1.1176502,0.14071709,nan,0.0,0.0005119822,-0.0005119822,0.699488,0.063998885,-0.063998885,-0.063998885,4.0,-4.0,-4.0,nan,nan,nan
831444000,-0.44783854,-1.1178082,0.14049573,nan,0.0,0.00051198096,-0.00051198096,0.699488,0.06399881,-0.06399881,-0.06399881,4.0,-4.0,-4.0,nan,nan,nan
831644000,-0.44781604,-1.1179762,0.14075263,nan,0.0,0.0005119855,-0.0005119855,0.699488,0.063999094,-0.063999094,-0.063999094,4.0,-4.0,-4.0,nan,nan,nan
831844000,-0.44820648,-1.11792,0.14064252,nan,0.0,0.00051197753,-0.00051197753,0.699488,0.063998595,-0.063998595,-0.063998595,4.0,-4.0,-4.0,nan,nan,nan
832044000,-0.44854847,-1.1176097,0.14012481,nan,0.0,0.0005119675,-0.0005119675,0.69948804,0.06399797,-0.06399797,-0.06399797,4.0,-4.0,-4.0,nan,nan,nan
832244000,-0.44908717,-1.116824,0.14034697,nan,0.0,0.00051195215,-0.00051195215,0.69948804,0.06399701,-0.06399701,-0.06399701,4.0,-4.0,-4.0,nan,nan,nan
832444000,-0.4498593,-1.11627,0.13945957,nan,0.0,0.0005119936,-0.0005119936,0.699488,0.0639996,-0.0639996,-0.0639996,4.0,-4.0,-4.0,nan,nan,nan
