timestamp,load,ram_usage
829004000,0.24,0.31591663
829504000,0.25490198,0.31591365
830004000,0.22,0.31627038
830504000,0.25490198,0.31585544
831004000,0.24489796,0.31571862
831504000,0.21568628,0.31570616
832004000,0.26530612,0.31569424
832504000,0.2857143,0.31610718
833004000,0.26530612,0.31601414
833504000,0.24,0.31600818
834004000,0.26530612,0.31595892
834504000,0.19607843,0.31621066
835004000,0.26530612,0.3161624
835504000,0.25490198,0.3161853
836004000,0.2244898,0.31617534
836504000,0.24,0.31611267
837004000,0.19607843,0.31611267
837504000,0.28,0.31606987
838004000,0.26,0.31615195
838504000,0.3,0.31617683
839004000,0.24528302,0.31617683
839504000,0.32142857,0.3161639
840004000,0.26,0.31614947
840504000,0.26530612,0.31604946
841004000,0.27450982,0.31607634
841504000,0.22,0.31600967
842004000,0.22,0.3161241
842504000,0.28,0.3161629
843004000,0.24,0.3162067
843504000,0.28,0.3159485
844004000,0.22,0.31594598
844504000,0.22,0.3159604
845004000,0.26,0.31591612
845504000,0.19607843,0.3161231
846004000,0.24,0.316046
846504000,0.24,0.31607136
847004000,0.22,0.31611067
847504000,0.22,0.31621912
848004000,0.19607843,0.3161425
848504000,0.26,0.31609672
849004000,0.22,0.316145
849504000,0.24,0.31607983
850004000,0.22,0.316143
850504000,0.24,0.31612808
851004000,0.2,0.31612012
851504000,0.24193548,0.3162261
852004000,0.22,0.31624997
852504000,0.22,0.31628132
853004000,0.24,0.3162256
853504000,0.28,0.31613952
854004000,0.23529412,0.31618032
854504000,0.24489796,0.31615245
855004000,0.21568628,0.31603006
855504000,0.24,0.31599772
856004000,0.24,0.31585246
856504000,0.23529412,0.31587434
857004000,0.3,0.31611416
857504000,0.26,0.31615046
858004000,0.2,0.31604898
858504000,0.23529412,0.3161425
859004000,0.22,0.31639624
859504000,0.22,0.31639576
860004000,0.22,0.31627733
860504000,0.24,0.31623158
861004000,0.22,0.31623754
861504000,0.26,0.31624797
862004000,0.22,0.31644303
862504000,0.23529412,0.31642857
863004000,0.26,0.3164863
863504000,0.22,0.31636938
864004000,0.3773585,0.31635693
864504000,0.26530612,0.31634203
865004000,0.27450982,0.3161057
865504000,0.2857143,0.31612659
866004000,0.27450982,0.316145
866504000,0.33333334,0.31611463
867004000,0.24,0.31621215
867504000,0.26,0.31619078
868004000,0.22,0.31605643
868504000,0.3137255,0.3163286
869004000,0.24,0.31635395
869504000,0.26,0.31634548
870004000,0.28,0.3162823
870504000,0.28,0.31627584
871004000,0.24,0.31632012
871504000,0.21568628,0.31608877
872004000,0.26530612,0.31629825
872504000,0.26,0.31630817
873004000,0.24,0.3162878
873504000,0.24,0.3162246
874004000,0.23529412,0.31623703
874504000,0.26530612,0.31616738
875004000,0.25490198,0.31618828
875504000,0.24074075,0.3162649
876004000,0.37254903,0.31622162
876504000,0.24489796,0.316143
877004000,0.26,0.31646392
877504000,0.24,0.31646094
878004000,0.24,0.31635794
878504000,0.22,0.316143
879004000,0.22222222,0.3161485
879504000,0.18367347,0.28125504
880004000,0.2857143,0.28128687
880504000,0.26,0.28121972
881004000,0.26,0.28120828
881504000,0.21568628,0.28121823
882004000,0.20408164,0.28146002
882504000,0.24615385,0.28113562
883004000,0.28,0.2811436
883504000,0.26,0.281262
884004000,0.20408164,0.28125304
884504000,0.25396827,0.28129733
885004000,0.26,0.28127593
885504000,0.28,0.28127643
886004000,0.28,0.2813038
886504000,0.27450982,0.28121275
887004000,0.33333334,0.2812038
887504000,0.2857143,0.28105602
888004000,0.24489796,0.2810983
888504000,0.28,0.28105852
889004000,0.29411766,0.280959
889504000,0.2244898,0.28097445
890004000,0.26,0.2810048
890504000,0.3137255,0.28101125
891004000,0.22,0.28113413
891504000,0.26,0.28102168
892004000,0.22,0.28101572
892504000,0.24489796,0.28095952
893004000,0.21568628,0.2807819
893504000,0.24,0.28084856
894004000,0.26530612,0.2808799
894504000,0.25490198,0.28086945
895004000,0.26,0.2808013
895504000,0.23529412,0.28090528
896004000,0.22,0.2808968
896504000,0.26,0.28099385
897004000,0.26,0.28099483
897504000,0.24,0.28099334
898004000,0.24,0.28105056
898504000,0.24,0.28102517
899004000,0.26,0.28101772
899504000,0.26,0.28143963
900004000,0.25490198,0.2810187
