timestamp,safety_switch_available,safety_off
828504000,1,1
829512000,1,1
830520000,1,1
831528000,1,1
832528000,1,1
833536000,1,1
834544000,1,1
835552000,1,1
836560000,1,1
837568000,1,1
838576000,1,1
839576000,1,1
840584000,1,1
841592000,1,1
842600000,1,1
843608000,1,1
844616000,1,1
845624000,1,1
846632000,1,1
847640000,1,1
848648000,1,1
849656000,1,1
850664000,1,1
851672000,1,1
852680000,1,1
853688000,1,1
854696000,1,1
855704000,1,1
856712000,1,1
857720000,1,1
858728000,1,1
859736000,1,1
860744000,1,1
861752000,1,1
862760000,1,1
863768000,1,1
864776000,1,1
865784000,1,1
866792000,1,1
867800000,1,1
868808000,1,1
869816000,1,1
870824000,1,1
871832000,1,1
872840000,1,1
873848000,1,1
874856000,1,1
875864000,1,1
876872000,1,1
877880000,1,1
878888000,1,1
879892000,1,1
880900000,1,1
881908000,1,1
882916000,1,1
883924000,1,1
884932000,1,1
885940000,1,1
886948000,1,1
887956000,1,1
888964000,1,1
889972000,1,1
890972000,1,1
891980000,1,1
892988000,1,1
893996000,1,1
895004000,1,1
896012000,1,1
897020000,1,1
898028000,1,1
899036000,1,1
900044000,1,1
