timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
828276000,0,1,1,1,1,1,1,0,0,1,1
829276000,0,1,1,1,1,1,1,0,0,1,1
830276000,0,1,1,1,1,1,1,0,0,1,1
831276000,0,1,1,1,1,1,1,0,0,1,1
832276000,0,1,1,1,1,1,1,0,0,1,1
833276000,0,1,1,1,1,1,1,0,0,1,1
833316000,0,1,1,1,0,0,1,0,0,1,1
834316000,0,1,1,1,0,0,1,0,0,1,1
835316000,0,1,1,1,0,0,1,0,0,1,1
835364000,0,1,1,1,1,0,1,0,0,1,1
836148000,0,1,0,0,1,0,1,0,0,1,0
836156000,0,0,0,0,1,0,1,0,0,1,0
837156000,0,0,0,0,1,0,0,0,0,1,0
838156000,0,0,0,0,1,0,0,1,0,1,0
839156000,0,0,0,0,1,0,0,1,0,1,0
839180000,0,0,0,0,0,0,0,1,0,1,0
840180000,0,0,0,0,0,0,0,1,0,1,0
841180000,0,0,0,0,0,0,0,1,0,1,0
842180000,0,0,0,0,0,0,0,1,0,1,0
843180000,0,0,0,0,0,0,0,1,1,1,0
844180000,0,0,0,0,0,0,0,1,1,1,0
845180000,0,0,0,0,0,0,0,1,1,1,0
846180000,0,0,0,0,0,0,0,1,1,1,0
847180000,0,0,0,0,0,0,0,1,1,1,0
848180000,0,0,0,0,0,0,0,1,1,1,0
849180000,0,0,0,0,0,0,0,1,1,1,0
850180000,0,0,0,0,0,0,0,1,1,1,0
851180000,0,0,0,0,0,0,0,1,0,1,0
851324000,0,0,0,0,1,1,0,1,0,1,0
852324000,0,0,0,0,1,1,0,1,0,1,0
853324000,0,0,0,0,1,1,0,1,0,1,0
854324000,0,0,0,0,1,1,0,1,0,1,0
855324000,0,0,0,0,1,1,0,1,0,1,0
855660000,0,0,0,0,0,0,0,1,0,1,0
856660000,0,0,0,0,0,0,0,1,1,1,0
857660000,0,0,0,0,0,0,0,1,1,1,0
858660000,0,0,0,0,0,0,0,1,1,1,0
859660000,0,0,0,0,0,0,0,1,0,1,0
860660000,0,0,0,0,0,0,0,0,0,1,0
861660000,0,0,0,0,0,0,0,0,0,1,0
862660000,0,0,0,0,0,0,0,0,0,1,0
863660000,0,0,0,0,0,0,0,0,0,1,0
864660000,0,0,0,0,0,0,0,1,0,1,0
865660000,0,0,0,0,0,0,0,1,0,1,0
866660000,0,0,0,0,0,0,0,1,0,1,0
867660000,0,0,0,0,0,0,0,1,0,1,0
868660000,0,0,0,0,0,0,0,0,0,1,0
869660000,0,0,0,0,0,0,0,0,0,1,0
870660000,0,0,0,0,0,0,0,0,0,1,0
871660000,0,0,0,0,0,0,0,0,0,1,0
872660000,0,0,0,0,0,0,0,0,0,1,0
873660000,0,0,0,0,0,0,0,0,0,1,0
874660000,0,0,0,0,0,0,0,0,0,1,0
875660000,0,0,0,0,0,0,0,0,0,1,0
876660000,0,0,0,0,0,0,0,1,1,1,0
877660000,0,0,0,0,0,0,0,0,1,1,0
878660000,0,0,0,0,0,0,0,0,1,1,0
879660000,0,0,0,0,0,0,0,1,0,1,0
879788000,0,0,0,0,1,1,0,1,0,1,0
880788000,0,0,0,0,1,1,0,1,0,1,0
881788000,0,0,0,0,1,1,0,1,0,1,0
882788000,0,0,0,0,1,1,0,1,0,1,0
883788000,0,0,0,0,1,1,0,1,0,1,0
884788000,0,0,0,0,1,1,0,1,0,1,0
885788000,0,0,0,0,1,1,0,1,0,1,0
886788000,0,0,0,0,1,1,0,1,0,1,0
887788000,0,0,0,0,1,1,0,1,0,1,0
888788000,0,0,0,0,1,1,0,1,0,1,0
889788000,0,0,0,0,1,1,0,1,0,1,0
890788000,0,0,0,0,1,1,0,1,0,1,0
891788000,0,0,0,0,1,1,0,1,0,1,0
892788000,0,0,0,0,1,1,0,1,0,1,0
893788000,0,0,0,0,1,1,0,1,0,1,0
894788000,0,0,0,0,1,1,0,1,0,1,0
895788000,0,0,0,0,1,1,0,1,0,1,0
896468000,0,1,0,0,1,1,1,0,0,1,0
896828000,0,1,1,0,1,1,1,0,0,1,0
897164000,0,1,1,1,1,1,1,0,0,1,0
898164000,0,1,1,1,1,1,1,0,0,1,0
898380000,0,1,1,1,1,1,1,0,0,1,1
899380000,0,1,1,1,1,1,1,0,0,1,1
