timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
829580000,829500000,0.0902262,0.09022621,0.2027389,1.0015754,1.0015754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253612,0.0,0.0,nan,0.0,0.0,0.09032421,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
830084000,830004000,0.090161316,0.090161316,0.2026682,1.0015708,1.0015708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253606,0.0,0.0,nan,0.0,0.0,0.090324335,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
830580000,830500000,0.090161376,0.090161376,0.2026682,1.0015675,1.0015675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253597,0.0,0.0,nan,0.0,0.0,0.0903242,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
831084000,831004000,0.09011693,0.09011693,0.20262071,1.0015643,1.0015643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253592,0.0,0.0,nan,0.0,0.0,0.0903242,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
831580000,831500000,0.09010824,0.09010824,0.20261152,1.0015633,1.0015633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253583,0.0,0.0,nan,0.0,0.0,0.09032459,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
832084000,832004000,0.09010823,0.09010823,0.20261152,1.0015583,1.0015583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253576,0.0,0.0,nan,0.0,0.0,0.09032458,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
832580000,832500000,0.09004919,0.0900492,0.20254992,1.0015571,1.0015571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2535715,0.0,0.0,nan,0.0,0.0,0.09032432,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
833084000,833004000,0.09004919,0.09004919,0.20254992,1.0015522,1.0015522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253563,0.0,0.0,nan,0.0,0.0,0.090324186,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
833580000,833500000,0.090049185,0.090049185,0.20254992,1.0015506,1.0015506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253556,0.0,0.0,nan,0.0,0.0,0.090324186,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
834076000,833996000,0.09022636,0.09022637,0.2027389,1.001551,1.001551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253549,0.0,0.0,nan,0.0,0.0,0.090324305,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
834580000,834500000,0.09022633,0.09022634,0.20273888,1.0015478,1.0015478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253542,0.0,0.0,nan,0.0,0.0,0.09032431,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
835084000,835004000,0.09016135,0.09016136,0.2026682,1.0015435,1.0015435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253537,0.0,0.0,nan,0.0,0.0,0.09032445,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
835580000,835500000,0.09016127,0.09016128,0.2026682,1.0015403,1.0015403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253528,0.0,0.0,nan,0.0,0.0,0.09032469,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
836084000,836004000,0.09016134,0.090161346,0.2026682,1.0015372,1.0015372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253523,0.0,0.0,nan,0.0,0.0,0.090324804,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
836580000,836500000,0.09011693,0.09011693,0.20262071,1.0015357,1.0015357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253549,0.0,0.0,nan,0.0,0.0,0.0903248,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
837084000,837004000,0.09136994,0.09137008,0.20407191,1.00187,1.00187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253959,0.0,0.0,nan,0.0,0.0,0.09032493,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
837580000,837500000,0.09184789,0.09184792,0.20461619,1.0022008,1.002201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.255279,0.0,0.0,nan,0.0,0.0,0.09032491,0.0025366186,0.0025427402,0.0025475866,0.0,0.0,0.0,0.0,0.0,0.0
