timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
829956000,829956000,1310996,0.0171312,-0.0058802688,0.0013589368,13.515131,0,1
830956000,830956000,1310996,0.001936477,-0.0050199297,0.004980642,13.515131,0,1
831956000,831956000,1310996,-0.029427575,-0.0006317267,-0.0031903416,13.515131,0,1
832952000,832952000,1310996,0.021996962,-0.0034910126,-0.0010136575,13.515131,0,1
833956000,833956000,1310996,0.017987596,0.0023923903,-0.0045705144,13.515131,0,1
834956000,834956000,1310996,0.0048375344,0.0070766346,0.0006619856,13.515131,0,1
835956000,835956000,1310996,0.0068535907,-0.0004509936,-0.010411705,13.515131,0,1
836956000,836956000,1310996,0.008409935,-0.0064864024,0.0006192697,13.515131,0,1
837956000,837956000,1310996,0.097902976,-0.014018355,-0.0101689445,13.510309,0,1
838956000,838956000,1310996,-0.0030525557,-0.008062048,0.0002036135,13.503565,0,1
839956000,839956000,1310996,-0.016398828,0.006116797,0.0073594158,13.501032,0,1
840952000,840952000,1310996,0.17888995,0.1160218,0.0269503,13.501001,0,1
841956000,841956000,1310996,0.06663574,0.16748641,-0.02432924,13.498957,0,1
842956000,842956000,1310996,-0.0188617,-0.007709572,-0.011137591,13.494654,0,1
843956000,843956000,1310996,0.02186635,-0.025125792,-0.015479116,13.490381,0,1
844956000,844956000,1310996,-0.011428344,0.012512003,-0.03232849,13.4865055,0,1
845956000,845956000,1310996,-0.3858885,0.002063169,0.0062574474,13.482447,0,1
846956000,846956000,1310996,-0.008149662,0.024840295,-0.0045259884,13.478113,0,1
847956000,847956000,1310996,-0.061523065,0.0062261173,-0.009085231,13.473658,0,1
848956000,848956000,1310996,-0.01111689,0.025934441,-0.011186256,13.468744,0,1
849956000,849956000,1310996,0.013388764,-0.0007233966,-0.0013107314,13.4638,0,1
850956000,850956000,1310996,-0.22005461,-0.57791805,0.030710101,13.460413,0,1
851956000,851956000,1310996,0.086134985,0.02590475,-0.0041783424,13.463465,0,1
852952000,852952000,1310996,0.1973723,0.34164056,0.030597327,13.46734,0,1
853956000,853956000,1310996,0.008594426,0.12332419,0.00032577408,13.47143,0,1
854956000,854956000,1310996,0.4261022,0.025019445,-0.034433447,13.475885,0,1
855952000,855952000,1310996,0.6013071,1.5149223,-0.15224041,13.476465,0,1
856956000,856956000,1310996,-0.06728147,-0.20064014,0.026462479,13.452814,0,1
857956000,857956000,1310996,-0.05378806,-0.059071016,0.06524914,13.437342,0,1
858956000,858956000,1310996,-0.46456245,-3.3241942,-0.034068536,13.434412,0,1
859956000,859956000,1310996,0.028728627,0.17344603,-0.0017602314,13.434809,0,1
860956000,860956000,1310996,-0.055221595,0.03625016,-0.0055292,13.434473,0,1
861956000,861956000,1310996,-0.003777874,-0.023651302,-0.001795848,13.433741,0,1
862956000,862956000,1310996,-0.010435195,-0.004661939,0.0020014101,13.433069,0,1
863952000,863952000,1310996,-0.02745506,-0.019006621,0.0036011622,13.43255,0,1
864956000,864956000,1310996,0.0058782054,0.008321464,0.004206897,13.432337,0,1
865956000,865956000,1310996,-0.04231376,0.0032706365,0.0006444884,13.432245,0,1
866956000,866956000,1310996,0.013080628,-0.007604424,0.0049826545,13.432459,0,1
867956000,867956000,1310996,0.00826208,0.0023956797,0.0086493455,13.432886,0,1
868956000,868956000,1310996,-0.015681792,0.005578397,0.011084479,13.433405,0,1
869956000,869956000,1310996,-0.003375021,-0.013936696,-0.005945418,13.433924,0,1
870956000,870956000,1310996,0.006680973,-0.008303389,-0.0067060376,13.434351,0,1
871956000,871956000,1310996,0.013996154,0.00558801,-0.007847138,13.434656,0,1
872956000,872956000,1310996,-0.040497303,-0.005689594,0.0044874824,13.434931,0,1
873956000,873956000,1310996,-0.15498845,-0.06455707,0.015518897,13.435175,0,1
874956000,874956000,1310996,0.17065763,-0.01620856,-0.009100331,13.435389,0,1
875956000,875956000,1310996,0.15393803,-0.05430622,-0.0050699445,13.435022,0,1
876956000,876956000,1310996,-0.013139963,0.019281412,-0.0025652018,13.434259,0,1
877956000,877956000,1310996,-0.03166101,0.0055016023,-0.0085335355,13.433893,0,1
878956000,878956000,1310996,-0.3425991,0.07038323,-0.028263956,13.434015,0,1
879956000,879956000,1310996,-0.6276713,0.14893495,0.008612628,13.435572,0,1
880956000,880956000,1310996,0.32018346,-0.024545018,0.0078345025,13.441614,0,1
881956000,881956000,1310996,0.05700248,-0.017564304,-0.0049954867,13.447229,0,1
882952000,882952000,1310996,0.033430856,0.0019207154,-0.002865312,13.452967,0,1
883956000,883956000,1310996,-0.021258358,0.0048662676,0.0061986526,13.458918,0,1
884956000,884956000,1310996,-0.057491,0.0075177145,-0.006447322,13.464716,0,1
885956000,885956000,1310996,-0.004467634,-0.004870933,-0.0048503545,13.470087,0,1
886956000,886956000,1310996,-0.004314964,0.0051667048,0.001689906,13.475031,0,1
887956000,887956000,1310996,-0.01061956,0.0016986753,-0.004436386,13.479792,0,1
888952000,888952000,1310996,0.019217687,-0.0036595722,-0.0005801986,13.484125,0,1
889956000,889956000,1310996,-0.021021798,-0.0036852027,-0.0039601275,13.48855,0,1
890956000,890956000,1310996,0.0055391314,-0.009181749,-0.003993157,13.493067,0,1
891956000,891956000,1310996,0.00072376913,-0.000627494,0.008325597,13.497583,0,1
892956000,892956000,1310996,-0.010220021,-0.015074696,0.0018353178,13.501795,0,1
893956000,893956000,1310996,-0.011424479,0.0047956747,0.012180736,13.50625,0,1
894952000,894952000,1310996,0.013205537,-0.001332609,0.0043485947,13.510614,0,1
895956000,895956000,1310996,-0.0040279394,-0.0018626391,-0.0016839913,13.515009,0,1
896956000,896956000,1310996,-0.00066838245,-0.0036339741,0.0046554883,13.515131,0,1
897952000,897952000,1310996,0.056032024,-0.0035907915,-0.0026473901,13.515131,0,1
898956000,898956000,1310996,0.0037431929,-0.000829458,0.0032234027,13.515131,0,1
899956000,899956000,1310996,0.055816967,-0.0040176986,0.0027277265,13.515131,0,1
