timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
828460000,904000,1,1310988,6620172,1310988,197388,0.005079295,0.005180864,0.0051816306,0.005078496,0.0051803626,0.0049424483,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
829468000,904000,1,1310988,6620172,1310988,197388,0.0016269592,0.005856767,0.005854151,0.0016261635,0.005856767,0.0014510488,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
830476000,904000,1,1310988,6620172,1310988,197388,0.008152725,0.008216891,0.008216698,0.008153085,0.008217671,0.008291005,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
831484000,904000,1,1310988,6620172,1310988,197388,0.0027738097,0.0028247014,0.0028244688,0.0027746675,0.0028257153,0.0027824966,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
832492000,904000,1,1310988,6620172,1310988,197388,0.004180973,0.00421351,0.0042132717,0.0041816244,0.0042144824,0.00426989,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
833500000,904000,1,1310988,6620172,1310988,197388,0.005267176,0.0054459097,0.0054466235,0.0052665193,0.005445523,0.0051918575,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
834508000,904000,1,1310988,6620172,1310988,197388,0.0057580047,0.0058960356,0.005896765,0.005757343,0.005895611,0.0056222,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
835516000,904000,1,1310988,6620172,1310988,197388,0.007953413,0.008231802,0.008232298,0.007953943,0.00823233,0.007896958,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
836524000,904000,1,1310988,6620172,1310988,197388,0.009158879,0.008792672,0.008791922,0.009159629,0.008793108,0.009474945,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
837532000,904000,1,1310988,6620172,1310988,197388,0.0151590565,0.014426755,0.01600611,0.015159691,0.014432754,0.01443219,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
