timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
828812000,828732000,1311004,0.00030785328,-0.0023709855,0.0012651195,0.34906584,1.3787381e-07,1.3787306e-07,3.591373e-07,1311004,0.020678308,0.011671219,-0.13746634,0.4,0.0018052252,0.0018044943,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
829436000,829356000,1311004,0.00031837044,-0.0023614317,0.0012608567,0.34906584,1.3787732e-07,1.3787607e-07,3.5900513e-07,1311004,0.020681353,0.011678344,-0.13420255,0.4,0.0018052651,0.0018045319,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
829644000,829564000,1311004,0.0003113122,-0.0023573225,0.0012596492,0.34906584,1.3787029e-07,1.378705e-07,3.5896096e-07,1311004,0.020683901,0.011680098,-0.13631089,0.4,0.0018052772,0.0018045421,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
829852000,829772000,1311004,0.00031109454,-0.0023584308,0.0012583272,0.34906584,1.3787648e-07,1.3787631e-07,3.5891867e-07,1311004,0.020682627,0.011682444,-0.13335462,0.4,0.0018052902,0.0018045551,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
830268000,830188000,1311004,0.000315431,-0.0023661433,0.0012542582,0.34906584,1.3787978e-07,1.3787734e-07,3.5883195e-07,1311004,0.020680344,0.011682402,-0.13116637,0.4,0.001805319,0.0018045842,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
830476000,830396000,1311004,0.00032195623,-0.0023549772,0.0012539009,0.34906584,1.3787343e-07,1.3787172e-07,3.5879143e-07,1311004,0.020686371,0.011680887,-0.1323803,0.4,0.0018053304,0.0018045972,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
830684000,830604000,1311004,0.00031281085,-0.0023602785,0.0012509971,0.34906584,1.3787876e-07,1.3787748e-07,3.5874126e-07,1311004,0.020682003,0.01168291,-0.12997474,0.4,0.0018053433,0.001804609,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
831100000,831020000,1311004,0.000325459,-0.0023717456,0.0012472469,0.34906584,1.378811e-07,1.3787596e-07,3.5864926e-07,1311004,0.020682128,0.011674609,-0.12869169,0.4,0.0018053697,0.0018046347,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
831308000,831228000,1311004,0.00033278656,-0.0023793385,0.0012466509,0.34906584,1.3787533e-07,1.378679e-07,3.5860486e-07,1311004,0.020680435,0.011669793,-0.13122486,0.4,0.0018053798,0.001804645,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
831516000,831436000,1311004,0.00033531358,-0.0023917737,0.0012449772,0.34906584,1.378818e-07,1.3787202e-07,3.58556e-07,1311004,0.020678066,0.01166789,-0.12910901,0.4,0.0018053907,0.0018046591,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
831932000,831852000,1311004,0.0003360907,-0.002401862,0.0012415447,0.34906584,1.3787458e-07,1.3786352e-07,3.59036e-07,1311004,0.020676538,0.011665403,-0.13216029,0.4,0.0018054134,0.0018046827,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
832140000,832060000,1311004,0.00034126118,-0.0023994907,0.0012400054,0.34906584,1.3788194e-07,1.3787098e-07,3.5899475e-07,1311004,0.020677123,0.011663969,-0.1287889,0.4,0.0018054249,0.0018046935,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
832348000,832268000,1311004,0.00033582296,-0.002392432,0.0012362744,0.34906584,1.378725e-07,1.3786412e-07,3.5894945e-07,1311004,0.02067877,0.011669369,-0.13209322,0.4,0.0018054341,0.001804703,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
832556000,832476000,1311004,0.00033762105,-0.0024015077,0.0012358457,0.34906584,1.3786675e-07,1.3785655e-07,3.589022e-07,1311004,0.020678997,0.011666429,-0.13578711,0.4,0.0018054418,0.0018047126,0.00078123936,197388,0.004196182,-0.0008666845,0.00076545164,0.5,3.575006e-05,6.176619e-05,0.000118640666,1,1,1,0,1,0
