timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
846460000,846460000,1311004,1311004,7.189191e-05,9.609282e-05,-4.4694276e-05,0.011635536,-0.0035563775,-0.03863224,4000,4000,0,2,0
846960000,846960000,1311004,1311004,-2.2080643e-05,7.0783804e-05,-3.5168636e-05,0.011863372,-0.0037518393,-0.037882302,4000,4000,0,2,0
847460000,847460000,1311004,1311004,-4.700861e-06,-6.47611e-05,-0.00011314924,0.011848452,-0.0035854587,-0.038217228,4000,4000,0,2,0
847960000,847960000,1311004,1311004,-0.00022306913,1.3716348e-05,-9.585535e-06,0.011932618,-0.0030521431,-0.038338587,4000,4000,0,2,0
848460000,848460000,1311004,1311004,0.00011329732,-4.3543074e-05,-9.649156e-05,0.0117700985,-0.003518199,-0.037940428,4000,4000,0,2,0
848960000,848960000,1311004,1311004,-5.2626725e-05,8.9302346e-05,-6.174941e-05,0.01224683,-0.003546321,-0.037953325,4000,4000,0,2,0
849460000,849460000,1311004,1311004,-4.8389527e-05,-0.000121459045,-7.601713e-05,0.011275305,-0.0033562283,-0.038277782,4000,4000,0,2,0
849960000,849960000,1311004,1311004,6.9268775e-05,-3.5871929e-06,-1.0675891e-05,0.011491854,-0.0032915073,-0.038857497,4000,4000,0,2,0
850460000,850460000,1311004,1311004,-0.0012293118,-0.0015152819,-0.00026815027,0.011009002,-0.003683536,-0.038887765,4000,4000,0,2,0
850956000,850956000,1311004,1311004,-0.0008508002,-0.0022933893,0.00011646055,0.009903659,-0.0024122284,-0.035002977,4000,4000,0,2,0
851460000,851460000,1311004,1311004,-0.0005646868,-0.0015627863,1.3488917e-05,0.0033454748,-0.00053210394,-0.038997453,4000,4000,0,2,0
851960000,851960000,1311004,1311004,0.00034744156,0.000105590356,-3.5130033e-05,-0.0025800348,0.0019894214,-0.04155738,4000,4000,0,2,0
852460000,852460000,1311004,1311004,0.00060449843,0.000588092,7.9311714e-05,-0.0050078244,0.0020662365,-0.039071392,4000,4000,0,2,0
852956000,852956000,1311004,1311004,0.0007891408,0.00135767,0.00012520935,-0.005203599,0.00086833286,-0.03870936,4000,4000,0,2,0
853460000,853460000,1311004,1311004,-9.3683615e-05,5.652422e-05,4.4052627e-05,-0.0037682217,0.00015992206,-0.0398112,4000,4000,0,2,0
853960000,853960000,1311004,1311004,2.0997144e-05,0.0004871985,9.36607e-06,-0.00264237,-0.0006529042,-0.039070822,4000,4000,0,2,0
854460000,854460000,1311004,1311004,-0.00013676239,0.00010537224,7.987337e-06,-0.0015475224,-0.0016670087,-0.04065566,4000,4000,0,2,0
854960000,854960000,1311004,1311004,0.00072416983,0.00011303658,-6.414935e-05,-0.00037361623,-0.001460646,-0.0391231,4000,4000,0,2,0
855456000,855456000,1311004,1311004,-1.9077324e-06,3.646881e-05,-2.2011924e-05,0.00088049524,-0.0012561539,-0.039639823,4000,4000,0,2,0
855960000,855960000,1311004,1311004,0.0023118586,0.005628635,-0.00061317335,0.00090305984,-0.00015195359,-0.06622236,4000,4000,0,2,0
856456000,856456000,1311004,1311004,-0.0006781755,-0.0010927607,-0.00028128215,0.014389034,-0.004458299,-0.041984268,4000,4000,0,2,0
856956000,856956000,1311004,1311004,-0.000289882,-0.0007435715,0.000116768744,0.019113792,-0.0058643157,-0.032386534,4000,4000,0,2,0
857460000,857460000,1311004,1311004,-0.00030909173,-0.0016586139,0.00017100049,0.018792322,-0.0050755497,-0.021662975,4000,4000,0,2,0
857960000,857960000,1311004,1311004,-0.00022854886,-0.00023194127,0.00024199668,0.017329846,-0.0037160008,-0.030869316,4000,4000,0,2,0
858456000,858456000,1311004,1311004,7.4946845e-05,-0.00024288349,-5.279092e-06,0.012383373,-0.0017218378,-0.03633379,4000,4000,0,2,0
858960000,858960000,1311004,1311004,-0.0018667663,-0.013444963,-0.00014671829,0.009551505,-0.00024225297,-0.031776603,4000,4000,0,2,0
859460000,859460000,1311004,1311004,0.00027908455,0.0011941851,5.328179e-05,0.00018925722,0.0005543738,-0.041321177,4000,4000,0,2,0
859960000,859960000,1311004,1311004,9.123852e-05,0.00069551304,7.405432e-06,-0.0020234424,0.0006134807,-0.04054315,4000,4000,0,2,0
860456000,860456000,1311004,1311004,0.00031218343,0.00025443753,-6.5005726e-05,-0.0014667242,-1.1374129e-05,-0.04030486,4000,4000,0,2,0
860956000,860956000,1311004,1311004,-0.00024529692,0.00012947977,-4.042784e-06,-0.0006710147,-0.0016874583,-0.03464246,4000,4000,0,2,0
861460000,861460000,1311004,1311004,-2.0725385e-05,3.5619916e-05,-2.532216e-05,0.0004054941,-0.0014135711,-0.03966054,4000,4000,0,2,0
861956000,861956000,1311004,1311004,-1.5949867e-05,-7.470774e-05,-7.73726e-06,0.0004630847,-0.0013211366,-0.039558817,4000,4000,0,2,0
862460000,862460000,1311004,1311004,-7.520038e-05,-9.379992e-05,-3.6674287e-06,0.0006829388,-0.0013178781,-0.039464712,4000,4000,0,2,0
862956000,862956000,1311004,1311004,-5.437687e-05,-2.9317644e-05,1.5358646e-06,0.0008192353,-0.0007548019,-0.039410803,4000,4000,0,2,0
863456000,863456000,1311004,1311004,-1.18127355e-05,-2.0923817e-05,3.6157096e-05,0.0006598646,-0.000805418,-0.0400683,4000,4000,0,2,0
863956000,863956000,1311004,1311004,-9.357238e-05,-5.7250214e-05,6.95325e-07,0.0009386958,-0.0002223596,-0.03989484,4000,4000,0,2,0
864456000,864456000,1311004,1311004,3.7942576e-05,1.8789535e-05,1.6656786e-05,0.00081825914,-0.0007596632,-0.039233185,4000,4000,0,2,0
864956000,864956000,1311004,1311004,2.8522472e-05,4.3683525e-05,2.3419312e-05,0.0009612034,-0.000481806,-0.03915736,4000,4000,0,2,0
865456000,865456000,1311004,1311004,2.991086e-05,-4.3585642e-05,4.070064e-05,0.0011397642,-0.00010378942,-0.03951032,4000,4000,0,2,0
865956000,865956000,1311004,1311004,-0.00018973477,1.9305287e-05,1.631307e-05,0.0009047325,-0.0005840566,-0.038792253,4000,4000,0,2,0
866460000,866460000,1311004,1311004,0.00013808405,-1.0025773e-05,1.6305285e-05,0.0007321967,-0.00034902518,-0.039633922,4000,4000,0,2,0
866960000,866960000,1311004,1311004,5.615681e-05,-3.6430072e-05,7.650031e-06,0.0012079289,-0.0007361958,-0.04014965,4000,4000,0,2,0
867460000,867460000,1311004,1311004,0.0010482152,1.4837229e-05,-7.129003e-05,0.0004563225,0.0011770825,-0.038405158,4000,4000,0,2,0
867960000,867960000,1311004,1311004,4.3289434e-05,8.164568e-06,3.0326715e-05,0.00052490237,-0.0004303858,-0.039671957,4000,4000,0,2,0
868460000,868460000,1311004,1311004,-5.8104757e-05,2.352216e-05,-1.31928e-05,0.00059360865,-0.00065262173,-0.039573167,4000,4000,0,2,0
868956000,868956000,1311004,1311004,-6.582192e-05,1.9672178e-05,1.0541463e-05,0.00077944587,-6.2540406e-05,-0.039657686,4000,4000,0,2,0
869460000,869460000,1311004,1311004,-1.8884715e-05,-3.671107e-05,1.8180208e-05,0.0007324443,0.00013335007,-0.04000379,4000,4000,0,2,0
869960000,869960000,1311004,1311004,-3.411806e-05,-7.560297e-05,1.1800154e-06,0.00048091894,-0.00072159217,-0.040044256,4000,4000,0,2,0
870456000,870456000,1311004,1311004,0.00073884387,-2.7601478e-05,-5.1618736e-05,0.00013974715,-0.0005558705,-0.038976584,4000,4000,0,2,0
870960000,870960000,1311004,1311004,2.9165021e-05,-2.1527456e-05,-1.0941116e-06,0.00018910105,-0.0001127302,-0.039745215,4000,4000,0,2,0
871460000,871460000,1311004,1311004,-3.14985e-05,-2.558161e-05,-1.1353844e-06,0.0007659937,-0.00026902996,-0.039803535,4000,4000,0,2,0
871960000,871960000,1311004,1311004,6.1238155e-05,9.6229505e-06,-2.2298063e-05,0.0008448054,4.1130046e-05,-0.03968653,4000,4000,0,2,0
