timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,accel_calibration_count,gyro_calibration_count
829264000,0.0018642164,-0.0055926405,-0.0047936863,4000,0,0.23081312,-0.2357692,-9.9828205,4000,0,2,0
829268000,-0.0013315887,-0.0074568484,-0.0021305364,4000,0,0.25355804,-0.19267356,-9.9912,4000,0,2,0
829272000,-0.0045273807,-0.007989482,-7.84655e-09,4000,0,0.23440444,-0.16274603,-9.956485,4000,0,2,0
829276000,-0.0029294784,-0.0047936896,0.00026631547,4000,0,0.19849141,-0.15197213,-9.906205,4000,0,2,0
829280000,-0.0029294793,-0.0021305287,0.0010652619,4000,0,0.169761,-0.13521272,-9.894236,4000,0,2,0
829284000,-0.006657903,-0.0010652663,0.00053262856,4000,0,0.13743927,-0.11845331,-9.87987,4000,0,2,0
829288000,0.0066579035,-0.0029294759,0.00026632493,4000,0,0.12666535,-0.14838083,-9.912193,4000,0,2,0
829292000,0.008788431,-0.0026631672,0.00292948,4000,0,0.13145377,-0.20943297,-9.939727,4000,0,2,0
829300000,-0.023702135,0.001065241,0.0005326396,4000,0,0.16257837,-0.0011374123,-9.873885,4000,0,2,0
829308000,0.020772656,-0.005060015,0.004527376,4000,0,0.23201023,-0.2537257,-9.839168,4000,0,2,0
829312000,-0.0021305287,-0.003728449,0.0029294484,4000,0,0.1972943,-0.281259,-9.642845,4000,0,2,0
829316000,-0.0098536955,-0.0015979059,0.0007989374,4000,0,0.16856389,-0.19746196,-9.665589,4000,0,2,0
829320000,-0.0050600055,-0.0015978983,2.5253857e-09,4000,0,0.17574649,-0.12204461,-10.158795,4000,0,2,0
829324000,0.007190537,-0.00079894986,-0.0007989432,4000,0,0.14941029,-0.14359242,-10.246183,4000,0,2,0
829332000,-0.00026631617,0.0013315814,-0.00026631184,4000,0,0.14701606,-0.10767939,-9.8631115,4000,0,2,0
829336000,-0.0015978968,0.0039947424,-0.00053263194,4000,0,0.15180448,-0.06817507,-9.851139,4000,0,2,0
829340000,-0.0037284235,0.0015978984,0.0015979009,4000,0,0.13145377,-0.1016939,-9.858321,4000,0,2,0
829344000,-0.0031957896,-0.002396841,0.004793695,4000,0,0.16736679,-0.13281852,-9.861915,4000,0,2,0
829352000,0.002929476,0.000532636,0.0010652668,4000,0,0.22003923,-0.16394313,-9.848744,4000,0,2,0
829356000,-0.0021305294,0.00079894665,0.0010652656,4000,0,0.1733523,-0.21063009,-9.839168,4000,0,2,0
829364000,-0.0037284305,-0.0015978952,0.007723166,4000,0,0.1960972,-0.13521272,-9.881068,4000,0,2,0
829368000,-0.0037284298,0.0007989434,0.003728423,4000,0,0.1745494,-0.13281852,-9.968457,4000,0,2,0
829372000,-0.002929474,-0.0026631646,0.00026632016,4000,0,0.121876955,-0.16753446,-9.973243,4000,0,2,0
829380000,-0.007723166,-0.0058589554,-0.006125273,4000,0,0.12905955,-0.1256359,-9.963666,4000,0,2,0
829384000,-0.0007989495,-0.0055926517,-0.0053263097,4000,0,0.10631464,-0.102891,-9.770934,4000,0,2,0
829392000,0.00026632028,-0.0015978899,-0.012250544,4000,0,0.09194943,-0.16035183,-10.150415,4000,0,2,0
829396000,-0.0074568572,-0.0023968136,-0.0069242227,4000,0,0.13025665,-0.117256194,-10.271323,4000,0,2,0
829404000,-0.0063915886,-0.008522116,0.00026634987,4000,0,0.12307406,-0.14239532,-9.883462,4000,0,2,0
829408000,-0.0007989462,-0.008255803,-0.00053261704,4000,0,0.12666535,-0.1088765,-9.932543,4000,0,2,0
829412000,-2.0804458e-09,-0.0034621092,0.0005326331,4000,0,0.16377547,-0.11486201,-9.94571,4000,0,2,0
829416000,-0.001331581,-0.002929478,0.0007989469,4000,0,0.20208272,-0.14598662,-9.952893,4000,0,2,0
829420000,-0.0034621086,-0.002929479,-0.0005326345,4000,0,0.169761,-0.14598662,-9.994793,4000,0,2,0
829424000,-0.0021305294,-0.0010652646,-0.00026631702,4000,0,0.121876955,-0.09451129,-9.990003,4000,0,2,0
829428000,-0.0013315812,-0.002929477,0.0007989499,4000,0,0.13624217,-0.09451129,-9.936133,4000,0,2,0
829432000,-0.0045273746,-0.0042610597,0.0005326297,4000,0,0.15539579,-0.123241715,-9.9433155,4000,0,2,0
829440000,0.0085221175,-0.0015979009,-0.0018642109,4000,0,0.20806822,-0.18549098,-9.791284,4000,0,2,0
829448000,0.0074568484,0.00026631492,0.003994749,4000,0,0.12546825,-0.14359242,-10.24738,4000,0,2,0
829452000,-0.0034621086,-0.0007989544,0.00053263054,4000,0,0.16018417,-0.1292272,-9.988807,4000,0,2,0
829456000,-0.009587379,-0.0047936942,-0.0015978941,4000,0,0.16257837,-0.08613159,-9.84276,4000,0,2,0
829460000,-0.0042610625,-0.0039947345,0.0015979027,4000,0,0.15539579,-0.105285205,-9.810437,4000,0,2,0
829468000,-0.0015978918,-0.005326326,-0.0031957899,4000,0,0.15419869,-0.24774021,-9.855928,4000,0,2,0
829472000,-0.0013315825,-0.0074568526,-0.0034621086,4000,0,0.21046242,-0.18549095,-9.858321,4000,0,2,0
829476000,-4.3500235e-09,-0.0031957936,0.00026631754,4000,0,0.22243343,-0.14359242,-9.908601,4000,0,2,0
829480000,0.0015978949,0.0007989486,0.0015978987,4000,0,0.20088562,-0.17591414,-9.931346,4000,0,2,0
829484000,0.005326322,0.0010652674,-8.32499e-10,4000,0,0.193703,-0.16394313,-9.921769,4000,0,2,0
829492000,0.0053263227,-0.0034621174,0.003462101,4000,0,0.20447692,-0.15556344,-9.934936,4000,0,2,0
829496000,0.0034621134,-0.0058589564,0.0026631549,4000,0,0.20687112,-0.15436634,-9.981624,4000,0,2,0
829500000,0.00852212,-0.004793683,0.0007989595,4000,0,0.18532331,-0.19506778,-9.794876,4000,0,2,0
829508000,0.004793689,-0.005858957,0.0002663067,4000,0,0.11349724,-0.22619238,-10.183934,4000,0,2,0
829516000,-0.012250543,-0.00053263817,-0.00026633803,4000,0,0.14342476,-0.08732868,-10.034297,4000,0,2,0
829520000,-0.00079894776,0.004793686,-0.0010652842,4000,0,0.11828564,-0.09211709,-9.899024,4000,0,2,0
829528000,-0.0013315665,0.0010652577,0.007989487,4000,0,0.19130881,-0.15556344,-9.990003,4000,0,2,0
829532000,-0.0031957733,-0.006657909,0.007190539,4000,0,0.19250591,-0.19147648,-9.98282,4000,0,2,0
829540000,0.0013315849,-0.0082558,0.00026633064,4000,0,0.16856389,-0.18429387,-9.97085,4000,0,2,0
829544000,0.0031957899,-0.001065265,0.0013315891,4000,0,0.20327982,-0.14359242,-9.984018,4000,0,2,0
829548000,-0.0034621102,0.0013315781,0.0010652649,4000,0,0.19011171,-0.17711124,-9.94212,4000,0,2,0
829556000,0.009054748,-0.006924217,0.0026631693,4000,0,0.12905955,-0.26449963,-9.708685,4000,0,2,0
829560000,0.011984226,-0.0055926363,0.0026631719,4000,0,0.14821316,-0.18189965,-10.125276,4000,0,2,0
829564000,0.011717907,-0.0013315808,0.0026631781,4000,0,0.21165952,-0.09690549,-10.254562,4000,0,2,0
829572000,-0.009587378,-0.0034621144,-0.0015978971,4000,0,0.23320733,-0.07056926,-9.906205,4000,0,2,0
829576000,-0.002396853,-0.0053263064,0.0045273886,4000,0,0.20208272,-0.09091998,-9.910996,4000,0,2,0
829580000,0.0026631532,-0.0071905223,0.010652656,4000,0,0.23679864,-0.15795763,-9.93374,4000,0,2,0
829588000,0.0021305438,-0.0058589494,-0.00079895,4000,0,0.193703,-0.07775188,-9.972047,4000,0,2,0
829596000,0.0010652608,-0.0037284275,0.0007989474,4000,0,0.21285662,-0.11007361,-9.890645,4000,0,2,0
829600000,0.0015978984,-0.002929477,-0.00053263135,4000,0,0.19849141,-0.1064823,-9.890645,4000,0,2,0
829604000,0.0010652668,-0.0031957922,-0.0029294784,4000,0,0.13863637,-0.14598662,-9.907403,4000,0,2,0
829608000,-0.00053263473,-0.0050600045,-0.0023968476,4000,0,0.117088534,-0.16873156,-9.914586,4000,0,2,0
829612000,0.0010652627,-0.0055926405,-0.0015978942,4000,0,0.14941029,-0.15316924,-9.883462,4000,0,2,0
829620000,0.006125266,-0.0015979043,0.0034621141,4000,0,0.12786245,-0.12563592,-9.688333,4000,0,2,0
829624000,0.0023968462,-0.002663167,0.003994738,4000,0,0.16736679,-0.1280301,-10.139642,4000,0,2,0
829628000,0.0055926433,-0.0042610513,0.001065266,4000,0,0.16616969,-0.1136649,-10.223439,4000,0,2,0
829632000,-0.003195789,-0.0045273714,-0.0023968583,4000,0,0.14701606,-0.07775188,-9.9828205,4000,0,2,0
829636000,-0.007190535,-0.0050600036,-0.0031957994,4000,0,0.16497257,-0.07775188,-9.913389,4000,0,2,0
829640000,-0.0010652647,-0.0029294807,-0.0018642078,4000,0,0.16497257,-0.15197213,-9.9086,4000,0,2,0
829648000,-0.0039947424,-0.0026631611,-0.0034621097,4000,0,0.09434364,-0.18309677,-9.9086,4000,0,2,0
829652000,-0.0047936896,-0.0031957948,-0.00479369,4000,0,0.10870884,-0.17591414,-9.931346,4000,0,2,0
