timestamp,main_state_changes,main_state
21726360000,173,11
21726864000,173,11
21727368000,173,11
21727392000,173,11
21727896000,173,11
21728400000,173,11
21728904000,173,11
21729408000,173,11
21729912000,173,11
21730284000,174,7
21730788000,174,7
21731296000,174,7
21731800000,174,7
21732292000,174,7
21732796000,174,7
21733300000,174,7
21733804000,174,7
21734308000,174,7
21734812000,174,7
21735320000,174,7
21735824000,174,7
21736328000,174,7
21736832000,174,7
21737252000,174,7
21737312000,174,7
21737468000,174,7
21737972000,174,7
21738476000,174,7
21738980000,174,7
21739172000,175,8
21739676000,175,8
21740180000,175,8
21740288000,175,8
21740792000,175,8
21741296000,175,8
21741800000,175,8
21742304000,175,8
21742808000,175,8
21743312000,175,8
21743816000,175,8
21744320000,175,8
21744824000,175,8
21745328000,175,8
21745832000,175,8
21746336000,175,8
21746840000,175,8
21747344000,175,8
21747848000,175,8
21748352000,175,8
21748856000,175,8
21749360000,175,8
21749864000,175,8
21750368000,175,8
21750872000,175,8
21751376000,175,8
21751880000,175,8
21752384000,175,8
21752888000,175,8
21753392000,175,8
21753896000,175,8
21754400000,175,8
21754904000,175,8
21755408000,175,8
21755912000,175,8
21756416000,175,8
21756920000,175,8
21757424000,175,8
21757928000,175,8
21758432000,175,8
21758936000,175,8
21759440000,175,8
21759944000,175,8
21760448000,175,8
21760952000,175,8
21761456000,175,8
21761960000,175,8
21762464000,175,8
21762968000,175,8
21763472000,175,8
21763976000,175,8
21764480000,175,8
21764984000,175,8
21765488000,175,8
21765992000,175,8
21766496000,175,8
21767000000,175,8
21767504000,175,8
21768008000,175,8
21768512000,175,8
21769016000,175,8
21769520000,175,8
21770024000,175,8
21770528000,175,8
21771032000,175,8
21771536000,175,8
21772040000,175,8
21772544000,175,8
21773048000,175,8
21773552000,175,8
21774056000,175,8
21774560000,175,8
21775064000,175,8
21775568000,175,8
21776072000,175,8
21776576000,175,8
21777080000,175,8
21777584000,175,8
21778088000,175,8
21778592000,175,8
21779096000,175,8
21779600000,175,8
21780104000,175,8
21780608000,175,8
21781112000,175,8
21781616000,175,8
21782120000,175,8
21782624000,175,8
21783128000,175,8
21783632000,175,8
21784136000,175,8
21784640000,175,8
21785144000,175,8
21785648000,175,8
21786152000,175,8
21786656000,175,8
21787160000,175,8
21787664000,175,8
21788168000,175,8
21788672000,175,8
21789176000,175,8
21789680000,175,8
21790184000,175,8
21790688000,175,8
21791192000,175,8
21791696000,175,8
21792200000,175,8
21792704000,175,8
21793208000,175,8
21793712000,175,8
21794216000,175,8
21794720000,175,8
21795224000,175,8
21795728000,175,8
21796232000,175,8
21796736000,175,8
21797240000,175,8
21797744000,175,8
21798248000,175,8
21798752000,175,8
21799256000,175,8
21799760000,175,8
21800264000,175,8
21800768000,175,8
21801272000,175,8
21801776000,175,8
21802280000,175,8
21802784000,175,8
21803288000,175,8
21803792000,175,8
21804296000,175,8
21804800000,175,8
21805304000,175,8
21805808000,175,8
21806312000,175,8
21806348000,176,11
21806852000,176,11
21807356000,176,11
21807860000,176,11
21808364000,176,11
21808724000,176,11
21809228000,176,11
21809732000,176,11
21810236000,176,11
21810740000,176,11
21811244000,176,11
21811748000,176,11
21812252000,176,11
21812756000,176,11
21813260000,176,11
21813764000,176,11
21814268000,176,11
21814772000,176,11
21815276000,176,11
21815780000,176,11
21816284000,176,11
21816788000,176,11
21817292000,176,11
21817796000,176,11
21818300000,176,11
21818804000,176,11
21819308000,176,11
21819812000,176,11
21820316000,176,11
21820820000,176,11
21821324000,176,11
21821828000,176,11
21822332000,176,11
21822836000,176,11
21823340000,176,11
21823844000,176,11
21824348000,176,11
21824852000,176,11
21825356000,176,11
21825860000,176,11
21826364000,176,11
21826868000,176,11
21827372000,176,11
21827876000,176,11
21828380000,176,11
21828884000,176,11
21829388000,176,11
21829892000,176,11
21830396000,176,11
21830900000,176,11
21831404000,176,11
21831908000,176,11
21832412000,176,11
21832916000,176,11
21833420000,176,11
21833924000,176,11
21834428000,176,11
21834932000,176,11
21835436000,176,11
21835940000,176,11
21836444000,176,11
21836948000,176,11
21837452000,176,11
21837956000,176,11
21838460000,176,11
21838964000,176,11
21839468000,176,11
21839972000,176,11
21840476000,176,11
21840980000,176,11
21841484000,176,11
21841988000,176,11
21842492000,176,11
21842996000,176,11
21843500000,176,11
21844004000,176,11
21844508000,176,11
21845012000,176,11
21845516000,176,11
21846020000,176,11
21846524000,176,11
21847028000,176,11
21847532000,176,11
21848036000,176,11
21848540000,176,11
21849044000,176,11
21849548000,176,11
21850052000,176,11
21850556000,176,11
21851060000,176,11
