timestamp,actual_yaw_rate,expected_yaw_rate,yaw_rate_diff
1743177534965379,0.77765054,0.13783465,0.6398158899999999
1743177534973379,0.7617969,0.13783465,0.6239622499999999
1743177534985379,0.7459486,0.13783465,0.6081139499999999
1743177534993379,0.7312401,0.28970054,0.44153955999999994
1743177535005379,0.7042093,0.28970054,0.41450876000000003
1743177535013379,0.69613606,0.28970054,0.40643551999999994
1743177535025379,0.6709548,0.28970054,0.38125425999999996
1743177535033379,0.6537993,0.28970054,0.36409875999999997
1743177535045379,0.6454716,0.3755952,0.2698764
1743177535053379,0.6255303,0.3755952,0.24993509999999997
1743177535065379,0.62049586,0.3755952,0.24490066
1743177535073379,0.6053346,0.3755952,0.22973939999999993
1743177535085379,0.57914525,0.3755952,0.20355004999999993
1743177535093379,0.5760296,0.44660604,0.12942356000000005
1743177535105379,0.561461,0.44660604,0.11485496
1743177535113379,0.5494362,0.44660604,0.10283016000000006
1743177535125379,0.5483541,0.44660604,0.10174805999999997
1743177535133379,0.5391484,0.44660604,0.09254235999999999
1743177535145379,0.5217361,0.5353213,-0.013585199999999964
1743177535153379,0.5211361,0.5353213,-0.014185200000000009
1743177535165379,0.5132858,0.5353213,-0.022035499999999986
1743177535173379,0.51265293,0.5353213,-0.022668369999999993
1743177535185379,0.49764314,0.5353213,-0.037678160000000016
1743177535193379,0.49484175,0.57865477,-0.08381301999999996
1743177535205379,0.48651698,0.57865477,-0.09213779
1743177535213379,0.499965,0.57865477,-0.07868976999999999
1743177535225379,0.49164557,0.57865477,-0.08700920000000001
1743177535233379,0.48786187,0.57865477,-0.09079290000000001
1743177535245379,0.5005997,0.62714005,-0.12654034999999997
1743177535253379,0.49573672,0.62714005,-0.13140332999999993
1743177535265379,0.49343556,0.62714005,-0.13370448999999995
1743177535273379,0.49852812,0.62714005,-0.12861192999999993
1743177535285379,0.5001533,0.62714005,-0.12698674999999993
1743177535293379,0.5063118,0.65456307,-0.14825127000000005
1743177535305379,0.515643,0.65456307,-0.13892007000000006
1743177535313379,0.5171302,0.65456307,-0.13743287000000004
1743177535325379,0.51674086,0.65456307,-0.13782221000000006
1743177535333379,0.52820617,0.65456307,-0.1263569
1743177535345379,0.538635,0.6888232,-0.1501882
1743177535353379,0.55035144,0.6888232,-0.13847175999999994
1743177535365379,0.575639,0.6888232,-0.11318419999999996
1743177535373379,0.5830711,0.6888232,-0.10575210000000002
1743177535385379,0.5921764,0.6888232,-0.09664679999999992
1743177535393379,0.5964867,0.70555776,-0.10907106
1743177535405379,0.61163,0.70555776,-0.09392776000000003
1743177535413379,0.6185517,0.70555776,-0.08700606
1743177535425379,0.63898426,0.70555776,-0.06657350000000006
1743177535433379,0.64633906,0.70555776,-0.05921870000000007
1743177535445379,0.67281574,0.72428185,-0.05146611000000001
1743177535453379,0.6723935,0.72428185,-0.05188835000000003
1743177535465379,0.68990415,0.72428185,-0.034377699999999956
1743177535473379,0.70707446,0.72428185,-0.017207390000000045
1743177535485379,0.72541124,0.72428185,0.0011293900000000079
1743177535493379,0.7326557,0.65870935,0.07394635000000005
1743177535505379,0.7515539,0.65870935,0.09284455000000003
1743177535513379,0.7641316,0.65870935,0.10542225000000005
1743177535525379,0.7748553,0.65870935,0.11614595000000005
1743177535533379,0.7807339,0.65870935,0.12202455000000001
1743177535545379,0.7975356,0.47032106,0.32721454
1743177535553379,0.81200767,0.47032106,0.34168660999999995
1743177535565379,0.82302547,0.47032106,0.35270441
1743177535573379,0.84199506,0.47032106,0.371674
1743177535585379,0.84190226,0.47032106,0.3715812
1743177535593379,0.8479011,0.3447605,0.5031405999999999
1743177535605379,0.8519229,0.3447605,0.5071624
1743177535613379,0.86321926,0.3447605,0.51845876
1743177535625379,0.88165325,0.3447605,0.53689275
1743177535633379,0.87052965,0.3447605,0.52576915
1743177535645379,0.8817894,0.2735763,0.6082131
1743177535653379,0.88382053,0.2735763,0.61024423
1743177535665379,0.8797761,0.2735763,0.6061998
1743177535673379,0.8809258,0.2735763,0.6073495
1743177535685379,0.8741273,0.2735763,0.6005510000000001
1743177535693379,0.87066764,0.21467488,0.65599276
1743177535705379,0.8652331,0.21467488,0.65055822
1743177535713379,0.85669535,0.21467488,0.64202047
1743177535725379,0.8411183,0.21467488,0.62644342
1743177535733379,0.8309768,0.21467488,0.61630192
1743177535745379,0.8175413,0.14091563,0.6766256700000001
1743177535753379,0.80771005,0.14091563,0.66679442
1743177535765379,0.78524935,0.14091563,0.64433372
1743177535773379,0.76660115,0.14091563,0.62568552
1743177535785379,0.75207037,0.14091563,0.61115474
1743177535793379,0.73825735,0.09224485,0.6460125
1743177535805379,0.710666,0.09224485,0.61842115
1743177535813379,0.6958889,0.09224485,0.60364405
1743177535825379,0.6883919,0.09224485,0.5961470499999999
1743177535833379,0.6556152,0.09224485,0.5633703499999999
1743177535845379,0.63230664,0.065042175,0.567264465
1743177535853379,0.6136804,0.065042175,0.548638225
1743177535865379,0.57668746,0.065042175,0.5116452850000001
1743177535873379,0.5645438,0.065042175,0.49950162500000006
1743177535885379,0.53787154,0.065042175,0.47282936500000006
1743177535893379,0.5050606,0.043136034,0.461924566
1743177535905379,0.48025194,0.043136034,0.437115906
1743177535913379,0.4616266,0.043136034,0.418490566
1743177535925379,0.4184717,0.043136034,0.375335666
1743177535933379,0.39312902,0.043136034,0.349992986
1743177535945379,0.3671075,0.01761147,0.34949602999999996
1743177535953379,0.33823064,0.01761147,0.32061917
1743177535965379,0.30261552,0.01761147,0.28500405
1743177535973379,0.28991008,0.01761147,0.27229861
1743177535985379,0.2567928,0.01761147,0.23918133
1743177535993379,0.22160882,0.0033459577,0.2182628623
1743177536005379,0.18544759,0.0033459577,0.18210163229999998
1743177536013379,0.15807836,0.0033459577,0.1547324023
1743177536025379,0.13321751,0.0033459577,0.1298715523
1743177536033379,0.103895776,0.0033459577,0.1005498183
1743177536045379,0.0566228,-0.002937034,0.059559834
1743177536053379,0.035738632,-0.002937034,0.038675666
1743177536065379,0.002325456,-0.002937034,0.00526249
1743177536073379,-0.026209185,-0.002937034,-0.023272150999999998
1743177536085379,-0.045443203,-0.002937034,-0.042506169
1743177536093379,-0.07210471,-0.0060210177,-0.0660836923
1743177536105379,-0.10724257,-0.0060210177,-0.10122155229999999
1743177536113379,-0.12541145,-0.0060210177,-0.1193904323
1743177536125379,-0.17029509,-0.0060210177,-0.16427407230000002
1743177536133379,-0.18778151,-0.0060210177,-0.18176049230000002
1743177536145379,-0.22075436,-0.0064291735,-0.21432518650000001
1743177536153379,-0.23315662,-0.0064291735,-0.2267274465
1743177536165379,-0.26491162,-0.0064291735,-0.2584824465
1743177536173379,-0.29157263,-0.0064291735,-0.2851434565
1743177536185379,-0.31839406,-0.0064291735,-0.3119648865
1743177536193379,-0.33486772,-0.0033034866,-0.33156423339999996
1743177536205379,-0.36744115,-0.0033034866,-0.3641376634
1743177536213379,-0.3879048,-0.0033034866,-0.3846013134
1743177536225379,-0.41431886,-0.0033034866,-0.4110153734
1743177536233379,-0.4318223,-0.0033034866,-0.4285188134
1743177536245379,-0.44494045,-2.456468e-05,-0.44491588532
1743177536253379,-0.46336097,-2.456468e-05,-0.46333640532
1743177536265379,-0.49100432,-2.456468e-05,-0.49097975532
1743177536273379,-0.49758333,-2.456468e-05,-0.49755876532
1743177536285379,-0.51402634,-2.456468e-05,-0.51400177532
1743177536293379,-0.52827495,0.0040560663,-0.5323310163
1743177536305379,-0.5565324,0.0040560663,-0.5605884663
1743177536313379,-0.5767647,0.0040560663,-0.5808207663
1743177536325379,-0.58035636,0.0040560663,-0.5844124263
1743177536333379,-0.5982054,0.0040560663,-0.6022614663
1743177536345379,-0.600548,0.011796875,-0.612344875
1743177536353379,-0.60347754,0.011796875,-0.615274415
1743177536365379,-0.62492687,0.011796875,-0.6367237450000001
1743177536373379,-0.6266403,0.011796875,-0.6384371750000001
1743177536385379,-0.62806165,0.011796875,-0.6398585250000001
1743177536393379,-0.6437395,0.019188492,-0.662927992
1743177536405379,-0.6435184,0.019188492,-0.6627068920000001
1743177536413379,-0.65569466,0.019188492,-0.674883152
1743177536425379,-0.64972603,0.019188492,-0.6689145219999999
1743177536433379,-0.6624252,0.019188492,-0.681613692
1743177536445379,-0.65214866,0.020903485,-0.673052145
1743177536453379,-0.6430302,0.020903485,-0.6639336849999999
1743177536465379,-0.67847675,0.020903485,-0.699380235
1743177536473379,-0.6786719,0.020903485,-0.6995753849999999
1743177536485379,-0.6655573,0.020903485,-0.686460785
1743177536493379,-0.6635614,0.01728132,-0.68084272
1743177536505379,-0.6507209,0.01728132,-0.6680022200000001
1743177536513379,-0.64562863,0.01728132,-0.6629099500000001
1743177536525379,-0.6459042,0.01728132,-0.6631855200000001
1743177536533379,-0.6421634,0.01728132,-0.6594447200000001
1743177536545379,-0.6159655,0.012756077,-0.6287215770000001
1743177536553379,-0.6171866,0.012756077,-0.6299426770000001
1743177536565379,-0.6093307,0.012756077,-0.622086777
1743177536573379,-0.5942684,0.012756077,-0.6070244770000001
1743177536585379,-0.5879964,0.012756077,-0.600752477
1743177536593379,-0.5745601,0.010545698,-0.5851057980000001
1743177536605379,-0.5669624,0.010545698,-0.577508098
