timestamp,timestamp_sample_x,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,time_s_x,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,time_s_y,timestamp_sample_y,xyz[0],xyz[1],xyz[2],time_s_x,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],time_s_y,speed,angular_rate,actuator_scale,max_actuator
21726844000,21726844000,1036000,41.606704,-86.3556021,-0.66735506,-1.1552606,0.13111313,0.0004925808,0.000107556276,0.0,-0.0041685523,-0.0040240246,-0.0012704077,-0.0015164636,-0.00020542361,-0.0023216454,0.0030729105,-0.033851,-0.0049817874,0.04606129,-1.0712837,0.065375656,229.40294,0.10033508,0.049082454,0.055377245,0.017951997,0.012966017,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21726.844,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21726.864,21726840000,-3.202347e-05,0.00170076,-0.0013494815,21726.84,21726856000,-0.003696935,0.00241555,-0.00035782575,0.001,0.0,0.0,0.0,-1.0,21726.856,0.005931571291273481,0.0021713383888913055,normalized,1.0
21726852000,21726852000,1036000,41.606704,-86.3556021,-0.6673448,-1.1552838,0.13110945,0.0004925808,0.000107556276,0.0,-0.0040301625,-0.00422504,-0.0012017506,-0.0014385222,-0.00020542361,-0.0023216454,0.0030729105,0.012937005,-0.035138026,-0.0146814305,-1.0712899,0.065375656,229.40294,0.10032269,0.049086418,0.055372182,0.018450549,0.013338562,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21726.852,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21726.864,21726848000,-0.0036149467,0.004351603,-0.0027870436,21726.848,21726856000,-0.003696935,0.00241555,-0.00035782575,0.001,0.0,0.0,0.0,-1.0,21726.856,0.005961323450594391,0.0063064966773757085,normalized,1.0
21726860000,21726860000,1036000,41.606704,-86.3556021,-0.667335,-1.1553093,0.13110508,0.0004925808,0.000107556276,0.0,-0.004098295,-0.0047275396,-0.0013839364,-0.0016116741,-0.00020542361,-0.0023216454,0.0030729105,-0.02579048,-0.07105128,-0.020833747,-1.0712367,0.065375656,229.40294,0.10032438,0.04909082,0.055374265,0.018939843,0.013704631,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21726.86,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21726.864,21726856000,0.0028815023,0.0048773605,0.0017219426,21726.856,21726856000,-0.003696935,0.00241555,-0.00035782575,0.001,0.0,0.0,0.0,-1.0,21726.856,0.0064078805026184845,0.005920877238176814,normalized,1.0
21726868000,21726868000,1036000,41.606704,-86.3556021,-0.6673258,-1.1553377,0.13109991,0.0004925808,0.000107556276,0.0,-0.0039366554,-0.0051301094,-0.0014271964,-0.0016461458,-0.00020542361,-0.0023216454,0.0030729105,0.008480784,-0.06445775,-0.00029901773,-1.0712286,0.065375656,229.40294,0.1003249,0.04909569,0.05537657,0.019420227,0.014064726,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21726.868,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21726.864,21726872000,-0.0043153837,-0.0023822405,-0.0019593204,21726.872,21726856000,-0.003696935,0.00241555,-0.00035782575,0.001,0.0,0.0,0.0,-1.0,21726.856,0.006622096930617256,0.005304389004204169,normalized,1.0
21726876000,21726876000,1036000,41.606704,-86.3556021,-0.66731703,-1.1553665,0.13109566,0.0004925808,0.000107556276,0.0,-0.0039659636,-0.0047750985,-0.0012725797,-0.0014829821,-0.00020542361,-0.0023216454,0.0030729105,-0.01581885,0.0871072,0.0029289462,-1.0712326,0.065375656,229.40294,0.100321755,0.049101055,0.05537911,0.019892577,0.014419299,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21726.876,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21726.864,21726872000,-0.0043153837,-0.0023822405,-0.0019593204,21726.872,21726856000,-0.003696935,0.00241555,-0.00035782575,0.001,0.0,0.0,0.0,-1.0,21726.856,0.006336394247052444,0.005304389004204169,normalized,1.0
21726884000,21726884000,1036000,41.606704,-86.3556021,-0.66730875,-1.1553903,0.13109064,0.0004925808,0.000107556276,0.0,-0.003759006,-0.0042215344,-0.0016638476,-0.0018659402,-0.00020542361,-0.0023216454,0.0030729105,0.027732838,0.05346471,-0.06620871,-1.0712367,0.065375656,229.40294,0.10031894,0.049106937,0.0553819,0.020356514,0.014768743,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21726.884,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21726.864,21726880000,0.00118266,7.562125e-05,-0.0010563481,21726.88,21726856000,-0.003696935,0.00241555,-0.00035782575,0.001,0.0,0.0,0.0,-1.0,21726.856,0.005892356713102587,0.0015875372617438536,normalized,1.0
21726892000,21726892000,1036000,41.606704,-86.3556021,-0.6673004,-1.1554087,0.1310831,0.0004925808,0.000107556276,0.0,-0.0038489408,-0.0036426277,-0.0017848532,-0.0019788686,-0.00020542361,-0.0023216454,0.0030729105,-0.04002197,0.046844672,0.0028553717,-1.0712401,0.065375656,229.40294,0.10032219,0.049113367,0.055384953,0.0208131,0.015113417,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21726.892,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21726.864,21726892000,-0.0009255585,0.00063457934,-0.00069203,21726.892,21726912000,-0.0021261054,0.0025944277,-0.0010143912,0.001,0.0,0.0,0.0,-1.0,21726.912,0.0055918496750415395,0.0013184289880676491,normalized,1.0
21726900000,21726900000,1036000,41.606704,-86.3556021,-0.667282,-1.1554198,0.1310786,0.0004925808,0.000107556276,0.0,-0.003474596,-0.0037352284,-0.0014835552,-0.001665584,-0.00020542361,-0.0023216454,0.0030729105,0.04919944,-0.032245208,0.039827947,-1.0712222,0.065375656,229.40294,0.100388974,0.049075253,0.05536645,0.0014142136,0.001,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21726.9,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21726.864,21726900000,-0.0024439495,0.0024687552,0.0021956433,21726.9,21726912000,-0.0021261054,0.0025944277,-0.0010143912,0.001,0.0,0.0,0.0,-1.0,21726.912,0.005312785013044439,0.004109560912909331,normalized,1.0
21726908000,21726908000,1036000,41.606704,-86.3556021,-0.6672601,-1.1554309,0.13107657,0.0004925808,0.000107556276,0.0,-0.0030790057,-0.0037267036,-0.001292048,-0.001462419,-0.00020542361,-0.0023216454,0.0030729105,0.007272052,0.0037026305,0.007222343,-1.071182,0.065375656,229.40294,0.10038996,0.049075287,0.055366464,0.0042137955,0.0029834518,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21726.908,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21726.864,21726912000,-0.0077664815,0.0029969555,0.0049366895,21726.912,21726912000,-0.0021261054,0.0025944277,-0.0010143912,0.001,0.0,0.0,0.0,-1.0,21726.912,0.00500379694404054,0.009678371783426835,normalized,1.0
21727324000,21727324000,1036000,41.606704,-86.3556021,-0.66648287,-1.1551777,0.13119699,0.0004925808,0.000107556276,0.0,-0.0028270476,-0.0011982974,-0.0014597696,-0.0013512268,-0.00020542361,-0.0023216454,0.0030729105,0.005459152,-0.0265073,0.034339663,-1.0711384,0.065375656,229.40294,0.100350484,0.049047913,0.055325147,0.004213755,0.002983452,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21727.324,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21727.368,21727320000,0.0034230244,-0.00037595088,-0.0011949796,21727.32,21727312000,-0.0033492346,0.002528281,-1.6084632e-05,0.001,0.0,0.0,0.0,-1.0,21727.312,0.0033998591259928224,0.00364505299708856,normalized,1.0
21727332000,21727332000,1036000,41.606704,-86.3556021,-0.66647625,-1.1551691,0.13119273,0.0004925808,0.000107556276,0.0,-0.0025373455,-0.0013955917,-0.0016824901,-0.00156792,-0.00020542361,-0.0023216454,0.0030729105,0.010576633,-0.01727071,-0.04465884,-1.0711455,0.065375656,229.40294,0.10035466,0.049047954,0.05532517,0.0057993843,0.004111199,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21727.332,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21727.368,21727332000,0.0012084396,0.00053301273,-0.00067537674,21727.332,21727312000,-0.0033492346,0.002528281,-1.6084632e-05,0.001,0.0,0.0,0.0,-1.0,21727.312,0.0033491150049046016,0.0014834293303434582,normalized,1.0
21727340000,21727340000,1036000,41.606704,-86.3556021,-0.6664705,-1.1551608,0.13118824,0.0004925808,0.000107556276,0.0,-0.0030859555,-0.0011892868,-0.0014471007,-0.0013267208,-0.00020542361,-0.0023216454,0.0030729105,-0.10972037,0.034878645,0.033601124,-1.0711575,0.065375656,229.40294,0.10035956,0.049048025,0.055325206,0.00704499,0.005000291,inf,inf,inf,inf,1,1,1,1,2,0,2,1,47,0,1,1,1,0,21727.34,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21727.368,21727340000,-0.0015920008,0.002332616,-0.001187509,21727.34,21727356000,-0.0024436223,0.0031785944,0.00021985824,0.001,0.0,0.0,0.0,-1.0,21727.356,0.003609934192831634,0.0030636157682936743,normalized,1.0
