timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
1743177449941379,1743177449789379,-0.0008236046,-0.00046510436,0.008931547,-0.0015028293,-0.0022717828,0.0072464906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036740027,0.0,0.0,0.0,0.0,0.0,0.017705493,-0.18043289,-0.45893693,-0.0012138297,-0.0059806625,-2.104044e-05,0.0,0.0,0.0,0.0,0.0,0.0
1743177449949379,1743177449797379,-0.010119184,-0.0005455203,0.009587742,-0.0015465346,-0.0023141392,0.0069232443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036740027,0.0,0.0,0.0,0.0,0.0,0.017705493,-0.18043289,-0.45893693,-0.0030408676,0.001907459,-6.1392784e-06,0.0,0.0,0.0,0.0,0.0,0.0
1743177449965379,1743177449813379,-0.010119184,-0.0005455203,0.009587742,-0.0015465346,-0.0023141392,0.0069232443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036740027,0.0,0.0,0.0,0.0,0.0,0.017705493,-0.18043289,-0.45893693,0.002794399,0.0023018876,-4.7683716e-06,0.0,0.0,0.0,0.0,0.0,0.0
1743177449973379,1743177449821379,-0.010119184,-0.0005455203,0.009587742,-0.0015465346,-0.0023141392,0.0069232443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036740027,0.0,0.0,0.0,0.0,0.0,0.017705493,-0.18043289,-0.45893693,-0.0010989808,0.005382791,-1.0251999e-05,0.0,0.0,0.0,0.0,0.0,0.0
1743177449981379,1743177449829379,-0.010119184,-0.0005455203,0.009587742,-0.0015465346,-0.0023141392,0.0069232443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25467154,0.0,0.0,0.0,0.0,0.0,0.017705493,-0.18043289,-0.45893693,-0.00032555117,0.0037105521,-3.3974648e-06,0.0,0.0,0.0,0.0,0.0,0.0
1743177449989379,1743177449837379,-0.010119184,-0.0005455203,0.009587742,-0.0015465346,-0.0023141392,0.0069232443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25467154,0.0,0.0,0.0,0.0,0.0,0.01611636,-0.18321607,-0.45612773,-0.00052845315,0.00060081796,3.5762787e-07,0.0,0.0,0.0,0.0,0.0,0.0
1743177450005379,1743177449853379,0.0001934056,-0.00231804,0.011058018,-0.0015137129,-0.0024521654,0.007830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25467154,0.0,0.0,0.0,0.0,0.0,0.01611636,-0.18321607,-0.45612773,-0.0055929357,0.004939627,-2.18153e-05,0.0,0.0,0.0,0.0,0.0,0.0
1743177450013379,1743177449861379,0.0001934056,-0.00231804,0.011058018,-0.0015137129,-0.0024521654,0.007830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25467154,0.0,0.0,0.0,0.0,0.0,0.01611636,-0.18321607,-0.45612773,-0.0026830772,0.0056140227,-1.3053417e-05,0.0,0.0,0.0,0.0,0.0,0.0
1743177450021379,1743177449869379,0.0001934056,-0.00231804,0.011058018,-0.0015137129,-0.0024521654,0.007830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25467154,0.0,0.0,0.0,0.0,0.0,0.01611636,-0.18321607,-0.45612773,0.0021209558,0.0031944914,-4.7683716e-06,0.0,0.0,0.0,0.0,0.0,0.0
1743177450029379,1743177449877379,0.0001934056,-0.00231804,0.011058018,-0.0015137129,-0.0024521654,0.007830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25467154,0.0,0.0,0.0,0.0,0.0,0.01611636,-0.18321607,-0.45612773,-0.0026005176,-0.00038678967,-3.2186508e-06,0.0,0.0,0.0,0.0,0.0,0.0
1743177450045379,1743177449893379,0.0001934056,-0.00231804,0.011058018,-0.0015137129,-0.0024521654,0.007830549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091907,0.0,0.0,0.0,0.0,0.0,0.01611636,-0.18321607,-0.45612773,-0.0036975434,-0.00059635984,-6.67572e-06,0.0,0.0,0.0,0.0,0.0,0.0
1743177450053379,1743177449901379,0.0,0.0,0.0,0.0,0.0,0.0037899213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00048464764,-0.0029772758,-7.867813e-06,0.0,0.0,0.0,0.0,0.0,0.0
1743177450061379,1743177449909379,0.0,0.0,0.0,0.0,0.0,0.0037899213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026718162,-0.00089340797,-4.351139e-06,0.0,0.0,0.0,0.0,0.0,0.0
