timestamp,load,ram_usage
1743177449317379,0.17073171,0.38159633
1743177449817379,0.14285715,0.3818106
1743177450317379,0.25862068,0.38348147
1743177450817379,0.203125,0.3839533
1743177451317379,0.203125,0.38399878
1743177451817379,0.1904762,0.38411576
1743177452317379,0.1875,0.38414353
1743177452817379,0.15517241,0.38410544
1743177453317379,0.17741935,0.3841369
1743177453817379,0.2,0.38425878
1743177454317379,0.22413793,0.3842546
1743177454817379,0.21212122,0.3842315
1743177455317379,0.20895523,0.384216
1743177455817379,0.1969697,0.384246
1743177456317379,0.23076923,0.38432243
1743177456817379,0.22580644,0.38438582
1743177457317379,0.22580644,0.38436815
1743177457817379,0.23076923,0.38442934
1743177458317379,0.20689656,0.38438287
1743177458817379,0.19117647,0.38433546
1743177459317379,0.16666667,0.3842998
1743177459817379,0.15384616,0.38439196
1743177460317379,0.1904762,0.38424626
1743177460817379,0.21875,0.3843067
1743177461317379,0.22222222,0.38436642
1743177461817379,0.22727273,0.3843974
1743177462317379,0.20338982,0.38439566
1743177462817379,0.20588236,0.3844716
1743177463317379,0.23728813,0.38429466
1743177463817379,0.19402985,0.38419268
1743177464317379,0.234375,0.3843372
1743177464817379,0.19354838,0.38429072
1743177465317379,0.24615385,0.38428974
1743177465817379,0.22950819,0.3843035
1743177466317379,0.24242425,0.3843497
1743177466817379,0.21428572,0.38524693
1743177467317379,0.26666668,0.38530716
1743177467817379,0.1971831,0.38533467
1743177468317379,0.21212122,0.385332
1743177468817379,0.1875,0.38534746
1743177469317379,0.24590164,0.38537621
1743177469817379,0.1875,0.3852725
1743177470317379,0.234375,0.38531798
1743177470817379,0.203125,0.3853799
1743177471317379,0.23333333,0.38562122
1743177471817379,0.1884058,0.38571855
1743177472317379,0.22807017,0.38568562
1743177472817379,0.20289855,0.38516143
1743177473317379,0.20967741,0.38514176
1743177473817379,0.2238806,0.38517174
1743177474317379,0.22727273,0.38518673
1743177474817379,0.19354838,0.38523293
1743177475317379,0.21666667,0.38513538
1743177475817379,0.21538462,0.3850722
1743177476317379,0.22950819,0.38508353
1743177476817379,0.20588236,0.385099
1743177477317379,0.23333333,0.38514546
1743177477817379,0.21311475,0.385128
1743177478317379,0.23333333,0.3851275
1743177478817379,0.21428572,0.38514298
1743177479317379,0.25,0.385142
1743177479817379,0.20289855,0.38507515
1743177480317379,0.20338982,0.3850243
1743177480817379,0.20895523,0.38505527
1743177481317379,0.2,0.38510072
1743177481817379,0.19672132,0.38511622
1743177482317379,0.21666667,0.38486284
1743177482817379,0.26153848,0.38486186
1743177483317379,0.23076923,0.38489282
1743177483817379,0.1875,0.38480532
1743177484317379,0.25,0.38480532
1743177484817379,0.20289855,0.38480532
1743177485317379,0.21666667,0.3848068
1743177485817379,0.20588236,0.38477534
1743177486317379,0.22727273,0.38480484
1743177486817379,0.20895523,0.3848358
1743177487317379,0.1875,0.3847869
1743177487817379,0.21875,0.38493142
1743177488317379,0.23728813,0.38488495
1743177488817379,0.2173913,0.38491493
1743177489317379,0.22580644,0.38483557
1743177489817379,0.21212122,0.38483557
1743177490317379,0.2238806,0.38483557
1743177490817379,0.20967741,0.38489553
1743177491317379,0.21311475,0.38487956
1743177491817379,0.2,0.38486186
1743177492317379,0.19354838,0.38489133
1743177492817379,0.20289855,0.38488987
1743177493317379,0.22807017,0.38483164
1743177493817379,0.20289855,0.38487807
1743177494317379,0.1969697,0.3849066
1743177494817379,0.20967741,0.38496727
1743177495317379,0.20967741,0.38498202
1743177495817379,0.22950819,0.38497907
1743177496317379,0.20634921,0.38496163
1743177496817379,0.21875,0.38497466
1743177497317379,0.24590164,0.38497368
1743177497817379,0.1884058,0.38501814
1743177498317379,0.22033899,0.38500267
1743177498817379,0.20895523,0.38500094
1743177499317379,0.22222222,0.38499972
1743177499817379,0.21875,0.38490683
1743177500317379,0.20967741,0.38490534
1743177500817379,0.21212122,0.3848729
1743177501317379,0.23728813,0.38485643
1743177501817379,0.20895523,0.38490364
1743177502317379,0.22807017,0.38494787
1743177502817379,0.20588236,0.3849894
1743177503317379,0.203125,0.38506657
1743177503817379,0.203125,0.3850631
1743177504317379,0.23809524,0.38510883
