timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1743177449965379,1743177449813379,2216807107073,0.00088879425,0.0034430772,0.0020541023,0,14.142215,0.222056,nan,nan,nan,0.006166005,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.410065,67.84404,0.4934497,0.49967092,0,165,2,1,3,3,0,0,0,0,0,0,0,0,0
1743177449973379,1743177449821379,2216807107073,0.00088344695,0.0033633348,0.0020478524,0,14.142222,0.22209145,nan,nan,nan,0.006166005,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.410065,67.84404,0.4934497,0.49967092,0,165,2,1,3,3,0,0,0,0,0,0,0,0,0
1743177449981379,1743177449829379,2216807107073,0.00087986805,0.003280797,0.0020927594,0,14.142231,0.22168276,nan,nan,nan,0.006339269,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.410065,67.84404,0.4934497,0.49967092,0,165,2,1,3,3,0,0,0,0,0,0,0,0,0
1743177449989379,1743177449837379,2216807107073,0.0008784892,0.0032029802,0.0020698858,0,14.14224,0.22172114,nan,nan,nan,0.006339269,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.98158,67.84404,0.49181336,0.49967092,0,165,2,1,3,3,0,0,0,0,0,0,0,0,0
1743177450005379,1743177449853379,2216807107073,0.00087941205,0.0030497506,0.0021709076,0,0.014142129,0.21269956,nan,nan,nan,0.0063984278,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.98158,67.84404,0.49181336,0.49967092,0,165,2,1,3,3,0,0,0,0,0,0,0,0,0
1743177450013379,1743177449861379,2216807107073,0.00088111794,0.0029716247,0.0021534723,0,0.014323783,0.21274109,nan,nan,nan,0.0063984278,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.98158,67.84404,0.49181336,0.49967092,0,165,2,1,3,3,0,0,0,0,0,0,0,0,0
1743177450021379,1743177449869379,2216807107073,0.00087993836,0.0047950316,0.002208071,0,0.014501329,0.21271184,nan,nan,nan,0.0063984278,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.98158,67.84404,0.49181336,0.49967092,0,165,2,1,3,3,0,0,0,0,0,0,0,0,0
1743177450029379,1743177449877379,2216807107073,0.00088523165,0.0046570683,0.0022059612,0,0.014938345,0.21275194,nan,nan,nan,0.0063984278,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.98158,67.84404,0.49181336,0.49967092,0,165,2,1,3,3,0,0,0,0,0,0,0,0,0
1743177450045379,1743177449893379,2216807107073,0.0009004616,0.0044283126,0.004647348,0,0.016259236,0.21244487,nan,nan,nan,0.0074887294,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.98158,67.84404,0.49181336,0.49967092,0,165,2,1,3,3,0,0,0,0,0,0,0,0,0
1743177450053379,1743177449901379,171865803271,0.0009085483,0.0042963126,0.004813032,0,1.0,0.2044427,nan,0.0,0.0,0.0074791606,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.268364,67.84404,0.4918856,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450061379,1743177449909379,171865803271,0.0009170854,0.0040260493,0.004790006,0,1.0000057,0.20447439,nan,0.0,0.0,0.0074791606,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.268364,67.84404,0.4918856,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450069379,1743177449917379,171865803271,0.00092653796,0.0039414004,0.0047666244,0,1.000023,0.20456944,nan,0.0,0.0,0.0074791606,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.268364,67.84404,0.4918856,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450085379,1743177449933379,171865803271,0.0009469631,0.0033687307,0.0046872525,0,1.0000921,0.20459908,nan,0.0,0.0,0.0071459385,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.268364,67.84404,0.4918856,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450093379,1743177449941379,171865803271,0.0009578053,0.002981188,0.0046617533,0,1.000144,0.20488308,nan,0.0,0.0,0.0071459385,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.268364,67.84404,0.4918856,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450101379,1743177449949379,171865803271,0.00096889894,0.0032900912,0.004878012,0,0.5773702,0.19744386,nan,0.00010424487,1.9433646e-06,0.007134686,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.268364,67.84404,0.4918856,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450109379,1743177449957379,171865803271,0.0009802065,0.0029881422,0.004846465,0,0.57739514,0.197643,nan,0.00010424487,1.9433646e-06,0.007134686,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.268364,67.84404,0.4918856,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450125379,1743177449973379,171865803351,0.0013497996,0.0030877665,0.004782499,0,0.5774751,0.19813882,0.0085513815,0.00010424487,1.9433646e-06,0.007134686,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.97092,67.84404,0.49229342,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450133379,1743177449981379,171865803351,0.0013622221,0.0034259113,0.00475322,0,0.57753,0.19843526,0.0085513815,0.00010424487,1.9433646e-06,0.007134686,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.97092,67.84404,0.49229342,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450141379,1743177449989379,171865803351,0.0013744615,0.003649356,0.005341877,0,0.577595,0.19844444,0.0085513815,0.00010424487,1.9433646e-06,0.0070850467,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.97092,67.84404,0.49229342,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450149379,1743177449997379,171865803351,0.0013863833,0.0043568406,0.0052957814,0,0.57767004,0.19880453,0.0085513815,0.00010424487,1.9433646e-06,0.0070850467,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.97092,67.84404,0.49229342,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450165379,1743177450013379,171865803351,0.0012398681,0.0041909,0.0053896983,0,0.4473895,0.19202557,0.0085513815,0.00020247581,2.9157363e-06,0.007066744,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.97092,67.84404,0.49229342,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450173379,1743177450021379,171865803351,0.0012540733,0.004072726,0.005344432,0,0.4474489,0.19232266,0.0085513815,0.00020247581,2.9157363e-06,0.007066744,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.97092,67.84404,0.49229342,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450181379,1743177450029379,171865803351,0.0012681813,0.0039684074,0.0052991533,0,0.44751698,0.1926417,0.0085513815,0.00020247581,2.9157363e-06,0.007066744,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.97092,67.84404,0.49229342,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450189379,1743177450037379,171865803351,0.0040500737,0.0041182805,0.004119058,0,0.44759384,0.19269022,0.018788552,0.00020247581,2.9157363e-06,0.0055482066,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.36689,67.84404,0.48305288,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450205379,1743177450053379,171865803351,0.0041143144,0.0026687714,0.0042464687,0,0.37821713,0.18651336,0.018788552,0.0017661816,2.3970858e-06,0.005541106,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.36689,67.84404,0.48305288,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450213379,1743177450061379,171865803351,0.004131418,0.0026083426,0.0041515864,0,0.37828326,0.18680972,0.018788552,0.0017661816,2.3970858e-06,0.005541106,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.36689,67.84404,0.48305288,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450221379,1743177450069379,171865803351,0.0041487324,0.0025481677,0.004059005,0,0.3783572,0.1871229,0.018788552,0.0017661816,2.3970858e-06,0.005541106,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.36689,67.84404,0.48305288,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450229379,1743177450077379,171865803351,0.0041661435,0.0024882643,0.003968965,0,0.37843904,0.1874528,0.018788552,0.0017661816,2.3970858e-06,0.005541106,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.36689,67.84404,0.48305288,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450245379,1743177450093379,171865803351,0.0042007635,0.0024937252,0.0044561177,0,0.37862647,0.1878915,0.018788552,0.0017661816,2.3970858e-06,0.0057930523,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.36689,67.84404,0.48305288,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450253379,1743177450101379,171865803351,0.0042181234,0.002432857,0.0043504536,0,0.37873223,0.1882706,0.018788552,0.0017661816,2.3970858e-06,0.0057930523,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.36689,67.84404,0.48305288,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450261379,1743177450109379,171865803351,0.003961583,0.0026255609,0.0044348207,0,0.33381358,0.18209782,0.017614996,0.0015283618,4.2899163e-05,0.005771092,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.9445,67.84404,0.49100003,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450269379,1743177450117379,171865803351,0.0039791674,0.0025637047,0.00433171,0,0.33389947,0.18241951,0.017614996,0.0015283618,4.2899163e-05,0.005771092,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.9445,67.84404,0.49100003,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450285379,1743177450133379,171865803351,0.003964827,0.0024409252,0.0041330103,0,0.3340933,0.18310356,0.017614996,0.0015283618,4.2899163e-05,0.005771092,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.9445,67.84404,0.49100003,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450293379,1743177450141379,171865803351,0.0039326507,0.0024469846,0.0043742154,0,0.33420143,0.18321458,0.017614996,0.0015283618,4.2899163e-05,0.0056561474,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.9445,67.84404,0.49100003,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450301379,1743177450149379,171865803351,0.0039003263,0.0023867423,0.0042697485,0,0.33431712,0.1835897,0.017614996,0.0015283618,4.2899163e-05,0.0056561474,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.9445,67.84404,0.49100003,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450309379,1743177450157379,171865803351,0.0038618885,0.0026588682,0.004350717,0,0.3021874,0.1778324,0.017614996,0.0013312673,5.6967572e-05,0.005638883,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.9445,67.84404,0.49100003,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450325379,1743177450173379,171865803351,0.004781756,0.00253127,0.0041459682,0,0.3023901,0.17849831,0.016352972,0.0013312673,5.6967572e-05,0.005638883,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.5705,67.84404,0.48987928,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450333379,1743177450181379,171865803351,0.0047497177,0.00246956,0.0040467842,0,0.3025021,0.17884842,0.016352972,0.0013312673,5.6967572e-05,0.005638883,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.5705,67.84404,0.48987928,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450341379,1743177450189379,171865803351,0.004717037,0.0024087755,0.0039500264,0,0.30262136,0.17920987,0.016352972,0.0013312673,5.6967572e-05,0.005638883,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.5705,67.84404,0.48987928,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450349379,1743177450197379,171865803351,0.00461047,0.0022708569,0.003434414,0,0.302748,0.17934702,0.016352972,0.0013312673,5.6967572e-05,0.005129593,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.5705,67.84404,0.48987928,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
