timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1743177465693379,1743177465693379,1310988,1310988,-4.0479998e-05,1.8109564e-05,7.3503266e-05,-0.004074931,-0.003835511,-0.03741659,4000,4000,0,0,0,1
1743177466193379,1743177466193379,1310988,1310988,2.876212e-05,-1.8109504e-05,1.38484775e-05,-0.004122816,-0.0038307225,-0.034634523,4000,4000,0,0,0,1
1743177466693379,1743177466693379,1310988,1310988,-3.1957275e-06,-4.1545263e-05,-5.5393804e-05,-0.004036624,-0.003955221,-0.035506014,4000,4000,0,0,0,1
1743177467193379,1743177467193379,1310988,1310988,4.5806362e-05,2.130462e-06,1.1717975e-05,-0.004448427,-0.0039983164,-0.036085412,4000,4000,0,0,0,1
1743177467693379,1743177467693379,1310988,1310988,-2.1305297e-05,4.2610814e-06,1.0652624e-05,-0.004285622,-0.0040222583,-0.036741417,4000,4000,0,0,0,1
1743177468193379,1743177468193379,1310988,1310988,-8.522179e-06,2.1305254e-05,-1.9174777e-05,-0.0041850656,-0.0038833949,-0.037210688,4000,4000,0,0,0,1
1743177468693379,1743177468693379,1310988,1310988,1.06526395e-05,-1.5978978e-05,-5.3263025e-06,-0.004285622,-0.004175488,-0.03751236,4000,4000,0,0,0,1
1743177469193379,1743177469193379,1310988,1310988,3.3023352e-05,1.9174926e-05,6.391575e-05,-0.0044053313,-0.0041706995,-0.03772783,4000,4000,0,0,0,1
1743177469693379,1743177469693379,1310988,1310988,0.0006125269,-9.054829e-05,2.5568163e-05,-0.004501099,-0.0041084494,-0.037790082,4000,4000,0,0,0,1
1743177470193379,1743177470193379,1310988,1310988,0.00017576668,-0.0009629997,0.00021944389,-0.0044771573,-0.0042377375,-0.038388636,4000,4000,0,0,0,1
1743177470693379,1743177470693379,1310988,1310988,-0.00018748592,-0.0013518208,0.0006125274,-0.005343859,-0.003289633,-0.038996764,4000,4000,0,0,0,1
1743177471193379,1743177471193379,1310988,1310988,0.00014700199,0.0012197292,-0.0004612573,-0.007455545,-0.0033279401,-0.037871484,4000,4000,0,0,0,1
1743177471693379,1743177471693379,1310988,1310988,0.00013422365,0.0013358421,-0.00030359847,-0.0074507566,-0.004194642,-0.03807739,4000,4000,0,0,0,1
1743177472193379,1743177472193379,1310988,1310988,-2.3436227e-05,-0.0009225199,0.00037710162,-0.006588844,-0.0042712563,-0.03886268,4000,4000,0,0,0,1
1743177472693379,1743177472693379,1310988,1310988,-0.00014274404,-0.0005773739,0.00048576048,-0.006138733,-0.003280056,-0.038924936,4000,4000,0,0,0,1
1743177473193379,1743177473193379,1310988,1310988,-7.350339e-05,1.0652728e-05,-0.00014061485,-0.0064164614,-0.0033327285,-0.038120486,4000,4000,0,0,0,1
1743177473693379,1743177473693379,1310988,1310988,-0.0016394416,0.00032702752,-0.0014498276,-0.005875372,-0.0036296095,-0.038805228,4000,4000,0,0,0,1
1743177474193379,1743177474193379,1310988,1310988,-0.0010215807,-0.0013667439,-0.005365737,-0.0018818429,-0.0072400663,-0.038652,4000,4000,0,0,0,1
1743177474693379,1743177474693379,1310988,1310988,0.0018471703,-0.0007925541,-0.0032554483,0.0,-0.0084084375,-0.041592073,4000,4000,0,0,0,1
1743177475193379,1743177475193379,1310988,1310988,-0.00037177684,0.00018854094,0.002903912,-0.000100556485,-0.009318233,-0.0372059,4000,4000,0,0,0,1
1743177475693379,1743177475693379,1310988,1310988,0.00040905506,0.0019813906,0.0012357112,-0.004548983,-0.0071969707,-0.039331954,4000,4000,0,0,0,1
1743177476193379,1743177476193379,1310988,1310988,-1.2779721e-05,-0.00074248743,-0.0017757969,-0.0037876277,-0.00782904,-0.03822583,4000,4000,0,0,0,1
1743177476693379,1743177476693379,1310988,1310988,-8.7352906e-05,0.001434911,-0.00018642205,-0.0021068978,-0.008537723,-0.03821625,4000,4000,0,0,0,1
1743177477193379,1743177477193379,1310988,1310988,-0.0001523324,4.7937036e-05,0.00046232494,-0.0019249384,-0.00728795,-0.038814798,4000,4000,0,0,0,1
1743177477693379,1743177477693379,1310988,1310988,-0.00040373547,2.0240084e-05,-0.00017896394,-0.0011827359,-0.0061243675,-0.039260123,4000,4000,0,0,0,1
1743177478193379,1743177478193379,1310988,1310988,-0.00032490486,5.326435e-05,-0.00041332314,-0.00057939684,-0.0053678006,-0.03904464,4000,4000,0,0,0,1
1743177478693379,1743177478693379,1310988,1310988,-0.00020559621,-2.4502095e-05,-0.0003259708,-2.873042e-05,-0.0046255975,-0.03932237,4000,4000,0,0,0,1
1743177479193379,1743177479193379,1310988,1310988,-0.00012889685,-4.793629e-05,-0.0005081313,-0.00021547818,-0.003811569,-0.039135627,4000,4000,0,0,0,1
1743177479693379,1743177479693379,1310988,1310988,-6.924368e-05,-0.00022796789,-0.0008692554,-4.7884034e-05,-0.0029688098,-0.039245754,4000,4000,0,0,0,1
1743177480193379,1743177480193379,1310988,1310988,-0.00010758876,-0.00025353182,-0.0010759177,-6.7037654e-05,-0.002710236,-0.03911647,4000,4000,0,0,0,1
1743177480693379,1743177480693379,1310988,1310988,-7.4540267e-06,-7.776636e-05,-0.0013699301,0.0005410897,-0.0019680331,-0.039154775,4000,4000,0,0,0,1
1743177481193379,1743177481193379,1310988,1310988,-4.6873254e-05,-4.367493e-05,-0.000801079,0.0008571242,-0.001254561,-0.03940857,4000,4000,0,0,0,1
1743177481693379,1743177481693379,1310988,1310988,0.0009896539,0.0007147681,0.0027025742,0.0008667011,-0.0014269436,-0.04005979,4000,4000,0,0,0,1
1743177482193379,1743177482193379,1310988,1310988,0.0016319937,-0.0012069481,0.005879192,5.7460842e-05,-0.002351106,-0.039446875,4000,4000,0,0,0,1
1743177482693379,1743177482693379,1310988,1310988,-0.00023755878,-5.2201958e-05,0.00348661,-0.0017046717,-0.0014987697,-0.040720582,4000,4000,0,0,0,1
1743177483193379,1743177483193379,1310988,1310988,-0.0005475472,-0.00014701026,0.0013923,-0.0042090076,-0.00022505427,-0.04102704,4000,4000,0,0,0,1
1743177483693379,1743177483693379,1310988,1310988,0.00035367065,0.0012953569,-0.002136923,-0.005104438,-0.00023941952,-0.03845089,4000,4000,0,0,0,1
1743177484193379,1743177484193379,1310988,1310988,-0.00013209372,-2.6631882e-05,-0.0007925567,-0.0042712567,-0.000588973,-0.03945645,4000,4000,0,0,0,1
1743177484693379,1743177484693379,1310988,1310988,-7.989676e-05,-2.0237543e-05,0.0009992181,-0.003998317,8.140354e-05,-0.038829163,4000,4000,0,0,0,1
1743177485193379,1743177485193379,1310988,1310988,-2.1307798e-05,0.0012580776,1.3847325e-05,-0.0034620161,-7.182537e-05,-0.03928406,4000,4000,0,0,0,1
