timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
21807260000,21807260000,0.44945982,1.2148573e-05,-0.5578405,2.2211466,0.015566838,2.205247,0
21807356000,21807356000,0.4486123,1.17105765e-05,1.3047863,2.182484,0.08667328,2.1809976,0
21807452000,21807452000,0.4477883,1.1386258e-05,-0.0057924986,2.1496203,1.7343135e-06,2.1369824,0
21807556000,21807556000,0.44843832,1.1084632e-05,-0.69043875,2.0461602,0.025886193,2.0339859,0
21807660000,21807660000,0.44960448,1.0784659e-05,-0.80361867,1.950179,0.036794513,1.9385028,0
21807756000,21807756000,0.45046303,1.0493515e-05,-0.5035709,1.8656839,0.015102217,1.8536916,0
21807852000,21807852000,0.45115656,1.01825335e-05,-1.083407,1.7810322,0.07322663,1.7706778,0
21807956000,21807956000,0.4513376,9.829831e-06,0.123531625,1.698736,0.0009981318,1.6886374,0
21808060000,21808060000,0.45135793,9.511869e-06,-0.007182747,1.6256033,3.5263388e-06,1.6156979,0
21808156000,21808156000,0.4515863,9.254296e-06,-0.3300594,1.5529941,0.007794207,1.5433147,0
21808252000,21808252000,0.452098,9.020309e-06,-0.4275216,1.4845672,0.013679611,1.4754243,0
21808356000,21808356000,0.4526448,8.779628e-06,0.10362148,1.4098396,0.000846228,1.402052,0
21808460000,21808460000,0.4530097,8.536816e-06,-0.060159802,1.3427504,0.00029948493,1.3347368,1
21808556000,21808556000,0.45301917,8.314002e-06,0.2454915,1.2871795,0.005202251,1.2804083,1
21808652000,21808652000,0.4527372,8.09495e-06,0.20288551,1.2389491,0.0036915273,1.2320602,1
21808756000,21808756000,0.45219353,7.864305e-06,0.5542766,1.1950759,0.028563742,1.1899555,1
21808860000,21808860000,0.45135674,7.6431625e-06,0.53553504,1.160336,0.027463095,1.1549516,1
21808956000,21808956000,0.45040962,7.448513e-06,0.7609783,1.1346247,0.056708716,1.1303718,1
21809060000,21809060000,0.4491858,7.2486673e-06,0.83296365,1.1106938,0.069408916,1.1065696,1
21809156000,21809156000,0.44807518,7.0731307e-06,0.7316869,1.08878,0.054634612,1.083818,1
21809260000,21809260000,0.44707856,6.8865975e-06,0.7318339,1.0485365,0.05675432,1.0435029,1
21809356000,21809356000,0.4460633,6.7166075e-06,0.7193002,1.01695,0.05652991,1.0118018,1
21809452000,21809452000,0.44497296,6.5492654e-06,1.1946541,1.0022403,0.15822314,1.0,1
21809556000,21809556000,0.44380304,6.3767006e-06,0.8290848,1.0021497,0.07621191,1.0,1
21809652000,21809652000,0.44288927,6.223859e-06,0.7353386,1.0021774,0.059949793,1.0,1
21809756000,21809756000,0.44210082,6.0584534e-06,0.4581561,1.0022851,0.023269828,1.0,1
21809860000,21809860000,0.44114786,5.885598e-06,0.79086745,1.0024201,0.06932902,1.0,1
21809956000,21809956000,0.44010708,5.7241205e-06,0.8447733,1.0024643,0.07909863,1.0,1
21810060000,21810060000,0.43878058,5.557969e-06,0.84721214,1.0023532,0.07956481,1.0,1
21810156000,21810156000,0.43793172,5.4147386e-06,0.5200169,1.0023003,0.02997744,1.0,1
21810252000,21810252000,0.43734357,5.2772966e-06,0.33357066,1.0023054,0.012334829,1.0,1
21810356000,21810356000,0.43707353,5.1334737e-06,-0.4339612,1.002279,0.020877123,1.0,1
21810460000,21810460000,0.43693897,4.9929736e-06,0.031309724,1.0022951,0.00010867267,1.0,1
21810556000,21810556000,0.4370734,4.8662564e-06,-0.07198745,1.002314,0.00057447,1.0,1
21810652000,21810652000,0.43728754,4.742011e-06,-0.2714819,1.0023477,0.008169977,1.0,1
21810756000,21810756000,0.4374462,4.6117316e-06,-0.040687717,1.0023011,0.00018352107,1.0,1
21810852000,21810852000,0.43760628,4.4963467e-06,-0.17198628,1.0022951,0.0032790608,1.0,1
21810956000,21810956000,0.43773052,4.3771424e-06,-0.065143526,1.002226,0.00047047262,1.0,1
21811052000,21811052000,0.43798122,4.272149e-06,-1.0397466,1.002209,0.11985448,1.0017343,1
21811156000,21811156000,0.43819192,4.1638837e-06,-0.2012658,1.002144,0.004491251,1.0,1
21811252000,21811252000,0.43848917,4.068437e-06,-0.21592517,1.0021327,0.0051693846,1.0,1
21811356000,21811356000,0.43874806,3.970552e-06,-0.27956206,1.0020487,0.008666128,1.0,1
