timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
1743177449813379,1743177449813379,-6.5753295e-05,0.01157289,-0.0048857178,0.018277347,1.3313813,-0.4818861
1743177449817379,1743177449817379,0.008019692,0.013848765,-0.0032279762,0.8689309,0.94094616,-0.09000452
1743177449825379,1743177449825379,0.0026441324,0.004922211,0.008957033,-0.47988474,-0.4808775,0.99772394
1743177449833379,1743177449833379,-0.011823089,-0.0047908947,0.007534537,-1.2014194,-0.94085747,0.13593282
1743177449845379,1743177449845379,0.003378802,-0.008808787,-0.0032476026,0.52869266,-0.80602616,-0.749218
1743177449853379,1743177449853379,0.0034899076,-0.007753173,0.0054639424,0.2826625,-0.06438626,0.6741172
1743177449865379,1743177449865379,-0.00555347,-0.0025659215,0.0010025658,-0.38031283,0.080526784,-0.9399871
1743177449873379,1743177449873379,0.006336962,-0.0017487102,0.001147361,0.83387184,0.1986355,-0.07391018
1743177449885379,1743177449885379,-0.008343494,-0.0023403217,-0.0075444593,-1.0393775,-0.3109667,-0.6617819
1743177449893379,1743177449893379,-0.0062529678,-0.0020680807,-0.008162729,-0.051665068,0.021976028,-0.26341975
1743177449905379,1743177449905379,-0.0013192927,0.0018122464,-0.004604089,0.3961581,0.30035394,0.05053504
1743177449913379,1743177449913379,-0.0039882474,0.0019111617,0.003496646,-0.102323934,0.025302844,0.7319955
1743177449925379,1743177449925379,-0.0008508182,-0.0032588213,0.0059397663,0.1879817,-0.75561655,0.20793588
1743177449933379,1743177449933379,-0.00043183024,-0.0032604171,-0.01121379,0.18432137,-0.14564341,-1.4680107
1743177449945379,1743177449945379,0.0060945516,0.006077837,-0.005366693,0.19504762,0.8379357,0.37755954
1743177449953379,1743177449953379,-0.0024659797,-0.0038762817,-0.00039282892,-0.6634172,-0.6890388,0.536098
1743177449965379,1743177449965379,0.0031728852,0.0043294653,0.004801289,0.3980292,0.743624,0.43904224
1743177449973379,1743177449973379,0.0022208474,0.011858442,-0.0015905222,0.112880275,0.7851001,-0.48914826
1743177449985379,1743177449985379,-4.1957886e-05,0.013686236,0.0016052843,-0.34287304,0.5174324,0.52174294
1743177449993379,1743177449993379,0.0012388588,0.010975499,0.0023103717,0.124972165,-0.22795081,0.047200855
1743177450005379,1743177450005379,-0.005109857,0.00023009587,0.0011399091,-0.7914496,-0.6738963,-0.03949381
1743177450013379,1743177450013379,0.004110785,-0.0030124744,-0.016271258,0.6957931,-0.4610937,-1.5125008
1743177450025379,1743177450025379,0.009485341,-0.0019069469,-0.0066109793,0.52304876,0.32320186,0.52569854
1743177450033379,1743177450033379,0.0004023269,0.004882387,-0.0018230093,-0.7250981,0.543695,0.57746273
