timestamp,nav_state,failure
1743177449653379,4,0
1743177450157379,4,0
1743177450685379,4,0
1743177451229379,4,0
1743177451733379,4,0
1743177452237379,4,0
1743177452741379,4,0
1743177453245379,4,0
1743177453749379,4,0
1743177454253379,4,0
1743177454553379,17,0
1743177455057379,17,0
1743177455561379,17,0
1743177456085379,17,0
1743177456629379,17,0
1743177457141379,17,0
1743177457693379,17,0
1743177458197379,17,0
1743177458537379,3,0
1743177459053379,3,0
1743177459565379,3,0
1743177460077379,3,0
1743177460581379,3,0
1743177461085379,3,0
1743177461589379,3,0
1743177462093379,3,0
1743177462597379,3,0
1743177463101379,3,0
1743177463605379,3,0
1743177464109379,3,0
1743177464613379,3,0
1743177465117379,3,0
1743177465621379,3,0
1743177466125379,3,0
1743177466629379,3,0
1743177467133379,3,0
1743177467637379,3,0
1743177468141379,3,0
1743177468645379,3,0
1743177469149379,3,0
1743177469653379,3,0
1743177470157379,3,0
1743177470661379,3,0
1743177471165379,3,0
1743177471669379,3,0
1743177472173379,3,0
1743177472677379,3,0
1743177473181379,3,0
1743177473685379,3,0
1743177474189379,3,0
1743177474693379,3,0
1743177475197379,3,0
1743177475701379,3,0
1743177476205379,3,0
1743177476709379,3,0
1743177477213379,3,0
1743177477717379,3,0
1743177478221379,3,0
1743177478725379,3,0
1743177479229379,3,0
1743177479733379,3,0
1743177480237379,3,0
1743177480741379,3,0
1743177481245379,3,0
1743177481749379,3,0
1743177482253379,3,0
1743177482757379,3,0
1743177483261379,3,0
1743177483765379,3,0
1743177484269379,3,0
1743177484773379,3,0
1743177485277379,3,0
1743177485781379,3,0
1743177486285379,3,0
1743177486789379,3,0
1743177487293379,3,0
1743177487797379,3,0
1743177488301379,3,0
1743177488805379,3,0
1743177489309379,3,0
1743177489813379,3,0
1743177490317379,3,0
1743177490821379,3,0
1743177491325379,3,0
1743177491829379,3,0
1743177492333379,3,0
1743177492837379,3,0
1743177493341379,3,0
1743177493845379,3,0
1743177494349379,3,0
1743177494853379,3,0
1743177495357379,3,0
1743177495861379,3,0
1743177496365379,3,0
1743177496869379,3,0
1743177497373379,3,0
1743177497877379,3,0
1743177498381379,3,0
1743177498885379,3,0
1743177499389379,3,0
1743177499893379,3,0
1743177500397379,3,0
1743177500901379,3,0
1743177501405379,3,0
1743177501909379,3,0
1743177502413379,3,0
1743177502917379,3,0
1743177503421379,3,0
1743177503925379,3,0
1743177504429379,3,0
1743177504933379,3,0
1743177505437379,3,0
1743177505941379,3,0
1743177506445379,3,0
1743177506949379,3,0
1743177507453379,3,0
1743177507957379,3,0
1743177508461379,3,0
1743177508965379,3,0
1743177509469379,3,0
1743177509973379,3,0
1743177510477379,3,0
1743177510981379,3,0
1743177511485379,3,0
1743177511989379,3,0
1743177512493379,3,0
1743177512997379,3,0
1743177513501379,3,0
1743177514005379,3,0
1743177514509379,3,0
1743177515013379,3,0
1743177515517379,3,0
1743177516021379,3,0
1743177516525379,3,0
1743177517029379,3,0
1743177517533379,3,0
1743177518037379,3,0
1743177518541379,3,0
1743177519045379,3,0
1743177519549379,3,0
1743177520053379,3,0
1743177520557379,3,0
1743177521061379,3,0
1743177521565379,3,0
1743177522069379,3,0
1743177522573379,3,0
1743177523077379,3,0
1743177523581379,3,0
1743177524085379,3,0
1743177524589379,3,0
1743177525093379,3,0
1743177525597379,3,0
1743177526101379,3,0
1743177526605379,3,0
1743177527109379,3,0
1743177527613379,3,0
1743177528117379,3,0
1743177528621379,3,0
1743177529125379,3,0
1743177529629379,3,0
1743177530133379,3,0
1743177530637379,3,0
1743177531141379,3,0
1743177531645379,3,0
1743177532149379,3,0
1743177532653379,3,0
1743177533157379,3,0
1743177533661379,3,0
1743177534165379,3,0
1743177534669379,3,0
1743177535173379,3,0
1743177535677379,3,0
1743177536181379,3,0
1743177536685379,3,0
1743177537189379,3,0
1743177537693379,3,0
1743177538197379,3,0
1743177538701379,3,0
1743177539205379,3,0
1743177539709379,3,0
1743177540213379,3,0
1743177540717379,3,0
1743177541221379,3,0
1743177541725379,3,0
1743177542229379,3,0
1743177542733379,3,0
1743177543237379,3,0
1743177543741379,3,0
1743177544245379,3,0
1743177544749379,3,0
1743177545253379,3,0
1743177545757379,3,0
1743177546261379,3,0
1743177546765379,3,0
1743177547269379,3,0
1743177547773379,3,0
1743177548277379,3,0
1743177548781379,3,0
1743177549285379,3,0
1743177549789379,3,0
