timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
1743177449705379,0,0,0,0,0
1743177450209379,0,0,0,0,0
1743177450713379,0,0,0,0,0
1743177451217379,0,0,0,0,0
1743177451721379,0,0,0,0,0
1743177452225379,0,0,0,0,0
1743177452729379,0,0,0,0,0
1743177453233379,0,0,0,0,0
1743177453737379,0,0,0,0,0
1743177454241379,0,0,0,0,0
1743177454745379,0,0,0,0,0
1743177455249379,0,0,0,0,0
1743177455753379,0,0,0,0,0
1743177456257379,0,0,0,0,0
1743177456761379,0,0,0,0,0
1743177457265379,0,0,0,0,0
1743177457769379,0,0,0,0,0
1743177458273379,0,0,0,0,0
1743177458777379,0,0,0,0,0
1743177459281379,0,0,0,0,0
1743177459785379,0,0,0,0,0
1743177460289379,0,0,0,0,0
1743177460793379,0,0,0,0,0
1743177461297379,0,0,0,0,0
1743177461801379,0,0,0,0,0
1743177462305379,0,0,0,0,0
1743177462809379,0,0,0,0,0
1743177463313379,0,0,0,0,0
1743177463817379,0,0,0,0,0
1743177464321379,0,0,0,0,0
1743177464825379,0,0,0,0,0
1743177465329379,0,0,0,0,0
1743177465833379,0,0,0,0,0
1743177466337379,0,0,0,0,0
1743177466841379,0,0,0,0,0
1743177467345379,0,0,0,0,0
1743177467849379,0,0,0,0,0
1743177468353379,0,0,0,0,0
1743177468857379,0,0,0,0,0
1743177469361379,0,0,0,0,0
1743177469865379,0,0,0,0,0
1743177470369379,0,0,0,0,0
1743177470873379,0,0,0,0,0
1743177471377379,0,0,0,0,0
1743177471881379,0,0,0,0,0
1743177472385379,0,0,0,0,0
1743177472889379,0,0,0,0,0
1743177473393379,0,0,0,0,0
1743177473897379,0,0,0,0,0
1743177474401379,0,0,0,0,0
1743177474905379,0,0,0,0,0
1743177475409379,0,0,0,0,0
1743177475913379,0,0,0,0,0
1743177476417379,0,0,0,0,0
1743177476921379,0,0,0,0,0
1743177477425379,0,0,0,0,0
1743177477929379,0,0,0,0,0
1743177478433379,0,0,0,0,0
1743177478937379,0,0,0,0,0
1743177479441379,0,0,0,0,0
1743177479945379,0,0,0,0,0
1743177480449379,0,0,0,0,0
1743177480953379,0,0,0,0,0
1743177481457379,0,0,0,0,0
1743177481961379,0,0,0,0,0
1743177482465379,0,0,0,0,0
1743177482969379,0,0,0,0,0
1743177483473379,0,0,0,0,0
1743177483977379,0,0,0,0,0
1743177484481379,0,0,0,0,0
1743177484985379,0,0,0,0,0
1743177485489379,0,0,0,0,0
1743177485993379,0,0,0,0,0
1743177486497379,0,0,0,0,0
1743177487001379,0,0,0,0,0
