timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
21750184000,4000000.0,1.0,25232.072,0.0,9882472,0,697.2112,915196,16230,0,0,0,0.017733905,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21751184000,4000000.0,1.0,25600.598,0.0,9882924,0,697.2112,915224,16230,0,0,0,0.017733363,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21752172000,4000000.0,1.0,25113.547,0.0,9883360,0,697.2112,915251,16230,0,0,0,0.01773284,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21753180000,4000000.0,1.0,25365.54,0.0,9883823,0,697.2112,915280,16230,0,0,0,0.01773228,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21754180000,4000000.0,1.0,25491.037,0.0,9884269,0,697.2112,915308,16230,0,0,0,0.017731735,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21755180000,4000000.0,1.0,25467.133,0.0,9884723,0,697.2112,915336,16230,0,0,0,0.017731193,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21756180000,4000000.0,1.0,25376.494,0.0,9885172,0,697.2112,915364,16230,0,0,0,0.017730651,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21757176000,4000000.0,1.0,25401.395,0.0,9885621,0,697.2112,915391,16230,0,0,0,0.017730128,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21758176000,4000000.0,1.0,25153.387,0.0,9886069,0,697.2112,915419,16230,0,0,0,0.017729586,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21759176000,4000000.0,1.0,25486.057,0.0,9886519,0,697.2112,915447,16230,0,0,0,0.017729044,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21760172000,4000000.0,1.0,25240.041,0.0,9886959,0,725.0996,915475,16230,0,0,0,0.017728502,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21761156000,4000000.0,1.0,25612.55,0.0,9887410,0,697.2112,915503,16230,0,0,0,0.01772796,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21762152000,4000000.0,1.0,25205.18,0.0,9887854,0,697.2112,915531,16230,0,0,0,0.017727418,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21763156000,4000000.0,1.0,25673.307,0.0,9888311,0,697.2112,915559,16230,0,0,0,0.017726876,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21764148000,4000000.0,1.0,25218.129,0.0,9888752,0,697.2112,915587,16230,0,0,0,0.017726334,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21765152000,4000000.0,1.0,25392.432,0.0,9889203,0,697.2112,915615,16230,0,0,0,0.017725792,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21766156000,4000000.0,1.0,25330.678,0.0,9889655,0,697.2112,915643,16230,0,0,0,0.017725248,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21767156000,4000000.0,1.0,25351.594,0.0,9890106,0,697.2112,915671,16230,0,0,0,0.017724708,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21768152000,4000000.0,1.0,25294.822,0.0,9890552,0,697.2112,915699,16230,0,0,0,0.017724166,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21769152000,4000000.0,1.0,25444.225,0.0,9891003,0,697.2112,915727,16230,0,0,0,0.017723624,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
