timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,valid,data_source,sticks_moving
21726360000,21726360000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21726404000,21726404000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21726540000,21726540000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21726720000,21726720000,-0.75200003,0.003,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21726944000,21726944000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21727124000,21727124000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21727356000,21727356000,-0.75200003,0.003,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21727536000,21727536000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21727752000,21727752000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21727928000,21727928000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21728156000,21728156000,-0.75200003,0.003,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21728328000,21728328000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21728544000,21728544000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21728752000,21728752000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21728920000,21728920000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21729128000,21729128000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21729332000,21729332000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21729544000,21729544000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21729720000,21729720000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21729936000,21729932000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21730144000,21730144000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21730348000,21730348000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21730520000,21730520000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21730720000,21730720000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21730932000,21730932000,-0.75200003,0.003,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21731148000,21731148000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21731360000,21731360000,-0.75200003,0.003,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21731516000,21731516000,-0.75200003,0.003,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21731728000,21731728000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21731948000,21731948000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21732148000,21732148000,-0.75200003,0.003,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21732324000,21732324000,-0.75200003,0.003,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21732540000,21732540000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21732744000,21732744000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21732920000,21732920000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21733136000,21733136000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21733348000,21733348000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21733524000,21733524000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21733732000,21733732000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
21733904000,21733904000,-0.75200003,0.0050000004,0.51000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
