timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,accel_calibration_count,gyro_calibration_count
21726360000,0.0026631611,0.00026631754,0.0002663145,4000,0,-0.04601646,-0.10366528,-9.783644,4000,0,20,0
21726364000,0.0021305296,-0.0005326328,0.0007989477,4000,0,-0.08312658,-0.06416094,-9.837513,4000,0,20,0
21726368000,0.0015978962,-0.00026631824,0.0034621095,4000,0,-0.10108309,-0.043810233,-9.854271,4000,0,20,0
21726372000,0.0031957945,-0.00079894596,0.0021305291,4000,0,-0.073549785,-0.022262413,-9.824343,4000,0,20,0
21726376000,0.0066579054,-0.0013315729,-0.0029294773,4000,0,-0.04960775,-0.007897201,-9.794415,4000,0,20,0
21726380000,0.0031957952,-0.00026631154,-0.003462109,4000,0,-0.059184555,-0.035430524,-9.80998,4000,0,20,0
21726384000,-0.0021305284,0.00079895026,0.0005326329,4000,0,-0.084323674,-0.08690586,-9.861454,4000,0,20,0
21726388000,-0.0018642124,1.1448867e-09,0.0021305298,4000,0,-0.12382801,-0.10965079,-9.853073,4000,0,20,0
21726392000,-0.0018642102,-0.0037284258,0.0023968476,4000,0,-0.11784252,-0.045007326,-9.819557,4000,0,20,0
21726396000,-0.00479369,-0.0031957964,0.0021305252,4000,0,-0.056790367,0.031607136,-9.8423,4000,0,20,0
21726404000,0.0013315813,0.0069242204,0.0010652551,4000,0,-0.04601646,-0.049795732,-9.868638,4000,0,20,0
21726408000,0.0010652614,0.0034621102,-0.00079894933,4000,0,-0.066367164,-0.06535804,-9.909338,4000,0,20,0
21726412000,-0.0015979034,-0.0013315784,-0.0053263213,4000,0,-0.041228045,-0.03423342,-9.90814,4000,0,20,0
21726416000,-0.0021305329,-0.003195792,-0.004261058,4000,0,0.017429896,-0.055781245,-9.883001,4000,0,20,0
21726420000,3.7826292e-10,-0.0029294803,-0.0042610564,4000,0,-0.006512117,-0.047401536,-9.878215,4000,0,20,0
21726424000,0.0029294775,-0.003195798,-0.004527372,4000,0,-0.047213554,0.022030324,-9.877018,4000,0,20,0
21726428000,0.0018642026,-0.0055926433,0.0018642094,4000,0,-0.04003094,0.008862213,-9.856667,4000,0,20,0
21726432000,-0.0018642185,-0.0071905395,0.0053263153,4000,0,-0.04003094,-0.04620443,-9.831528,4000,0,20,0
21726440000,-0.00026631026,0.0007989441,-0.005060007,4000,0,0.06291973,-0.06775225,-9.836314,4000,0,20,0
21726444000,-0.0002663181,-0.00053263217,-0.0039947424,4000,0,-0.010103424,-0.08451166,-9.893776,4000,0,20,0
21726448000,-0.00079894694,0.0007989494,-0.0026631614,4000,0,-0.11544832,-0.074934855,-9.877018,4000,0,20,0
21726452000,0.0013315838,0.0039947405,-0.0018642143,4000,0,-0.10706859,-0.07852617,-9.844694,4000,0,20,0
21726456000,0.002929477,0.0010652632,-0.001065268,4000,0,-0.073549785,-0.060569644,-9.879411,4000,0,20,0
21726460000,0.0018642127,-0.002130531,0.0010652618,4000,0,-0.04841066,-0.046204425,-9.9213085,4000,0,20,0
21726468000,0.002396843,0.0007989509,0.0018642145,4000,0,-0.041228037,-0.08451166,-9.851877,4000,0,20,0
21726472000,0.0029294766,0.00079895207,-0.0021305296,4000,0,-0.006512117,-0.08451166,-9.859061,4000,0,20,0
21726480000,0.002130529,-0.00026631865,0.0005326332,4000,0,-0.016088923,-0.011488504,-9.799206,4000,0,20,0
21726484000,0.0018642124,0.0021305277,0.0026631628,4000,0,-0.059184555,-0.045007326,-9.80998,4000,0,20,0
21726488000,0.0018642109,0.0031957948,0.0010652654,4000,0,-0.016088923,-0.03662762,-9.829134,4000,0,20,0
21726492000,0.001597896,0.00053263316,-0.0005326336,4000,0,0.00905019,-0.031839218,-9.782446,4000,0,20,0
21726496000,-0.001331582,-0.004527373,-0.00292948,4000,0,-0.03524255,-0.08211746,-9.778852,4000,0,20,0
21726500000,-0.005060005,-0.0058589526,-0.00452738,4000,0,-0.09030921,-0.11683338,-9.854271,4000,0,20,0
21726504000,-0.0042610625,-0.0047936863,-0.0015978973,4000,0,-0.08192948,-0.08690586,-9.886595,4000,0,20,0
21726512000,-0.0018642165,1.3918005e-09,0.005592638,4000,0,-0.020877337,-0.08930006,-9.823146,4000,0,20,0
21726516000,-0.0013315766,-0.00213053,0.0029294791,4000,0,-0.06397297,-0.1443667,-9.807583,4000,0,20,0
21726520000,-0.0010652631,-0.00213053,0.0007989486,4000,0,-0.06876136,-0.106059484,-9.814766,4000,0,20,0
21726528000,2.4587086e-09,0.0053263227,0.0010652627,4000,0,-0.037636746,-0.089300066,-9.808783,4000,0,20,0
21726536000,0.0050600073,0.0010652681,0.003728423,4000,0,-0.07594398,-0.03662762,-9.850681,4000,0,20,0
21726540000,0.0010652625,0.002130528,0.0015979,4000,0,-0.060381673,-0.05578124,-9.865045,4000,0,20,0
21726544000,-0.0039947433,0.001597895,-0.0010652611,4000,0,-0.07235267,-0.11443919,-9.868638,4000,0,20,0
21726548000,-0.004261059,-0.00026631568,-0.0007989458,4000,0,-0.07953528,-0.09169427,-9.851877,4000,0,20,0
21726552000,-0.002929478,-0.00026631163,0.0026631614,4000,0,-0.05798745,-0.040218927,-9.849484,4000,0,20,0
21726560000,0.0018642124,0.0013315809,-0.0005326333,4000,0,-0.09150631,-0.0031087957,-9.868637,4000,0,20,0
21726564000,0.0037284268,0.0013315796,0.0007989475,4000,0,-0.06517007,-0.043810233,-9.7932205,4000,0,20,0
21726568000,0.00079894846,-0.0005326317,-0.0002663172,4000,0,-0.07714108,-0.09887687,-9.784839,4000,0,20,0
21726572000,-0.0010652645,-0.003462109,-0.002929479,4000,0,-0.0795353,-0.10127107,-9.811176,4000,0,20,0
21726576000,0.001597894,-0.005592641,-0.0021305252,4000,0,-0.014891823,-0.08211746,-9.808783,4000,0,20,0
21726580000,0.0039947415,-0.0031957964,-0.0007989427,4000,0,0.013838594,-0.08331456,-9.83392,4000,0,20,0
21726584000,0.0005326339,-0.0013315784,-0.0018642143,4000,0,-0.026862843,-0.06775225,-9.843496,4000,0,20,0
21726588000,-0.0039947443,-0.0034621076,0.000798946,4000,0,-0.037636746,-0.06416094,-9.823146,4000,0,20,0
21726592000,-0.0031957957,-0.0034621076,0.0023968462,4000,0,-0.04601645,-0.07373775,-9.845891,4000,0,20,0
21726596000,-0.00079894805,-0.0015978967,0.0007989493,4000,0,-0.073549785,-0.046204425,-9.8423,4000,0,20,0
21726604000,0.0010652656,-0.0018642124,-0.0005326327,4000,0,-0.03524255,-0.05937254,-9.859061,4000,0,20,0
21726608000,-0.004527374,-0.002130528,-0.0018642165,4000,0,-0.03524255,-0.05817544,-9.885397,4000,0,20,0
21726616000,0.0007989459,0.00133159,0.0045273723,4000,0,-0.102280185,-0.05697834,-9.873425,4000,0,20,0
21726620000,0.0029294775,0.0010652682,0.0029294768,4000,0,-0.06876136,-0.06176674,-9.836314,4000,0,20,0
21726624000,0.0015978953,0.0015978982,0.0002663172,4000,0,-0.043622255,-0.077329054,-9.838711,4000,0,20,0
21726628000,0.0013315792,0.0045273765,-0.0021305277,4000,0,-0.044819355,-0.053387035,-9.873425,4000,0,20,0
21726632000,-0.0018642092,0.0042610597,0.0005326371,4000,0,-0.06277587,-0.042613134,-9.855468,4000,0,20,0
21726636000,-0.0034621079,0.0013315809,0.0015979009,4000,0,-0.102280185,-0.06894935,-9.811176,4000,0,20,0
21726644000,-0.0034621092,-4.976729e-10,-0.003994743,4000,0,-0.04601645,-0.024656616,-9.8015995,4000,0,20,0
21726648000,-0.0034621072,0.0021305315,-0.0018642154,4000,0,-0.05319906,-0.023459513,-9.832724,4000,0,20,0
21726652000,-0.0034621083,0.0026631632,-5.6819616e-10,4000,0,-0.08432369,-0.018671108,-9.881804,4000,0,20,0
21726656000,-0.002929474,0.00372843,0.0037284244,4000,0,-0.08552079,-0.027050816,-9.890184,4000,0,20,0
21726660000,-0.002396843,0.003994744,0.0055926386,4000,0,-0.08552079,-0.05817544,-9.827936,4000,0,20,0
21726668000,0.002130531,-0.0007989451,0.0031957936,4000,0,-0.11425122,-0.048598636,-9.783644,4000,0,20,0
21726672000,0.0013315813,-0.0007989474,0.0005326321,4000,0,-0.09629471,-0.018671108,-9.798006,4000,0,20,0
21726676000,-0.0010652632,-0.0029294766,-0.0031957955,4000,0,-0.08552079,-0.0031087964,-9.829134,4000,0,20,0
21726684000,0.0010652686,-0.001065275,-0.009587378,4000,0,-0.067564264,-0.049795732,-9.829134,4000,0,20,0
21726688000,0.0037284223,-0.0015979073,-0.0039947415,4000,0,-0.020877337,-0.09289137,-9.850681,4000,0,20,0
21726692000,0.0015978952,-0.001065267,0.00026631562,4000,0,0.0042617843,-0.076131955,-9.8411045,4000,0,20,0
21726696000,0.0010652656,-0.00053263083,-0.002396845,4000,0,-0.03165124,-0.027050817,-9.838711,4000,0,20,0
