timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
21726972000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.048727043,0.0037586906,1.0670201e-11,-0.11856087,-0.04462775,-9.820728,0.0003195794,0.0021731397,-0.0008096009,0.0022122264,0.0013518272,0.0016601827,1.4911119e-05,6.3756943e-06,7.0157153e-06,13.515134,13.515134
21727972000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.048366234,0.0037265439,1.7005137e-11,-0.111090966,-0.03256097,-9.812203,-0.0023648872,0.00049002154,0.0006817693,0.0016238182,0.0018709907,0.003673046,8.421945e-06,1.4523476e-05,7.5241014e-06,13.515134,13.515134
21728972000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.11124833,0.005548733,4.8119855e-11,-0.09394846,-0.05477916,-9.78625,-0.00087351684,-0.0012783173,-0.00025566353,0.0013937415,0.0037494646,0.0393811,6.697248e-05,8.26126e-06,1.7546552e-05,13.515134,13.515134
21729972000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.16657706,0.00622218,3.9037697e-11,-0.109750204,-0.065505184,-9.831166,0.0014913704,0.0016831179,0.0019813916,0.0012971649,0.0029687658,0.064241104,5.52188e-05,1.3950633e-05,1.0588029e-05,13.515134,13.515134
21730972000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.18088502,0.006504531,2.3736072e-11,-0.101514146,-0.045489658,-9.822452,0.0007456851,0.00055393745,-0.00066046393,0.0017879884,0.0033939208,0.06534434,6.175518e-05,6.6153616e-06,9.425097e-06,13.515134,13.515134
21731972000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.19595258,0.0071100406,4.1448442e-11,-0.12344504,-0.045202356,-9.812684,-0.00019174755,0.001683118,-0.00029827392,0.0013354106,0.0029198995,0.069688894,7.8184195e-05,1.7650045e-05,1.2144051e-05,13.515134,13.515134
21732972000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.27225432,0.009278135,4.948732e-11,-0.110803664,-0.050086524,-9.808086,0.00012783168,0.00012783187,0.00027696876,0.0026760302,0.0026161373,0.18436645,0.00014537273,1.6006872e-05,9.534947e-06,13.515134,13.515134
21733972000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.41808248,0.01763253,1.9425281e-09,-0.17142485,-0.116358034,-9.893225,-0.039180424,0.034301516,-0.0025353287,0.007959965,0.016813224,0.6196926,0.006068758,0.0018431232,0.0005012197,13.515134,13.515134
21734972000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.16718763,0.026535455,1.1022119e-09,-0.059663504,-0.06588827,-9.597877,0.005667208,-0.01578722,0.0011717905,0.0019200217,0.017047618,0.31368273,0.0077211424,2.6619415e-05,4.3757434e-05,13.510279,13.510279
21735972000,1310988,1310988,0,0,0,0,0,250.0,250.0,250.0,250.0,0.11801543,0.021451179,8.880806e-11,-0.08657433,-0.07096398,-9.160693,0.007009439,0.009736517,0.007882957,0.002889341,0.0023804137,0.0011698303,5.5347704e-05,1.4605183e-05,1.4911119e-05,13.503227,13.503227
