timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
21726360000,21632828000,0,808026156,271155212,271548463,21726360000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21726864000,21632828000,0,808026156,271155212,271548463,21726360000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21727368000,21632828000,0,808026156,271155212,271548463,21726360000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21727392000,21632828000,0,808026156,271155212,271548463,21726360000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21727896000,21632828000,0,808026156,271155212,271548463,21726360000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21728400000,21632828000,0,808026156,271155212,271548463,21726360000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21728904000,21632828000,0,808026156,271155212,271548463,21726360000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21729408000,21632828000,0,808026156,271155212,271548463,21726360000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21729912000,21632828000,0,808026156,271155212,271548463,21726360000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21730284000,21730284000,0,808026156,271155212,271548463,21726360000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21730788000,21730284000,0,808026156,271155212,271548463,21726360000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21731296000,21730284000,0,808026156,271155212,271548463,21726360000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21731800000,21730284000,0,808026156,271155212,271548463,21726360000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21732292000,21730284000,0,808026156,271155212,271548463,21726360000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21732796000,21730284000,0,808026156,271155212,271548463,21726360000,0,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21733300000,21730284000,0,808026156,271155212,271548463,21726360000,21733108000,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21733804000,21730284000,0,808026156,271155212,271548463,21726360000,21733108000,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21734308000,21730284000,0,808026156,271155212,271548463,21726360000,21733108000,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21734812000,21730284000,0,808026156,271155212,271548463,21726360000,21733108000,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21735320000,21730284000,0,808026156,271155212,271548463,21726360000,21733108000,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21735824000,21730284000,0,808026156,271155212,271548463,21726360000,21733108000,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21736328000,21730284000,0,808026156,271155212,271548463,21726360000,21733108000,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21736832000,21730284000,0,808026156,271155212,271548463,21726360000,21733108000,14,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
