timestamp,position,velocity,acceleration,attitude,body_rate,actuator
21727388000,0,1,0,0,0,0
21727428000,0,1,0,0,0,0
21727468000,0,1,0,0,0,0
21727588000,0,1,0,0,0,0
21727668000,0,1,0,0,0,0
21727784000,0,1,0,0,0,0
21727868000,0,1,0,0,0,0
21727980000,0,1,0,0,0,0
21728064000,0,1,0,0,0,0
21728188000,0,1,0,0,0,0
21728268000,0,1,0,0,0,0
21728348000,0,1,0,0,0,0
21728476000,0,1,0,0,0,0
21728552000,0,1,0,0,0,0
21728672000,0,1,0,0,0,0
21728784000,0,1,0,0,0,0
21728868000,0,1,0,0,0,0
21728988000,0,1,0,0,0,0
21729060000,0,1,0,0,0,0
21729180000,0,1,0,0,0,0
21729260000,0,1,0,0,0,0
21729372000,0,1,0,0,0,0
21729488000,0,1,0,0,0,0
21729568000,0,1,0,0,0,0
21729648000,0,1,0,0,0,0
21729772000,0,1,0,0,0,0
21729852000,0,1,0,0,0,0
21729972000,0,1,0,0,0,0
21730052000,0,1,0,0,0,0
21730172000,0,1,0,0,0,0
21730284000,0,1,0,0,0,0
21730364000,0,1,0,0,0,0
21730444000,0,1,0,0,0,0
21730572000,0,1,0,0,0,0
21730684000,0,1,0,0,0,0
21730768000,0,1,0,0,0,0
21730888000,0,1,0,0,0,0
21730972000,0,1,0,0,0,0
21731052000,0,1,0,0,0,0
21731176000,0,1,0,0,0,0
21731256000,0,1,0,0,0,0
21731364000,0,1,0,0,0,0
21731472000,0,1,0,0,0,0
21731552000,0,1,0,0,0,0
21731672000,0,1,0,0,0,0
21731756000,0,1,0,0,0,0
21731876000,0,1,0,0,0,0
21731956000,0,1,0,0,0,0
21732080000,0,1,0,0,0,0
21732160000,0,1,0,0,0,0
21732288000,1,0,0,0,0,0
21732364000,1,0,0,0,0,0
21732484000,1,0,0,0,0,0
21732564000,1,0,0,0,0,0
21732680000,1,0,0,0,0,0
21732760000,1,0,0,0,0,0
21732884000,1,0,0,0,0,0
21732964000,1,0,0,0,0,0
21733088000,1,0,0,0,0,0
21733168000,1,0,0,0,0,0
21733292000,1,0,0,0,0,0
21733368000,1,0,0,0,0,0
21733488000,1,0,0,0,0,0
21733568000,1,0,0,0,0,0
21733652000,1,0,0,0,0,0
21733768000,1,0,0,0,0,0
21733848000,1,0,0,0,0,0
21733972000,1,0,0,0,0,0
21734052000,1,0,0,0,0,0
21734172000,1,0,0,0,0,0
21734252000,1,0,0,0,0,0
21734372000,1,0,0,0,0,0
21734452000,1,0,0,0,0,0
21734576000,1,0,0,0,0,0
21734656000,1,0,0,0,0,0
21734776000,1,0,0,0,0,0
21734856000,1,0,0,0,0,0
21734972000,1,0,0,0,0,0
21735056000,1,0,0,0,0,0
21735176000,1,0,0,0,0,0
21735256000,1,0,0,0,0,0
21735376000,1,0,0,0,0,0
21735456000,1,0,0,0,0,0
21735576000,1,0,0,0,0,0
21735660000,1,0,0,0,0,0
21735780000,1,0,0,0,0,0
21735856000,1,0,0,0,0,0
21735972000,1,0,0,0,0,0
21736060000,1,0,0,0,0,0
21736176000,1,0,0,0,0,0
21736252000,1,0,0,0,0,0
21736376000,1,0,0,0,0,0
21736456000,1,0,0,0,0,0
21736576000,1,0,0,0,0,0
21736656000,1,0,0,0,0,0
21736776000,1,0,0,0,0,0
21736856000,1,0,0,0,0,0
21736980000,1,0,0,0,0,0
21737060000,1,0,0,0,0,0
21737180000,1,0,0,0,0,0
21737300000,0,1,0,0,0,0
21737376000,0,1,0,0,0,0
21737460000,1,0,0,0,0,0
21737580000,1,0,0,0,0,0
21737660000,1,0,0,0,0,0
21737780000,1,0,0,0,0,0
21737860000,1,0,0,0,0,0
21737980000,1,0,0,0,0,0
21738056000,1,0,0,0,0,0
21738176000,1,0,0,0,0,0
21738256000,1,0,0,0,0,0
21738376000,1,0,0,0,0,0
21738456000,1,0,0,0,0,0
21738576000,1,0,0,0,0,0
21738656000,1,0,0,0,0,0
21738776000,1,0,0,0,0,0
21738856000,1,0,0,0,0,0
21738984000,1,0,0,0,0,0
21739056000,1,0,0,0,0,0
21739180000,1,0,0,0,0,0
21739260000,1,0,0,0,0,0
