timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
21727028000,21727028000,197644,0.11657429,0.15589866,0.48828492,13.515131,0
21728036000,21728036000,197644,0.119465485,0.1556531,0.4857844,13.515131,0
21729028000,21729028000,197644,0.119247876,0.1597754,0.48377898,13.515131,0
21730028000,21730028000,197644,0.12264751,0.15505703,0.48182443,13.515131,0
21731024000,21731024000,197644,0.117244646,0.16072395,0.4862388,13.515131,0
21732032000,21732032000,197644,0.123817824,0.15352502,0.4802903,13.515131,0
21733028000,21733028000,197644,0.1186267,0.15815274,0.48384896,13.515131,0
21734024000,21734024000,197644,0.12097459,0.16064067,0.48821512,13.515131,0
21735032000,21735032000,197644,0.11628478,0.14954355,0.48761362,13.509211,0
21736028000,21736028000,197644,0.11923437,0.15583915,0.48669285,13.502771,0
21737024000,21737024000,197644,0.11534199,0.15992166,0.4908954,13.500391,0
21738032000,21738032000,197644,0.11019252,0.16316538,0.49279702,13.500116,0
21739024000,21739024000,197644,0.007890176,0.21889856,0.48394257,13.498102,0
21740024000,21740024000,197644,-0.0738478,0.15155964,0.50055695,13.490412,0
21741032000,21741032000,197644,-0.07247274,0.15762205,0.4919433,13.472773,0
21742028000,21742028000,197644,-0.0769796,0.1556753,0.50409645,13.448145,0
21743032000,21743032000,197644,-0.0864513,0.15869212,0.49541935,13.419062,0
21744032000,21744032000,197644,-0.09285135,0.15755509,0.49721274,13.387964,0
21745028000,21745028000,197644,-0.09452794,0.15741366,0.49915326,13.354334,0
21746024000,21746024000,197644,-0.099866055,0.14991102,0.4981222,13.320368,0
21747032000,21747032000,197644,-0.09878987,0.15053177,0.49631885,13.284815,0
21748024000,21748024000,197644,-0.10405643,0.15072176,0.49734566,13.248713,0
21749036000,21749036000,197644,-0.10452623,0.15067458,0.49198765,13.212244,0
21750032000,21750032000,197644,-0.104425326,0.14655197,0.4978685,13.176416,0
21751028000,21751028000,197644,-0.098887995,0.1483605,0.49425554,13.139521,0
21752020000,21752020000,197644,-0.10925849,0.14791356,0.4964026,13.103388,0
21753032000,21753032000,197644,-0.10539544,0.14774404,0.49243936,13.066278,0
21754028000,21754028000,197644,-0.105271325,0.15003417,0.48917097,13.029108,0
21755024000,21755024000,197644,-0.10613549,0.15523203,0.49275333,12.992762,0
21756032000,21756032000,197644,-0.11568967,0.14750014,0.49143815,12.95553,0
21757028000,21757028000,197644,-0.10401542,0.15972216,0.49314612,12.918268,0
21758032000,21758032000,197644,-0.103380695,0.14949353,0.49690542,12.881006,0
21759032000,21759032000,197644,-0.1040106,0.14801316,0.4921485,12.844599,0
21760028000,21760028000,197644,-0.10840537,0.14579172,0.4952632,12.807306,0
21761024000,21761024000,197644,-0.10796431,0.15406422,0.49191263,12.770899,0
21762032000,21762032000,197644,-0.106086805,0.15148419,0.49486545,12.733576,0
21763028000,21763028000,197644,-0.102085575,0.14445263,0.4983045,12.696283,0
21764032000,21764032000,197644,-0.10739788,0.14646068,0.48909143,12.65896,0
21765032000,21765032000,197644,-0.10584318,0.14926684,0.49386606,12.622522,0
21766028000,21766028000,197644,-0.10852835,0.14673746,0.49437404,12.585199,0
21767024000,21767024000,197644,-0.104962945,0.15122946,0.49160537,12.548761,0
21768028000,21768028000,197644,-0.10640409,0.15709488,0.49080193,12.511438,0
21769028000,21769028000,197644,-0.10531377,0.15535425,0.4990504,12.474085,0
21770024000,21770024000,197644,-0.11053633,0.1478852,0.48362282,12.437647,0
21771032000,21771032000,197644,-0.111917086,0.1503802,0.48923892,12.400293,0
21772028000,21772028000,197644,-0.09949452,0.14742701,0.48686484,12.36294,0
21773024000,21773024000,197644,-0.11049983,0.15587683,0.48999828,12.326471,0
21774028000,21774028000,197644,-0.11396457,0.15777029,0.49314117,12.289087,0
21775024000,21775024000,197644,-0.10724939,0.15232408,0.48515984,12.251734,0
21776020000,21776020000,197644,-0.10268646,0.15556102,0.49201384,12.215235,0
21777032000,21777032000,197644,-0.10982498,0.14698508,0.4973011,12.177851,0
21778028000,21778028000,197644,-0.11035276,0.15073907,0.4918644,12.140467,0
21779036000,21779036000,197644,-0.10611505,0.1540861,0.4917234,12.103113,0
21780032000,21780032000,197644,-0.1074782,0.15514795,0.4969001,12.066614,0
21781028000,21781028000,197644,-0.09760364,0.15939994,0.49234614,12.02923,0
21782024000,21782024000,197644,-0.10751542,0.1507475,0.49263886,11.992762,0
21783032000,21783032000,197644,-0.11114425,0.14716361,0.49289092,11.955378,0
21784028000,21784028000,197644,-0.10162206,0.14828557,0.48807222,11.918024,0
21785024000,21785024000,197644,-0.10798378,0.14928739,0.49773705,11.881556,0
21786032000,21786032000,197644,-0.10163431,0.15131974,0.49400073,11.844233,0
21787028000,21787028000,197644,-0.10176676,0.14774041,0.4984991,11.806879,0
21788020000,21788020000,197644,-0.09874706,0.15574706,0.49296606,11.770441,0
21789028000,21789028000,197644,-0.108188406,0.1543231,0.49296102,11.733149,0
21790024000,21790024000,197644,-0.09981846,0.15204583,0.5038695,11.695826,0
21791020000,21791020000,197644,-0.10319517,0.14723514,0.49306786,11.659418,0
21792032000,21792032000,197644,-0.09986292,0.15029995,0.4865613,11.622095,0
21793028000,21793028000,197644,-0.104529895,0.15435842,0.49171093,11.584772,0
21794024000,21794024000,197644,-0.10572854,0.14720494,0.49354142,11.548365,0
21795032000,21795032000,197644,-0.108079284,0.16044366,0.48889226,11.511042,0
21796028000,21796028000,197644,-0.1045194,0.15330556,0.48986882,11.473719,0
21797024000,21797024000,197644,-0.104070306,0.15463252,0.49798754,11.437281,0
21798032000,21798032000,197644,-0.10544209,0.15248299,0.49848166,11.399988,0
21799028000,21799028000,197644,-0.10450578,0.15149175,0.49060798,11.362665,0
21800024000,21800024000,197644,-0.10154004,0.1610945,0.49296382,11.326227,0
21801032000,21801032000,197644,-0.10437956,0.15147182,0.4891505,11.288904,0
21802028000,21802028000,197644,-0.10575057,0.1504712,0.4889635,11.251581,0
21803024000,21803024000,197644,-0.100701325,0.14802945,0.49025133,11.215143,0
21804032000,21804032000,197644,-0.10778873,0.16157682,0.49184707,11.17782,0
21805028000,21805028000,197644,-0.104705825,0.14806613,0.4883702,11.140467,0
21806024000,21806024000,197644,-0.106582984,0.15490027,0.49608943,11.104029,0
21807032000,21807032000,197644,0.15689977,0.100608654,0.49217787,11.076471,0
21808024000,21808024000,197644,0.0835117,0.14992033,0.4950441,11.068232,0
21809032000,21809032000,197644,0.27934733,0.1479536,0.41526434,11.06576,0
21810028000,21810028000,197644,0.24708112,0.15221651,0.43568036,11.069025,0
21811028000,21811028000,197644,0.17785813,0.161763,0.472634,11.074488,0
21812024000,21812024000,197644,0.13175556,0.16607817,0.48379493,11.080347,0
21813028000,21813028000,197644,0.107314155,0.15760186,0.490694,11.08642,0
21814028000,21814028000,197644,0.11854051,0.14929953,0.5031249,11.092615,0
21815024000,21815024000,197644,0.1163323,0.15065408,0.4904792,11.098749,0
21816032000,21816032000,197644,0.12962203,0.156142,0.48813352,11.105097,0
21817028000,21817028000,197644,0.12538797,0.15242618,0.48686707,11.111597,0
21818024000,21818024000,197644,0.12591021,0.16165337,0.48870236,11.117945,0
21819032000,21819032000,197644,0.12104722,0.1550204,0.48601925,11.124353,0
21820028000,21820028000,197644,0.123728536,0.16028973,0.4830955,11.130884,0
21821024000,21821024000,197644,0.118182324,0.15533036,0.48375642,11.137384,0
21822028000,21822028000,197644,0.1271917,0.15072764,0.48317134,11.143976,0
21823028000,21823028000,197644,0.11625788,0.15413128,0.49166518,11.15069,0
21824020000,21824020000,197644,0.1188877,0.15037891,0.48036936,11.157312,0
21825032000,21825032000,197644,0.113469236,0.15524632,0.48445228,11.164087,0
21826028000,21826028000,197644,0.11561179,0.15268297,0.48556516,11.170893,0
21827024000,21827024000,197644,0.11876484,0.15092827,0.48933464,11.177515,0
21828032000,21828032000,197644,0.11705607,0.15876536,0.48318678,11.184168,0
21829028000,21829028000,197644,0.120929934,0.15080048,0.4835246,11.190851,0
