timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
21743056000,21743056000,1311004,1311004,-0.00062897906,8.459923e-05,5.894601e-05,0.015247236,-7.5903314e-05,-0.03679138,4000,4000,0,20,0
21743556000,21743556000,1311004,1311004,3.3443673e-06,6.209194e-05,3.510504e-05,0.015853997,-0.00036508255,-0.037415817,4000,4000,0,20,0
21744052000,21744052000,1311004,1311004,2.5675221e-05,4.8821257e-05,6.232729e-07,0.015675522,-0.00053675356,-0.037027754,4000,4000,0,20,0
21744556000,21744556000,1311004,1311004,-4.5954763e-05,4.0777726e-05,9.264249e-06,0.015830282,-0.00047204478,-0.03681445,4000,4000,0,20,0
21745056000,21745056000,1311004,1311004,-9.732837e-06,3.2048334e-05,-3.3198928e-06,0.015993731,-0.00035434111,-0.036338214,4000,4000,0,20,0
21745552000,21745552000,1311004,1311004,7.2185045e-05,1.2998303e-05,-3.454614e-07,0.016240023,-0.00072873884,-0.03694617,4000,4000,0,20,0
21746056000,21746056000,1311004,1311004,0.0008873329,2.3666618e-05,-3.4239638e-05,0.016614506,-0.0004661401,-0.03528696,4000,4000,0,20,0
21746556000,21746556000,1311004,1311004,2.564266e-05,3.7504193e-05,1.2630364e-05,0.016472498,-0.0003182052,-0.036030445,4000,4000,0,20,0
21747052000,21747052000,1311004,1311004,4.6918864e-05,4.828046e-05,6.842448e-08,0.016760468,-0.00011033254,-0.035814434,4000,4000,0,20,0
21747556000,21747556000,1311004,1311004,-1.45111035e-05,1.0647166e-05,4.849233e-06,0.016817218,-0.00023296563,-0.03553325,4000,4000,0,20,0
21748052000,21748052000,1311004,1311004,-1.9388779e-05,1.5969763e-05,-8.222333e-06,0.01672624,-0.00020626334,-0.035940733,4000,4000,0,20,0
21748552000,21748552000,1311004,1311004,-2.3423145e-05,3.821943e-05,-2.3626524e-05,0.017049104,-4.6158937e-05,-0.03589316,4000,4000,0,20,0
21749056000,21749056000,1311004,1311004,-8.838953e-05,3.2572698e-05,1.6244463e-05,0.016853876,-0.00021500366,-0.03643222,4000,4000,0,20,0
21749556000,21749556000,1311004,1311004,2.953574e-05,3.0716972e-06,8.657861e-06,0.016884785,-0.00012244724,-0.035589002,4000,4000,0,20,0
21750056000,21750056000,1311004,1311004,5.5129516e-05,8.393239e-06,-2.8108021e-05,0.017361421,-0.00017013513,-0.035184443,4000,4000,0,20,0
