timestamp,load,ram_usage
21726004000,0.13725491,0.3731166
21726504000,0.15686275,0.37302658
21727004000,0.1,0.37297234
21727504000,0.1923077,0.37315145
21728004000,0.13725491,0.37393653
21728504000,0.1632653,0.37461665
21729004000,0.1923077,0.37459078
21729504000,0.15686275,0.3741067
21730004000,0.25454545,0.37389225
21730504000,0.1764706,0.37391913
21731004000,0.18,0.37345594
21731504000,0.15384616,0.37356788
21732004000,0.24,0.37359375
21732504000,0.12244898,0.3736385
21733004000,0.12,0.37368876
21733504000,0.12,0.37361562
21734004000,0.13725491,0.37363008
21734504000,0.14285715,0.37366638
21735004000,0.12,0.37361562
21735504000,0.16,0.3736027
21736004000,0.11764706,0.3736037
21736504000,0.11764706,0.3741445
21737004000,0.12244898,0.37357333
21737504000,0.1,0.37332606
21738004000,0.14,0.37329423
21738504000,0.1764706,0.37326837
21739004000,0.14,0.37324697
21739504000,0.14,0.37323752
21740004000,0.12,0.3732022
21740504000,0.11320755,0.37310618
21741004000,0.125,0.3731201
21741504000,0.12,0.373141
21742004000,0.2,0.37312707
21742504000,0.13725491,0.37314698
21743004000,0.20689656,0.37313703
21743504000,0.23076923,0.3730828
21744004000,0.16,0.37335593
21744504000,0.14,0.3734634
21745004000,0.16,0.37339175
21745504000,0.16,0.37337634
21746004000,0.14,0.37337634
21746504000,0.16,0.3732833
21747004000,0.2777778,0.3732654
21747504000,0.14583333,0.3733186
21748004000,0.1764706,0.37321016
21748504000,0.16,0.3733211
21749004000,0.18,0.37337384
21749504000,0.14285715,0.3733206
21750004000,0.1764706,0.37330815
21750504000,0.18,0.37332508
21751004000,0.12,0.3732186
21751504000,0.16,0.3732022
21752004000,0.15686275,0.3732017
21752504000,0.1632653,0.37327632
21753004000,0.18,0.37326986
21753504000,0.14,0.37321812
21754004000,0.12,0.37332806
21754504000,0.12,0.37334248
21755004000,0.16,0.37335843
21755504000,0.16,0.37316188
21756004000,0.18,0.3731808
21756504000,0.16,0.3732037
21757004000,0.1,0.37322357
21757504000,0.16,0.37310567
21758004000,0.14,0.3730778
21758504000,0.12,0.37305245
21759004000,0.12,0.37310866
21759504000,0.16,0.37308627
21760004000,0.11764706,0.37306538
21760504000,0.1632653,0.3729942
21761004000,0.15384616,0.3730206
21761504000,0.2,0.37306887
21762004000,0.14,0.37308875
21762504000,0.14,0.37307185
21763004000,0.16,0.3730987
21763504000,0.18,0.37323552
21764004000,0.13725491,0.37315494
21764504000,0.14,0.37320668
21765004000,0.14,0.3732654
21765504000,0.14285715,0.37321165
21766004000,0.15686275,0.3730967
21766504000,0.1632653,0.37308875
21767004000,0.14,0.37311214
21767504000,0.15686275,0.3732211
21768004000,0.16,0.3732206
21768504000,0.18,0.37322557
21769004000,0.12,0.37337235
21769504000,0.16,0.37357137
21770004000,0.12,0.37343204
21770504000,0.16,0.37332657
21771004000,0.12,0.37337533
21771504000,0.13725491,0.37323603
21772004000,0.12,0.37326586
21772504000,0.12244898,0.37327534
21773004000,0.14,0.3733047
21773504000,0.16,0.373241
21774004000,0.12,0.3732594
21774504000,0.13725491,0.37337482
21775004000,0.1632653,0.37351266
21775504000,0.16,0.3733823
21776004000,0.14,0.37337086
21776504000,0.16,0.3732604
21777004000,0.11764706,0.37325293
21777504000,0.14285715,0.37329623
