timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
1743177449781379,1743177449627190,0,0,-0.013737973,0.19509938,0.45991093,0.0025000002,0.0025000002,0.0025000002,0.013737973,-0.19509938,-0.45991093,0.0147251515,-0.1841943,-0.45606285,0.0075000003,0.0075000003,0.0075000003,0.002796028,0.5639077,3.1336007,0.0032607077,-0.43492824,-2.6615095,0,1,0
1743177449853379,1743177449695218,0,0,-0.013745659,0.18245655,0.45558128,0.0025000002,0.0025000002,0.0025000002,0.013745659,-0.18245655,-0.45558128,0.014607846,-0.18398619,-0.4560052,0.0075000003,0.0075000008,0.0075000008,0.0027991575,0.49319094,3.074878,0.0032054316,-0.4419059,-2.7110152,0,1,0
1743177449917379,1743177449763220,0,0,-0.017705493,0.18043289,0.45893693,0.0025000002,0.0025000002,0.0025000002,0.017705493,-0.18043289,-0.45893693,0.0149787,-0.18356077,-0.45635617,0.0075000003,0.0075000003,0.0075000003,0.004644214,0.4823115,3.120342,0.0033776846,-0.4467433,-2.7600205,0,1,0
1743177449989379,1743177449831244,0,0,-0.01611636,0.18321607,0.45612773,0.0025000002,0.0025000002,0.0025000002,0.01611636,-0.18321607,-0.45612773,0.015114942,-0.1835195,-0.4563288,0.0075000008,0.0075000003,0.0075000008,0.0038479562,0.49730554,3.082259,0.0034340022,-0.45279843,-2.7986102,0,1,0
1743177450053379,1743177449899245,1743177449901379,0,-0.013920728,0.18106657,0.45713514,0.0025000002,0.0025000002,0.0025000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0025000002,0.0025000002,0.0025000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1743177450125379,1743177449967265,1743177449973379,0,-0.016210482,0.18340248,0.45656714,0.0025000002,0.0025000002,0.0025000002,0.0008205697,0.0038485825,0.0064270794,9.826265e-05,0.0004633026,0.00076962763,0.010769952,0.0076109176,0.0075157657,6.946638e-06,0.00021834411,0.0006106602,8.318551e-07,2.6146556e-05,7.312613e-05,0,0,1
1743177450189379,1743177450035266,1743177450037379,0,-0.018421177,0.17678367,0.44916397,0.0025000002,0.0025000002,0.0025000002,0.0022483403,0.007996365,0.009494305,0.00035566962,0.0013664893,0.0018160696,0.004392057,0.0041798106,0.0041684015,0.00012788322,0.001704444,0.0024109469,1.6042426e-05,0.00022707209,0.0003530097,0,0,1
1743177450261379,1743177450103283,1743177450109379,0,-0.016566489,0.18323049,0.4552287,0.0025000002,0.0025000002,0.0025000002,-0.000410566,-0.0016465634,-0.000341475,0.000263917,0.0010056046,0.0015573751,0.0035651978,0.0035050716,0.0035006122,5.2533915e-06,8.602056e-05,3.7629522e-06,1.3492366e-05,0.00018958091,0.00031028807,0,0,1
1743177450325379,1743177450171284,1743177450173379,0,-0.018342836,0.17773041,0.4561328,0.0025000002,0.0025000002,0.0025000002,0.0013221474,0.004369691,-0.0011819601,0.00039060818,0.0014084928,0.0012301613,0.0032457928,0.0032170163,0.0032146296,5.9840673e-05,0.0006598391,4.7784313e-05,1.9041177e-05,0.00024588016,0.0002674197,0,0,1
1743177450397379,1743177450239298,1743177450245379,0,-0.014304978,0.18497787,0.45749372,0.0025000002,0.0025000002,0.0025000002,-0.0029465756,-0.0037864447,-0.0022914708,-8.986215e-06,0.00078635325,0.0008079429,0.0030723633,0.0030574051,0.0030557823,0.00031399314,0.0005212604,0.00019167543,-2.0836356e-05,0.00015402274,0.00021244765,0,0,1
1743177450461379,1743177450307299,1743177450309379,0,-0.011611624,0.18624508,0.45463437,0.0025000002,0.0025000002,0.0025000002,-0.005120062,-0.00433518,0.0009716749,-0.0006208834,0.00017327728,0.0008269672,0.0029660114,0.0029559124,0.0029547312,0.0009820533,0.0007062486,3.5152632e-05,-0.00013591311,5.1031173e-05,0.00019122192,0,0,1
1743177450533379,1743177450375311,1743177450381379,0,-0.016395178,0.18402854,0.4564904,0.0025000002,0.0025000002,0.0025000002,0.0005106549,-0.0014013797,-0.0010556877,-0.00048539654,-1.528606e-05,0.0006014075,0.0028932348,0.002885746,0.0028847826,1.0014489e-05,7.563247e-05,4.301825e-05,-0.00011844019,3.586486e-05,0.00016317473,0,0,1
1743177450597379,1743177450443312,1743177450445379,0,-0.011611616,0.18204015,0.4558462,0.0025000002,0.0025000002,0.0025000002,-0.0044026533,0.0006696433,-0.00023266673,-0.00095436996,6.693145e-05,0.0005015364,0.0028398342,0.0028343399,0.0028334854,0.0007583916,1.7674614e-05,2.1251958e-06,-0.00019505508,3.3687127e-05,0.00014338504,0,0,1
1743177450669379,1743177450511322,1743177450517379,0,-0.015488866,0.1837068,0.45558128,0.0025000002,0.0025000002,0.0025000002,-0.00020976606,-0.0011028647,6.482005e-05,-0.00086521567,-7.311803e-05,0.00044914312,0.0027991934,0.0027951268,0.0027942748,1.7466064e-06,4.833971e-05,1.6264431e-07,-0.00017190952,2.3865741e-05,0.00012623648,0,0,1
1743177450733379,1743177450579322,1743177450581379,0,-0.016843732,0.18709663,0.46123433,0.0025000002,0.0025000002,0.0025000002,0.0013294802,-0.004411474,-0.0055738688,-0.0006024704,-0.00059257995,-0.00027216919,0.0027674069,0.0027641712,0.0027633184,7.096566e-05,0.00078251725,0.0012501508,-0.00014283291,-7.267305e-05,-3.854226e-05,0,0,1
1743177450805379,1743177450647331,1743177450653379,0,-0.015689198,0.18266347,0.45570993,0.0025000002,0.0025000002,0.0025000002,-3.734661e-05,0.00037442148,0.0005031228,-0.00053480687,-0.00047679452,-0.00017932222,0.0027419173,0.0027391312,0.0027382616,5.6520438e-08,5.6878384e-06,1.0278082e-05,-0.00012573798,-6.3290725e-05,-3.269689e-05,0,0,1
1743177450869379,1743177450715331,1743177450717379,0,-0.012458338,0.19101322,0.4625736,0.0025000002,0.0025000002,0.0025000002,-0.0033015276,-0.007953525,-0.00642398,-0.00086603395,-0.0013716455,-0.00092741725,0.0027207593,0.0027184945,0.0027175702,0.00044514067,0.0025841633,0.0016894464,-0.00016397632,-0.0003650853,-0.00023104012,0,0,1
1743177450941379,1743177450783338,1743177450789379,0,-0.015104533,0.18245523,0.45666194,0.0025000002,0.0025000002,0.0025000002,-0.0003819249,0.0013064146,-2.8550625e-05,-0.000808072,-0.0010509723,-0.0008197541,0.002703444,0.0027012182,0.0027001996,5.9950953e-06,7.023182e-05,3.2711583e-08,-0.00014506136,-0.00031296513,-0.00020338179,0,0,1
1743177451005379,1743177450851339,1743177450853379,0,-0.015782971,0.18626985,0.45691806,0.0025000002,0.0025000002,0.0025000002,0.00046083418,-0.002561897,-0.00029411912,-0.0006561587,-0.0012318923,-0.0007569043,0.002688278,0.0026864174,0.0026853876,8.777538e-06,0.00027151825,3.5954045e-06,-0.00012664379,-0.0003080031,-0.00017946339,0,0,1
1743177451077379,1743177450919345,1743177450925379,0,-0.014590565,0.1827182,0.4565869,0.0025000002,0.0025000002,0.0025000002,-0.00084833,0.0011976957,4.0739775e-05,-0.00067916693,-0.0009409287,-0.0006613995,0.0026755075,0.0026737915,0.002672642,2.9886907e-05,5.9672762e-05,6.913651e-08,-0.000115059316,-0.00026398216,-0.00015796839,0,0,1
1743177451141379,1743177450987345,1743177450989379,0,-0.011583192,0.18500662,0.45371276,0.0025000002,0.0025000002,0.0025000002,-0.003836876,-0.0011808425,0.0029168427,-0.0010572025,-0.00096929446,-0.00023319712,0.0026642845,0.0026627886,0.0026615383,0.0006139492,5.7891248e-05,0.0003548186,-0.00017478556,-0.0002393093,-9.6578406e-05,0,0,1
1743177451213379,1743177451055350,1743177451061379,0,-0.014560862,0.18374081,0.45573708,0.0025000002,0.0025000002,0.0025000002,-0.00061842543,-1.8507242e-05,0.0007863939,-0.0010046695,-0.0008554022,-0.00011115087,0.0026544267,0.0026530663,0.0026517718,1.6008898e-05,1.360068e-08,2.5898087e-05,-0.00015577585,-0.00021065937,-8.1914775e-05,0,0,1
1743177451277379,1743177451123351,1743177451125379,0,-0.01773097,0.18556613,0.45524764,0.0025000002,0.0025000002,0.0025000002,0.0025951744,-0.0018437058,0.0012319386,-0.0005736967,-0.00097396836,4.9695627e-05,0.0026457876,0.002644541,0.0026431358,0.0002828366,0.00014313987,6.384436e-05,-0.00010326523,-0.00020257595,-6.446451e-05,0,0,1
1743177451349379,1743177451191355,1743177451197379,0,-0.014437272,0.18401778,0.455232,0.0025000002,0.0025000002,0.0025000002,-0.00076278683,-0.00019229949,0.0011819005,-0.0005963354,-0.00088030595,0.00018520775,0.0026381968,0.002636998,0.002635444,2.4505112e-05,1.5476605e-06,5.8859525e-05,-9.383571e-05,-0.00017850794,-4.9699604e-05,0,0,1
1743177451413379,1743177451259355,1743177451261379,0,-0.01399429,0.1785118,0.4611153,0.0025000002,0.0025000002,0.0025000002,-0.001127376,0.0054449737,-0.004810661,-0.0006599107,-0.0001229404,-0.0004128411,0.002631181,0.0026300799,0.0026285176,5.3671578e-05,0.001252945,0.0009781008,-8.902733e-05,-7.136812e-06,-0.00016084622,0,0,1
1743177451485379,1743177451327359,1743177451333379,0,-0.014862027,0.18193285,0.4548678,0.0025000002,0.0025000002,0.0025000002,-0.00020119979,0.0017769188,0.0016646683,-0.00060499174,0.00010453806,-0.00016409476,0.0026249762,0.0026240163,0.0026222942,1.713512e-06,0.00013372206,0.00011743785,-7.857373e-05,9.727446e-06,-0.0001275288,0,0,1
1743177451549379,1743177451395359,1743177451397379,0,-0.018269643,0.18202847,0.45516297,0.0025000002,0.0025000002,0.0025000002,0.0032658267,0.0014555007,0.0013516843,-0.00014158394,0.00026591014,1.7530532e-05,0.0026193946,0.0026184965,0.0026166462,0.00045242108,8.951999e-05,7.773473e-05,-1.5003934e-05,1.9280073e-05,-0.000102955,0,0,1
1743177451621379,1743177451463362,1743177451469379,0,-0.01571858,0.18451956,0.4541619,0.0025000002,0.0025000002,0.0025000002,0.00050112326,-0.001155749,0.002312988,-6.4637126e-05,9.5653755e-05,0.00029235415,0.0026142225,0.002613379,0.0026114867,1.0673432e-05,5.683338e-05,0.00022763092,-1.1929764e-05,1.0167544e-05,-6.337627e-05,0,0,1
1743177451685379,1743177451531362,1743177451533379,0,-0.012653207,0.18658683,0.45617086,0.0025000002,0.0025000002,0.0025000002,-0.0026907993,-0.003154248,0.00019437075,-0.00037903682,-0.00029311219,0.00028045278,0.002609637,0.002608803,0.0026067845,0.0003082762,0.0004230604,1.5867503e-06,-4.7407855e-05,-4.169777e-05,-5.5599005e-05,0,0,1
1743177451757379,1743177451599365,1743177451605379,0,-0.015738174,0.18421207,0.45577422,0.0025000002,0.0025000002,0.0025000002,0.00049504923,-0.0006440282,0.000579685,-0.00027438864,-0.00033518075,0.00031629732,0.002605536,0.0026046687,0.0026024764,1.04509845e-05,1.7719205e-05,1.4354886e-05,-4.0480823e-05,-3.8826987e-05,-4.722392e-05,0,0,1
1743177451821379,1743177451667365,1743177451669379,0,-0.015831172,0.17815804,0.44917467,0.0025000002,0.0025000002,0.0025000002,0.000619079,0.0053788275,0.0071803033,-0.00016742421,0.0003488134,0.0011381414,0.0026015034,0.0026006775,0.002598477,1.6369115e-05,0.0012357839,0.0022050694,-3.3674845e-05,0.000113767266,0.00022241681,0,0,1
