timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
1743177450697379,1743177450697379,1310988,0.00479369,-0.0026631611,-0.0063915867,0.8473224,0,0,0,0,1
1743177451697379,1743177451697379,1310988,-0.014913702,-0.008522116,-0.007989483,0.30991974,0,0,0,0,1
1743177452697379,1743177452697379,1310988,0.0,0.0053263223,-0.0005326322,0.9365223,0,0,0,0,1
1743177453697379,1743177453697379,1310988,0.007456851,-0.011717909,0.0015978967,-0.08893303,0,0,0,0,1
1743177454697379,1743177454697379,1310988,0.0031957934,0.0026631611,-0.0053263223,0.44113052,0,0,0,0,1
1743177455697379,1743177455697379,1310988,-0.0127831735,0.0053263223,-0.012250541,-0.015658574,0,0,0,0,1
1743177456697379,1743177456697379,1310988,0.0031957934,0.0063915867,0.00479369,0.680323,0,0,0,0,1
1743177457697379,1743177457697379,1310988,0.00958738,0.002130529,0.00958738,0.2251173,0,0,0,0,1
1743177458697379,1743177458697379,1310988,-0.023435818,-0.002130529,0.004261058,-0.20063128,0,0,0,0,1
1743177459697379,1743177459697379,1310988,-0.0005326322,0.0058589545,-0.0005326322,-0.99745184,0,0,0,0,1
1743177460697379,1743177460697379,1310988,0.029827405,-0.027164243,0.0015978967,-0.6897003,0,0,0,0,1
1743177461697379,1743177461697379,1310988,0.0974717,-0.07243799,-0.0015978967,0.096643254,0,0,0,0,1
1743177462697379,1743177462697379,1310988,0.007989483,0.013848438,-0.029827405,0.19741137,0,0,0,0,1
1743177463697379,1743177463697379,1310988,-0.007989483,-0.004261058,0.027696876,0.48928645,0,0,0,0,1
1743177464697379,1743177464697379,1310988,0.00479369,0.0005326322,0.015446335,0.59370786,0,0,0,0,1
1743177465697379,1743177465697379,1310988,-0.0031957934,0.004261058,0.008522116,0.48448378,0,0,0,0,1
1743177466697379,1743177466697379,1310988,0.0031957934,-0.015978966,-0.010652645,-0.75787425,0,0,0,0,1
1743177467697379,1743177467697379,1310988,0.0037284256,0.0,0.004261058,-0.86059636,0,0,0,0,1
1743177468697379,1743177468697379,1310988,0.0005326322,-0.0005326322,0.00958738,0.0006435549,0,0,0,0,1
1743177469697379,1743177469697379,1310988,0.14114754,-0.027164243,0.0026631611,0.54964125,0,0,0,0,1
1743177470697379,1743177470697379,1310988,-0.042077947,-0.3392867,0.15233281,0.39931765,0,0,0,0,1
1743177471697379,1743177471697379,1310988,0.035153728,0.32597092,-0.072970614,-0.25903365,0,0,0,0,1
1743177472697379,1743177472697379,1310988,-0.029827405,-0.14221281,0.11558119,0.44676656,0,0,0,0,1
1743177473697379,1743177473697379,1310988,-0.42077947,0.07137272,-0.3749731,-0.5627611,0,0,0,0,1
1743177474697379,1743177474697379,1310988,0.45806372,-0.18961707,-0.8005462,0.13567679,0,0,0,0,1
1743177475697379,1743177475697379,1310988,0.0974717,0.48735848,0.30360037,0.09919493,0,0,0,0,1
1743177476697379,1743177476697379,1310988,-0.013315806,0.37017938,-0.044208474,0.14138621,0,0,0,0,1
