timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
21726064000,21725984000,1310996,0.0010991929,8.22621e-05,-0.00025109397,0.34906584,1.3784006e-07,1.3783996e-07,3.588588e-07,1310996,-0.015246278,-0.0023081,-0.027622193,0.4,0.0013608042,0.0013678508,0.00078123936,197388,0.012723287,-0.0057870857,-0.001231411,0.5,1.8362362e-05,4.2488424e-05,5.2007766e-05,1,1,1,0,1,0
21726688000,21726608000,1310996,0.001070826,9.2064925e-05,-0.00025047568,0.34906584,1.3783459e-07,1.3783618e-07,3.5874854e-07,1310996,-0.015250869,-0.0023025738,-0.029770307,0.4,0.001360846,0.0013678931,0.00078123936,197388,0.012723287,-0.0057870857,-0.001231411,0.5,1.8362362e-05,4.2488424e-05,5.2007766e-05,1,1,1,0,1,0
21727312000,21727232000,1310996,0.0010500201,0.00010024615,-0.0002477317,0.34906584,1.3783314e-07,1.3783558e-07,3.5864232e-07,1310996,-0.015255834,-0.0023006967,-0.031096376,0.4,0.00136089,0.0013679361,0.00078123936,197388,0.012723287,-0.0057870857,-0.001231411,0.5,1.8362362e-05,4.2488424e-05,5.2007766e-05,1,1,1,0,1,0
21727520000,21727440000,1310996,0.0010450559,0.00010088399,-0.00025298397,0.34906584,1.378313e-07,1.3783401e-07,3.5860754e-07,1310996,-0.015256262,-0.0022990464,-0.032184664,0.4,0.0013609045,0.0013679507,0.00078123936,197388,0.012723287,-0.0057870857,-0.001231411,0.5,1.8362362e-05,4.2488424e-05,5.2007766e-05,1,1,1,0,1,0
21728520000,21728440000,1310996,0.0010211485,0.000107789274,-0.00024911587,0.34906584,1.391768e-07,1.391804e-07,3.5867743e-07,1310996,-0.015259766,-0.0023004976,-0.032346543,0.4,0.0013609738,0.0013680204,0.0007812457,197388,0.012723287,-0.0057870857,-0.001231411,0.5,1.8362362e-05,4.2488424e-05,5.2007766e-05,1,1,1,0,1,0
21729184000,21729104000,1310996,0.0009880916,0.00010503696,-0.00025219694,0.34906584,1.3783878e-07,1.3784461e-07,3.5889104e-07,1310996,-0.015262415,-0.0023061757,-0.030526085,0.4,0.0013610198,0.0013680661,0.00078123936,197388,0.012723287,-0.0057870857,-0.001231411,0.5,1.8362362e-05,4.2488424e-05,5.2007766e-05,1,1,1,0,1,0
21729392000,21729312000,1310996,0.0009850843,0.00010471921,-0.00025180445,0.34906584,1.3784111e-07,1.3784677e-07,3.588576e-07,1310996,-0.015261925,-0.0023077806,-0.02924704,0.4,0.0013610342,0.0013680804,0.00078123936,197388,0.012723287,-0.0057870857,-0.001231411,0.5,1.8362362e-05,4.2488424e-05,5.2007766e-05,1,1,1,0,1,0
21729600000,21729520000,1310996,0.00097649964,0.00010228847,-0.0002535924,0.34906584,1.3783675e-07,1.3784309e-07,3.588228e-07,1310996,-0.015260764,-0.0023051645,-0.030749345,0.4,0.0013610484,0.0013680944,0.00078123936,197388,0.012723287,-0.0057870857,-0.001231411,0.5,1.8362362e-05,4.2488424e-05,5.2007766e-05,1,1,1,0,1,0
21729808000,21729728000,1310996,0.00096577883,9.626919e-05,-0.0002547202,0.34906584,1.3783864e-07,1.3784616e-07,3.587867e-07,1310996,-0.015258821,-0.0023057058,-0.029548319,0.4,0.0013610625,0.0013681082,0.00078123936,197388,0.012723287,-0.0057870857,-0.001231411,0.5,1.8362362e-05,4.2488424e-05,5.2007766e-05,1,1,1,0,1,0
21730016000,21729936000,1310996,0.0009632463,9.073541e-05,-0.0002539966,0.34906584,1.3782733e-07,1.3783487e-07,3.5875297e-07,1310996,-0.015258935,-0.0023003498,-0.034354717,0.4,0.0013610725,0.0013681186,0.00078123936,197388,0.012723287,-0.0057870857,-0.001231411,0.5,1.8362362e-05,4.2488424e-05,5.2007766e-05,1,1,1,0,1,0
