timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
173912751,173872113,3997706,-69.725525,23.289997,102165.29,1.237169,0
174025715,174025352,3997706,-69.95277,23.289999,102168.0,1.2372018,0
174208549,174178016,3997706,-69.75724,23.289999,102165.664,1.2371734,0
174412546,174382214,3997706,-69.5617,23.294998,102163.336,1.2371453,0
174616244,174585661,3997706,-69.68854,23.295,102164.836,1.2371635,0
174820009,174789624,3997706,-69.799515,23.300001,102166.164,1.2371795,0
175024807,174994139,3997706,-69.92106,23.300001,102167.664,1.2371978,0
175228921,175197909,3997706,-69.66212,23.31,102164.5,1.2371595,0
175351115,175351016,3997706,-69.70439,23.31,102165.0,1.2371656,0
175554313,175554209,3997706,-69.53528,23.31,102163.0,1.2371413,0
175758073,175757852,3997706,-70.11659,23.32,102170.0,1.237226,0
175960245,175960177,3997706,-69.53528,23.32,102163.0,1.2371413,0
176163783,176163711,3997706,-69.12308,23.32,102158.0,1.2370807,0
176365717,176365645,3997706,-69.45073,23.32,102162.0,1.2371291,0
176568741,176568671,3997706,-69.70439,23.33,102165.0,1.2371656,0
176770914,176770812,3997706,-69.619835,23.33,102164.0,1.2371533,0
176974634,176974563,3997706,-69.53528,23.33,102163.0,1.2371413,0
177177956,177177881,3997706,-69.37146,23.33,102161.0,1.237117,0
177381718,177381641,3997706,-69.37146,23.33,102161.0,1.236697,0
177585659,177585587,3997706,-69.619835,23.34,102164.0,1.2367333,0
177789466,177789392,3997706,-69.70439,23.34,102165.0,1.2367455,0
177993951,177993780,3997706,-69.78366,23.34,102166.0,1.2371776,0
178197827,178197748,3997706,-70.032036,23.35,102169.0,1.2367939,0
178401572,178401504,3997706,-70.444244,23.34,102174.0,1.2368544,0
178605588,178605492,3997706,-71.273926,23.35,102184.0,1.2373955,0
178810518,178810447,3997706,-70.61335,23.35,102176.0,1.2372986,0
179014057,179013732,3997706,-71.43775,23.35,102186.0,1.2378403,0
179218131,179218062,3997706,-71.43775,23.359999,102186.0,1.2378403,0
179422395,179422287,3997706,-70.861725,23.359999,102179.0,1.2381761,0
179626374,179626268,3997706,-71.84995,23.35,102191.0,1.2387427,0
179820099,179779298,3997706,-71.2158,23.347141,102183.29,1.2386492,0
180024022,179983120,3997706,-71.03612,23.339998,102181.14,1.2390445,0
180136383,180136308,3997706,-71.52231,23.34,102187.0,1.2395372,0
180339900,180339817,3997706,-70.940994,23.33,102180.0,1.2398742,0
180543156,180543085,3997706,-71.52231,23.33,102187.0,1.2399591,0
180746460,180746261,3997706,-71.77068,23.31,102190.0,1.2404176,0
180948817,180948736,3997706,-71.273926,23.31,102184.0,1.2407674,0
181151838,181151768,3997706,-71.43775,23.3,102186.0,1.2412143,0
181355685,181355616,3997706,-71.1101,23.289999,102182.0,1.2411658,0
181557814,181557690,3997706,-70.19586,23.279999,102171.0,1.2414551,0
181760859,181760665,3997706,-69.45073,23.269999,102162.0,1.241769,0
181964304,181964012,3997706,-69.95277,23.26,102168.0,1.2422655,0
182167235,182167125,3997706,-68.790146,23.25,102154.0,1.2425191,0
182370976,182370890,3997706,-67.55354,23.23,102139.0,1.2423366,0
182573802,182573729,3997706,-66.88768,23.23,102131.0,1.2422394,0
182776190,182776091,3997706,-65.481964,23.21,102114.0,1.2424564,0
182980428,182980331,3997706,-65.15431,23.199999,102110.0,1.2424078,0
183183229,183183158,3997706,-63.331116,23.189999,102088.0,1.2425642,0
183386494,183386421,3997706,-62.755093,23.17,102081.0,1.242479,0
183588877,183588808,3997706,-61.5132,23.16,102066.0,1.2427206,0
183791909,183791838,3997706,-61.259537,23.15,102063.0,1.2426841,0
183994072,183993966,3997706,-59.19324,23.13,102038.0,1.2428043,0
184197814,184197700,3997706,-58.36884,23.119999,102028.0,1.2431071,0
184401551,184401483,3997706,-58.36884,23.109999,102028.0,1.2431071,0
184605581,184605470,3997706,-57.37004,23.1,102016.0,1.243386,0
184809252,184809181,3997706,-56.54564,23.09,102006.0,1.2432641,0
185014301,185014229,3997706,-55.46757,23.07,101993.0,1.2435306,0
185217829,185217727,3997706,-54.80699,23.06,101985.0,1.2438586,0
185421927,185421856,3997706,-53.395992,23.05,101968.0,1.2436513,0
185626612,185626514,3997706,-52.566307,23.029999,101958.0,1.243955,0
185829521,185829425,3997706,-51.905727,23.01,101950.0,1.2442831,0
186013185,185981790,3997706,-51.287422,23.005,101942.5,1.2441916,0
186215672,186185125,3997706,-50.288624,22.99,101930.5,1.2440451,0
186418452,186387895,3997706,-49.807724,22.975,101924.664,1.2439739,0
186621012,186590804,3997706,-49.089012,22.964998,101916.0,1.2442942,0
186823680,186793021,3997706,-48.285748,22.949999,101906.336,1.2446023,0
187027258,186996121,3997706,-47.752,22.94,101899.836,1.2449495,0
187148231,187148144,3997706,-46.187748,22.93,101881.0,1.2447194,0
187351497,187351426,3997706,-46.351566,22.92,101883.0,1.2447438,0
187555243,187555176,3997706,-45.025127,22.91,101867.0,1.2445484,0
187758547,187758467,3997706,-45.194233,22.89,101869.0,1.2449994,0
187961841,187961771,3997706,-44.27999,22.88,101858.0,1.245292,0
188166256,188166181,3997706,-43.371033,22.859999,101847.0,1.2451575,0
188370203,188370133,3997706,-42.37224,22.859999,101835.0,1.2454379,0
188574610,188574539,3997706,-42.37224,22.84,101835.0,1.2454379,0
188778377,188778302,3997706,-40.966522,22.83,101818.0,1.2456573,0
188982395,188982282,3997706,-39.640076,22.82,101802.0,1.2454616,0
189187118,189186762,3997706,-39.8039,22.8,101804.0,1.245486,0
