timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
175030316,175028863,43973845,36.4533956,127.4065695,26.896168,28.465082,-0.78303915,-0.00019583842,0.0002981637,-4.5001507e-05,-0.0135999285,-0.007673054,-0.011088641,-0.022713732,0.040229075,0.0045862254,0.07276097,-0.13666429,0.008854458,0.020866912,-1.3036976,-0.012437099,33.46734,0.096956134,0.22472122,0.196976,0.1161093,0.08359112,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
175120013,175118341,43973845,36.4533956,127.4065695,26.89726,28.46507,-0.78666663,-0.00019583842,0.0002981637,-4.5001507e-05,-0.01185503,-0.00753077,-0.011506458,-0.0246341,0.040229075,0.0045862254,0.07276097,0.050554603,0.038063247,-0.021469206,-1.304212,-0.012437099,33.46734,0.09780723,0.23121253,0.20155133,0.12013477,0.08533136,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
175229346,175227704,43973845,36.4533956,127.4065695,26.897911,28.465815,-0.7908622,-0.00019583842,0.0002981637,-4.5001507e-05,-0.0040057465,-0.00894633,-0.011670488,-0.02612539,0.040229075,0.0045862254,0.07276097,0.06307416,0.03855309,0.049584843,-1.3070993,-0.012437099,33.46734,0.097816825,0.22981136,0.20057514,0.119195834,0.084953144,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
175318665,175317182,43973845,36.4533956,127.4065695,26.899332,28.466942,-0.79482895,-0.00019583842,0.0002981637,-4.5001507e-05,0.0030374439,-0.006684232,-0.0063578924,-0.022642873,0.040229075,0.0045862254,0.07276097,0.106013544,0.05973222,0.014813221,-1.3086777,-0.012437099,33.46734,0.0960353,0.22721961,0.19859584,0.1176564,0.08426151,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
175428262,175426544,43973845,36.4533956,127.4065695,26.904533,28.466932,-0.79647166,-0.00019583842,0.0002981637,-4.5001507e-05,0.011435491,-0.008009377,-0.0033426916,-0.018834947,0.040229075,0.0045862254,0.07276097,0.013415896,-0.019100253,0.056064945,-1.3084453,-0.012437099,33.46734,0.102694154,0.22610833,0.19779897,0.117017575,0.083994,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
175517634,175516022,43973845,36.4533956,127.4065695,26.908537,28.46579,-0.79723525,-0.00019583842,0.0002981637,-4.5001507e-05,0.018768867,-0.007959902,-0.007646503,-0.022056267,0.040229075,0.0045862254,0.07276097,0.04902881,0.013928059,-0.07646052,-1.3083183,-0.012437099,33.46734,0.102221966,0.22359502,0.19585976,0.11547942,0.08330056,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
175626870,175625385,43973845,36.4533956,127.4065695,26.912016,28.463654,-0.7996438,-0.00019583842,0.0002981637,-4.5001507e-05,0.021071555,-0.0052273665,-0.017146137,-0.031130573,0.040229075,0.0045862254,0.07276097,-0.014459478,0.05626481,-0.026152235,-1.3100564,-0.012437099,33.46734,0.09878546,0.22248505,0.19504698,0.11482262,0.08300918,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
175726414,175724805,43973845,36.4533956,127.4065695,26.9154,28.46203,-0.8033059,-0.00019583842,0.0002981637,-4.5001507e-05,0.021584867,-0.006893697,-0.015022858,-0.029741915,0.040229075,0.0045862254,0.07276097,0.009656404,-0.048731808,-0.05711464,-1.3113614,-0.012437099,33.46734,0.10007346,0.22958381,0.20015779,0.11930227,0.084957846,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
175825741,175824225,43973845,36.4533956,127.4065695,26.91802,28.459713,-0.80699885,-0.00019583842,0.0002981637,-4.5001507e-05,0.022629697,-0.0047827708,-0.018108169,-0.03348886,0.040229075,0.0045862254,0.07276097,0.028350048,0.080490366,-0.041268475,-1.3092752,-0.012437099,33.46734,0.10005659,0.22771683,0.19876981,0.11819499,0.08447312,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
175925313,175923645,43973845,36.4533956,127.4065695,26.92172,28.4593,-0.81156355,-0.00019583842,0.0002981637,-4.5001507e-05,0.018040223,-0.00052060914,-0.026334142,-0.042538367,0.040229075,0.0045862254,0.07276097,-0.026174348,0.020949839,-0.018615363,-1.3057085,-0.012437099,33.46734,0.0997138,0.22590761,0.19740672,0.11713588,0.08399706,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
176024659,176023066,43973845,36.4533956,127.4065695,26.925545,28.459324,-0.8171257,-0.00019583842,0.0002981637,-4.5001507e-05,0.018153802,-0.0020428002,-0.029659474,-0.047038604,0.040229075,0.0045862254,0.07276097,-0.007127182,0.02398922,-0.022907134,-1.3043319,-0.012437099,33.46734,0.0981732,0.22409226,0.19604348,0.11605965,0.083508916,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
176124049,176122486,43973845,36.4533956,127.4065695,26.92916,28.45933,-0.8232319,-0.00019583842,0.0002981637,-4.5001507e-05,0.015521835,-0.0025876253,-0.030506698,-0.049090333,0.040229075,0.0045862254,0.07276097,0.025077887,-0.015604749,0.017644472,-1.3039469,-0.012437099,33.46734,0.09987402,0.23133169,0.20120262,0.12054166,0.08545524,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
176223445,176221906,43973845,36.4533956,127.4065695,26.930351,28.460337,-0.8277938,-0.00019583842,0.0002981637,-4.5001507e-05,0.014186694,-0.009408642,-0.02983539,-0.048004806,0.040229075,0.0045862254,0.07276097,-0.046337567,-0.11996769,0.014290886,-1.3037574,-0.012437099,33.46734,0.10383505,0.22915931,0.19962327,0.1191012,0.08485031,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
