timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
194337939,194236510,-1.4633609,0.0016722094,-1.4720799,-1.4561226,-1.4698039,1.7192894,-1.7591414,-0.034611702,-0.04503107,-0.036115408,-1.1237836,0.1256032,0.25280952,0.26264954,0.25573158,-1.054142,0.062726974,0.22646606,0.5092917,0.26420105,9.653199e-06,3.1516905e-05,1
195343582,195240615,-0.93265015,0.00093689765,-0.93737096,-0.93001294,-0.93606913,2.2079017,-1.071943,0.4578848,0.43910122,0.4564314,-12.900379,0.7816925,-0.16330051,-0.12468052,-0.14941311,-7.5970125,-0.8264103,0.17607476,0.602801,0.2210867,1.8749814e-05,1.8749814e-05,1
196335945,196234780,-0.4308972,0.0006072617,-0.43411857,-0.42993963,-0.4322667,2.6818776,-0.5010645,0.47378254,0.4616642,0.4754095,-20.53011,0.74121857,-0.01738882,-0.0025286674,-0.009791851,-18.390553,-0.25611496,0.13575928,0.69687665,0.16732714,1.8465802e-05,1.8465802e-05,1
197340017,197238889,0.13303235,0.0004237089,0.1303642,0.13357572,0.1326841,-3.0118344,0.08783673,-0.012219429,-0.020259857,-0.009725571,-22.734758,0.17967987,-0.013804972,-0.009316683,-0.010592282,-31.555218,-0.07853311,0.12834094,0.72574925,0.1458775,7.3526194e-06,2.4962219e-05,1
198334990,198233053,0.60051656,0.00042778894,0.59872663,0.6008467,0.60034674,-2.486779,0.57147753,0.32066536,0.3161192,0.32229614,-18.077919,0.43086147,-0.023306847,-0.024757385,-0.024636269,-44.310814,-0.00924778,0.12323705,0.74103004,0.13571055,1.1181949e-05,1.1181949e-05,1
199338293,199237158,0.76828706,0.00043029626,0.7669291,0.7685381,0.7681192,-2.2621927,0.7458225,0.06103134,0.05902767,0.061883926,-14.075416,0.11087227,-0.15799999,-0.15945148,-0.1595087,-50.315643,-0.144454,0.12095546,0.7468931,0.13213512,8.155044e-06,8.155044e-06,1
200342430,200241260,0.6338916,0.0005918989,0.63234985,0.63413554,0.63391966,-2.4032483,0.6114667,0.22191715,0.22197247,0.2218914,-16.519535,0.2203741,-0.3763752,-0.37404823,-0.3738327,-47.671482,-0.39846516,0.1194901,0.7485883,0.13188864,1.6427182e-05,1.6427182e-05,1
201337036,201235415,0.42749456,0.00058365136,0.42577845,0.42771256,0.4277592,-2.709165,0.40604538,0.25960922,0.2606125,0.2588501,-20.49031,0.23111534,-0.13552094,-0.13250923,-0.13217354,-37.819027,-0.1630745,0.11567414,0.74879074,0.13550036,1.044855e-05,2.430361e-05,1
202340668,202239511,0.2183406,0.0005943348,0.2165065,0.21852921,0.21882582,-3.0182521,0.19843534,0.1532116,0.15407562,0.15229416,-21.238796,0.126091,-0.20802689,-0.20627308,-0.20597601,-28.315372,-0.22297096,0.11379258,0.7473125,0.13885942,9.6007325e-06,2.583218e-05,1
203344886,203243604,0.08346852,0.00072073005,0.08325959,0.08361352,0.0828479,3.0488575,0.07186314,0.23251343,0.23303032,0.23187637,-20.113873,0.21543884,-0.42615843,-0.42522025,-0.42500997,-21.213436,-0.4336574,0.11215898,0.7460552,0.1417383,2.0174373e-05,2.7383541e-05,1
204339118,204237755,0.41453284,0.0006931777,0.41294912,0.41468585,0.41496462,-2.9112873,0.3976625,0.06449127,0.06383324,0.06535721,-18.390017,0.08679581,-0.26045656,-0.26084805,-0.26093102,-25.25626,-0.25758982,0.11164773,0.74627316,0.14204298,9.880659e-06,2.6188378e-05,1
205343137,205241850,0.98394555,0.00051756133,0.9835275,0.9840184,0.9838786,-2.219094,0.9769446,0.3036661,0.30356407,0.30567265,-6.124197,0.32621288,-0.17119598,-0.17661572,-0.17876148,-39.661377,-0.1369133,0.10932382,0.7499831,0.14064054,1.2702825e-05,3.9801445e-05,1
206337161,206236003,1.3388842,0.00043840663,1.339299,1.3389229,1.338365,-1.7276449,1.337506,-0.27301693,-0.27238035,-0.27141476,7.257124,-0.2698202,-0.15911484,-0.16360664,-0.16573715,-42.434753,-0.13393974,0.10925852,0.7494839,0.14118989,1.1189841e-05,5.6539277e-05,1
207341669,207240097,1.608185,0.00041313525,1.6089574,1.6082064,1.6074536,-1.3308325,1.6091039,0.013985395,0.01422292,0.014492512,18.55506,0.0142354965,-0.08357811,-0.08681488,-0.08837128,-39.961456,-0.0656147,0.112876214,0.7479596,0.13908444,7.4264954e-06,7.223939e-05,1
208335447,208234247,1.8005252,0.0005328851,1.801335,1.8005449,1.7997936,-1.0574317,1.8019109,-0.41735768,-0.41726375,-0.4171703,23.685852,-0.41739416,-0.060878754,-0.06297493,-0.06397438,-36.97464,-0.049261093,0.112887375,0.74796003,0.13906483,1.5853248e-05,7.183229e-05,1
209340572,209238336,1.8295094,0.00054039684,1.8289015,1.8295454,1.8298312,-0.96943706,1.8250574,0.053486824,0.053687096,0.05386877,25.3452,0.05324602,-0.102674484,-0.10325241,-0.10351753,-34.68965,-0.099458694,0.11305502,0.74798626,0.1388792,7.5702446e-06,7.1904986e-05,1
