timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
225266219,225164415,-0.07161916,1.3219509,0.014248034,0.008989365,1.000143,1.9422742,0.09865075,0.09011768
226261178,226158540,-0.14988072,1.2995489,0.013446309,0.009022896,1.4519501,1.940466,0.005947369,0.09009712
227263878,227162607,-0.17323695,1.2862524,0.013089114,0.008922757,0.0826416,1.9407139,-0.012643224,0.0901024
228257902,228156733,-0.17608206,1.2800092,0.013148494,0.00869981,0.06398773,1.9395221,0.039048467,0.0900981
229261990,229160799,-0.1717823,1.2709703,0.013250623,0.008489157,0.25933647,1.9380827,0.032145318,0.09009942
230266807,230164862,-0.1598169,1.2596769,0.01319654,0.008350827,0.165102,1.9370327,0.056291245,0.09010215
231260404,231158992,-0.14384237,1.2496896,0.013018285,0.008257173,0.64507866,1.9367667,0.04811217,0.090105124
232264462,232163044,-0.12727268,1.2396252,0.01284184,0.008171916,0.20485878,1.9364761,0.08985204,0.090112634
233258466,233157162,-0.12694797,1.2434206,0.012723769,0.008067127,0.030471802,1.9363014,0.032530162,0.09012286
234264077,234161220,-0.12310891,1.2435201,0.012654767,0.007944828,-0.050123215,1.9355401,0.07477535,0.09011983
235256608,235155337,-0.11655316,1.2392795,0.012630816,0.00781677,0.5047188,1.9344928,0.0765812,0.09011914
236260551,236159393,-0.09874493,1.2146001,0.0126323635,0.007698932,0.8913975,1.9332339,0.067916915,0.09011611
237264775,237163448,-0.07575422,1.1796054,0.012647917,0.0075930306,1.3123741,1.9332283,0.06539198,0.09011485
238258940,238157561,-0.053016126,1.1481869,0.01266059,0.0074960957,1.243639,1.933704,0.07299085,0.09011914
239262944,239161614,-0.029378101,1.1157366,0.012672478,0.007410093,1.0822926,1.9328111,0.06288636,0.090130664
240267604,240165667,-0.008976864,1.089331,0.012681603,0.0073298384,0.29389,1.9329333,0.06689755,0.09013991
241260990,241159779,-0.0013989437,1.0797688,0.012683225,0.0072508785,0.6830044,1.933738,-0.015793234,0.09014689
242264966,242163829,0.020032093,1.0473492,0.012696052,0.007189154,1.8209915,1.9333512,0.037862815,0.090162374
243260149,243157940,0.037551787,1.0046688,0.012754027,0.0071039004,1.0281239,1.933946,0.07631494,0.09015354
244263183,244161991,0.04001026,0.95617867,0.012834275,0.006984118,1.3820953,1.9336439,0.09060342,0.0901465
245257298,245156099,0.046345674,0.9089013,0.012903584,0.0068711927,1.4255352,1.93346,0.08175912,0.090124786
246261275,246160148,0.06752726,0.8672333,0.012947848,0.0068011833,1.4351673,1.9344226,0.05093648,0.0901418
247265245,247164202,0.093691446,0.8403716,0.012927069,0.0067782127,1.1560688,1.934014,0.046682864,0.09016397
248259334,248158309,0.122234136,0.8215805,0.012858555,0.006790787,0.77676773,1.9328623,0.054984022,0.090164974
249263718,249162362,0.1504532,0.8042249,0.01280517,0.0068276157,0.7300453,1.9315937,0.06956291,0.09016835
250257567,250156471,0.17856959,0.78215826,0.01280637,0.006873176,0.802021,1.9312081,0.051624496,0.09016304
251261688,251160522,0.19950014,0.7501133,0.012898673,0.0069059543,1.3350315,1.9314802,0.0257635,0.09015489
252266187,252164571,0.20502259,0.71009,0.013045083,0.0069052987,1.1539707,1.9317502,0.017763583,0.09015086
253259910,253158680,0.19607966,0.6758232,0.01318928,0.006869507,1.1463585,1.9322813,0.012010636,0.090154596
254264076,254162730,0.16747847,0.63143647,0.013256832,0.0068178135,1.5127115,1.9329355,0.014494709,0.090162106
255268284,255166781,0.119742036,0.58170784,0.013193733,0.006777791,1.0984917,1.9330404,0.03658833,0.09016299
256261992,256160890,0.07181775,0.5455495,0.012961156,0.006782317,0.971817,1.9352974,0.04208299,0.09014333
257267852,257164939,-0.010259312,0.5047371,0.012543141,0.0068530636,1.3876572,1.9354956,0.020833142,0.09015515
