timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
174404244,0,0,0,1,0,0,0,0,0,0,0,0
175408513,0,0,0,1,0,0,0,0,0,0,0,0
176413010,0,0,0,1,0,0,0,0,0,0,0,0
177416482,0,0,0,1,0,0,0,0,0,0,0,0
177774973,0,0,0,0,0,0,0,0,0,0,0,0
178778690,0,0,0,0,0,0,0,0,0,0,0,0
179782937,0,0,0,0,0,0,0,0,0,0,0,0
180787551,0,0,0,0,0,0,0,0,0,0,0,0
181791340,0,0,0,0,0,0,0,0,0,0,0,0
182796146,0,0,0,0,0,0,0,0,0,0,0,0
183800460,0,0,0,0,0,0,0,0,0,0,0,0
184803530,0,0,0,0,0,0,0,0,0,0,0,0
185808021,0,0,0,0,0,0,0,0,0,0,0,0
186813655,0,0,0,0,0,0,0,0,0,0,0,0
187815910,0,0,0,0,0,0,0,0,0,0,0,0
188819988,0,0,0,0,0,0,0,0,0,0,0,0
189824071,0,0,0,0,0,0,0,0,0,0,0,0
190828679,0,0,0,0,0,0,0,0,0,0,0,0
191832655,0,0,0,0,0,0,0,0,0,0,0,0
192837422,0,0,0,0,0,0,0,0,0,0,0,0
193840578,0,0,0,0,0,0,0,0,0,0,0,0
194844671,0,0,0,0,0,0,0,0,0,0,0,0
195849536,0,0,0,0,0,0,0,0,0,0,0,0
196853518,0,0,0,0,0,0,0,0,0,0,0,0
197856803,0,0,0,0,0,0,0,0,0,0,0,0
198862532,0,0,0,0,0,0,0,0,0,0,0,0
199865278,0,0,0,0,0,0,0,0,0,0,0,0
200869909,0,0,0,0,0,0,0,0,0,0,0,0
201873232,0,0,0,0,0,0,0,0,0,0,0,0
202877286,0,0,0,0,0,0,0,0,0,0,0,0
203881764,0,0,0,0,0,0,0,0,0,0,0,0
204886601,0,0,0,0,0,0,0,0,0,0,0,0
205890400,0,0,0,0,0,0,0,0,0,0,0,0
206894706,0,0,0,0,0,0,0,0,0,0,0,0
208902163,0,0,0,0,0,0,0,0,0,0,0,0
209906750,0,0,0,0,0,0,0,0,0,0,0,0
210910839,0,0,0,0,0,0,0,0,0,0,0,0
211915133,0,0,0,0,0,0,0,0,0,0,0,0
212918159,0,0,0,0,0,0,0,0,0,0,0,0
213922355,0,0,0,0,0,0,0,0,0,0,0,0
214927507,0,0,0,0,0,0,0,0,0,0,0,0
215932900,0,0,0,0,0,0,0,0,0,0,0,0
216935278,0,0,0,0,0,0,0,0,0,0,0,0
217938636,0,0,0,0,0,0,0,0,0,0,0,0
218943684,0,0,0,0,0,0,0,0,0,0,0,0
219947818,0,0,0,0,0,0,0,0,0,0,0,0
220951601,0,0,0,0,0,0,0,0,0,0,0,0
221955906,0,0,0,0,0,0,0,0,0,0,0,0
