timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
174165247,174164474,2359306,2359306,-8.733025e-06,-2.403284e-05,1.9626881e-05,0.003918788,-0.0017562623,-0.051221464,5122,5122,0,0,2,1
174666110,174665511,2359306,2359306,2.0788835e-05,0.0001284556,0.000132044,0.004342912,-0.0033673188,-0.052050214,5372,5372,0,0,2,1
175167287,175166547,2359306,2359306,-0.00013646929,-5.32179e-05,-0.00011268172,0.004395922,-0.002377113,-0.050851014,5371,5371,0,0,2,1
175668142,175667459,2359306,2359306,-0.0001217468,0.00017359169,-0.00011787982,0.003910488,-0.0024104796,-0.051379766,5246,5246,0,0,2,1
176169034,176168497,2359306,2359306,-1.3790535e-06,-8.301048e-05,4.7292597e-06,0.0054215393,-0.0019298486,-0.051418763,5371,5371,0,0,2,1
176670597,176669659,2359306,2359306,4.31011e-05,-0.00016212645,-0.00016702233,0.002968516,-0.002022304,-0.053797606,5496,5496,0,0,2,1
177165871,177165205,2359306,2359306,-0.00044359668,0.0004392228,0.0011145102,0.01684557,-0.0014569995,-0.04935058,5376,5376,0,0,2,1
177667276,177666237,2359306,2359306,0.0011896302,0.0011864222,-0.00076660916,0.016142897,-0.007931044,-0.050667427,5372,5372,0,0,2,1
178167737,178167148,2359306,2359306,0.00048327446,0.00045012115,0.00089886703,0.007450731,0.011805956,-0.0525783,5371,5371,0,0,2,1
178670234,178668309,2359306,2359306,0.0010924166,0.0012488419,0.0011348918,0.03801775,-0.017190378,-0.04674707,5496,5496,0,0,2,1
179169799,179169093,2359306,2359306,0.0042457227,-0.0009832003,-0.00062203384,0.04875567,0.016040178,0.023323372,5248,5248,0,0,2,1
179665470,179664890,2359306,2359306,-0.0014837715,-0.0027536077,-0.0023470672,0.039672803,-0.04343937,-0.024882862,5260,5260,0,0,2,1
180166357,180165782,2359306,2359306,-0.0016832785,0.0020422253,-0.0017450693,0.0168689,0.015724195,-0.05304087,5369,5369,0,0,2,1
180668375,180666817,2359306,2359306,-0.00114952,0.001066236,0.00018730102,0.037031267,-0.0187616,-0.067145415,5375,5375,0,2,2,1
181163201,181162472,2359306,2359306,0.00036013735,-0.0012704042,-0.00035494904,0.02261986,0.022316042,-0.037471153,5371,5371,0,0,2,1
