timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
192169635,192168644,3670026,3670026,0.00093448185,0.0012448267,9.338566e-05,0.012644148,0.0018664884,-0.028491288,4971,4971,0,0,1,1
192671665,192670699,3670026,3670026,-0.0018370568,0.00037849342,0.00040448553,0.012102953,-0.007769751,-0.056724988,4971,4971,0,0,1,1
193168800,193167782,3670026,3670026,-0.00048709963,-0.0011708885,-0.00034676536,0.0043338574,0.0068172547,-0.046918016,4971,4971,0,0,1,1
193670781,193669836,3670026,3670026,0.00033342783,-0.0007158121,0.00045027857,0.0021541622,-0.0040836046,-0.053102266,4961,4961,0,0,1,1
194172839,194171889,3670026,3670026,0.0032372077,0.0015387681,0.0012707636,0.0030729184,-0.0031390146,-0.039484236,4971,4971,0,0,1,1
194669901,194668971,3670026,3670026,9.744757e-05,0.0022442844,0.0017802456,0.0085766185,0.0025013532,-0.07298727,4971,4971,0,0,1,1
195171980,195171024,3670026,3670026,-0.0014670392,0.0005426681,0.0011575775,0.008899137,-0.004771753,-0.07577977,4971,4971,0,0,1,1
195669075,195668107,3670026,3670026,-0.0025497307,0.0030419056,0.0014957921,0.007871342,-0.001867361,-0.070707686,4972,4972,0,0,1,1
196171190,196170159,3670026,3670026,0.0021073464,0.00037870972,0.0019305607,0.0054202466,0.0048371134,-0.02905717,4970,4970,0,0,1,1
196673196,196672213,3670026,3670026,0.00020620276,0.002848889,0.0022899287,0.009528609,0.0009369581,-0.06014109,4972,4972,0,0,1,1
197170237,197169295,3670026,3670026,-0.0010863495,0.0023907588,0.0014503797,0.009588372,-0.004052913,-0.065541625,4969,4969,0,0,1,1
197672318,197671349,3670026,3670026,-0.00079616136,0.002154987,0.002335829,0.008923035,0.0024410735,-0.05957392,4971,4971,0,0,1,1
198169421,198168432,3670026,3670026,8.957549e-05,-0.00030191103,0.0018866834,0.013011057,-0.007784482,-0.043032262,4971,4971,0,0,1,1
198671578,198670485,3670026,3670026,-0.002952836,-0.00061824336,0.00076936744,0.0119663095,-0.0061428277,-0.04392272,4971,4971,0,0,1,1
199168538,199167566,3670026,3670026,-0.0024266723,-2.2411352e-05,2.5775971e-05,0.008362278,0.003974031,-0.052252073,4971,4971,0,0,1,1
199670893,199669617,3670026,3670026,-0.0025033304,0.00068617216,-0.0007124972,0.0067157126,-0.0020809874,-0.05838664,4971,4971,0,0,1,1
