timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
173876842,0.0,0.0,-1.3131875,0.0,0.79207605,0.0,0.0,-0.6104224,0.0,0.0,0.0,0,0
173926500,0.0,0.0,-1.3127,0.0,0.7922248,0.0,0.0,-0.6102293,0.0,0.0,0.0,0,0
173976242,0.0,0.0,-1.3129327,0.0,0.7921538,0.0,0.0,-0.61032146,0.0,0.0,0.0,0,0
174026061,0.0,0.0,-1.3136022,0.0,0.79194945,0.0,0.0,-0.6105866,0.0,0.0,0.0,0,0
174075547,0.0,0.0,-1.3142153,0.0,0.7917623,0.0,0.0,-0.61082935,0.0,0.0,0.0,0,0
174125405,0.0,0.0,-1.3144784,0.0,0.7916819,0.0,0.0,-0.6109335,0.0,0.0,0.0,0,0
174174976,0.0,0.0,-1.3144059,0.0,0.79170406,0.0,0.0,-0.6109048,0.0,0.0,0.0,0,0
174224972,0.0,0.0,-1.3143915,0.0,0.79170847,0.0,0.0,-0.6108991,0.0,0.0,0.0,0,0
174274660,0.0,0.0,-1.3144192,0.0,0.7917,0.0,0.0,-0.61091006,0.0,0.0,0.0,0,0
174329050,0.0,0.0,-1.314146,0.0,0.79178345,0.0,0.0,-0.61080194,0.0,0.0,0.0,0,0
174379017,0.0,0.0,-1.3132141,0.0,0.79206795,0.0,0.0,-0.6104329,0.0,0.0,0.0,0,0
174423589,0.0,0.0,-1.3121295,0.0,0.79239887,0.0,0.0,-0.6100033,0.0,0.0,0.0,0,0
174473289,0.0,0.0,-1.3107587,0.0,0.7928168,0.0,0.0,-0.60946006,0.0,0.0,0.0,0,0
174528118,0.0,0.0,-1.3098605,0.0,0.79309046,0.0,0.0,-0.6091039,0.0,0.0,0.0,0,0
174577622,0.0,0.0,-1.308724,0.0,0.7934364,0.0,0.0,-0.6086532,0.0,0.0,0.0,0,0
174622394,0.0,0.0,-1.3076575,0.0,0.7937609,0.0,0.0,-0.60822994,0.0,0.0,0.0,0,0
174677259,0.0,0.0,-1.3063905,0.0,0.794146,0.0,0.0,-0.607727,0.0,0.0,0.0,0,0
174726723,0.0,0.0,-1.3055041,0.0,0.7944153,0.0,0.0,-0.60737497,0.0,0.0,0.0,0,0
174776478,0.0,0.0,-1.304524,0.0,0.79471284,0.0,0.0,-0.60698557,0.0,0.0,0.0,0,0
174826296,0.0,0.0,-1.3038001,0.0,0.7949325,0.0,0.0,-0.6066979,0.0,0.0,0.0,0,0
174875965,0.0,0.0,-1.3035659,0.0,0.79500353,0.0,0.0,-0.6066048,0.0,0.0,0.0,0,0
174925616,0.0,0.0,-1.3033979,0.0,0.79505444,0.0,0.0,-0.60653806,0.0,0.0,0.0,0,0
174975547,0.0,0.0,-1.3036774,0.0,0.7949697,0.0,0.0,-0.60664916,0.0,0.0,0.0,0,0
175025053,0.0,0.0,-1.3037267,0.0,0.7949548,0.0,0.0,-0.6066687,0.0,0.0,0.0,0,0
175074802,0.0,0.0,-1.30362,0.0,0.79498714,0.0,0.0,-0.60662633,0.0,0.0,0.0,0,0
175124639,0.0,0.0,-1.3043141,0.0,0.7947765,0.0,0.0,-0.6069022,0.0,0.0,0.0,0,0
175174097,0.0,0.0,-1.3054535,0.0,0.7944307,0.0,0.0,-0.6073549,0.0,0.0,0.0,0,0
175228990,0.0,0.0,-1.3070993,0.0,0.7939306,0.0,0.0,-0.60800844,0.0,0.0,0.0,0,0
175273672,0.0,0.0,-1.3081766,0.0,0.79360294,0.0,0.0,-0.608436,0.0,0.0,0.0,0,0
175323370,0.0,0.0,-1.3087057,0.0,0.79344195,0.0,0.0,-0.6086459,0.0,0.0,0.0,0,0
175378062,0.0,0.0,-1.3087791,0.0,0.7934196,0.0,0.0,-0.608675,0.0,0.0,0.0,0,0
175427644,0.0,0.0,-1.3084453,0.0,0.79352117,0.0,0.0,-0.6085426,0.0,0.0,0.0,0,0
175477366,0.0,0.0,-1.3081111,0.0,0.7936229,0.0,0.0,-0.60840994,0.0,0.0,0.0,0,0
175522513,0.0,0.0,-1.308352,0.0,0.7935496,0.0,0.0,-0.60850555,0.0,0.0,0.0,0,0
175576755,0.0,0.0,-1.3090106,0.0,0.7933492,0.0,0.0,-0.60876685,0.0,0.0,0.0,0,0
175626543,0.0,0.0,-1.3100564,0.0,0.7930307,0.0,0.0,-0.60918164,0.0,0.0,0.0,0,0
175676411,0.0,0.0,-1.3110371,0.0,0.79273194,0.0,0.0,-0.6095704,0.0,0.0,0.0,0,0
175726039,0.0,0.0,-1.3113614,0.0,0.7926331,0.0,0.0,-0.60969895,0.0,0.0,0.0,0,0
175775791,0.0,0.0,-1.3107378,0.0,0.7928232,0.0,0.0,-0.6094518,0.0,0.0,0.0,0,0
175825416,0.0,0.0,-1.3092752,0.0,0.7932686,0.0,0.0,-0.60887176,0.0,0.0,0.0,0,0
175875054,0.0,0.0,-1.3075935,0.0,0.7937803,0.0,0.0,-0.60820454,0.0,0.0,0.0,0,0
175924963,0.0,0.0,-1.3057085,0.0,0.7943532,0.0,0.0,-0.60745615,0.0,0.0,0.0,0,0
175974525,0.0,0.0,-1.3045015,0.0,0.79471964,0.0,0.0,-0.6069767,0.0,0.0,0.0,0,0
176024268,0.0,0.0,-1.3043319,0.0,0.79477113,0.0,0.0,-0.6069093,0.0,0.0,0.0,0,0
176079060,0.0,0.0,-1.3043461,0.0,0.79476684,0.0,0.0,-0.6069149,0.0,0.0,0.0,0,0
176128719,0.0,0.0,-1.3039097,0.0,0.7948992,0.0,0.0,-0.6067414,0.0,0.0,0.0,0,0
176173283,0.0,0.0,-1.3037114,0.0,0.79495937,0.0,0.0,-0.60666263,0.0,0.0,0.0,0,0
176223103,0.0,0.0,-1.3037574,0.0,0.7949454,0.0,0.0,-0.6066809,0.0,0.0,0.0,0,0
176277730,0.0,0.0,-1.3038995,0.0,0.79490227,0.0,0.0,-0.60673743,0.0,0.0,0.0,0,0
176313297,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176372767,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176412844,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176472156,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176511953,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176571871,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176612465,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176671660,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176710862,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176770578,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176810428,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176870040,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176909713,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
176969808,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
177029130,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
177068726,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
177128685,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
177168494,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
177228023,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
177267682,0.0,0.17453292,0.0,0.0,0.9961947,0.0,0.08715574,0.0,0.0,0.0,0.0,1,0
