timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
173842268,-0.105643325,-0.23367448,0.009878292,0.0,0.0,0.0,1
173866961,-0.102910936,-0.23370872,0.009625392,0.0,0.0,0.0,1
173886705,-0.10105775,-0.23383157,0.009460239,0.0,0.0,0.0,1
173906691,-0.09860061,-0.23364274,0.00921963,0.0,0.0,0.0,1
173926520,-0.09665955,-0.23363763,0.009039455,0.0,0.0,0.0,1
173946543,-0.09561799,-0.23341611,0.0089321025,0.0,0.0,0.0,1
173966406,-0.09439286,-0.23345497,0.008820857,0.0,0.0,0.0,1
173986174,-0.09458843,-0.23294143,0.0088215405,0.0,0.0,0.0,1
174006364,-0.0945119,-0.23230845,0.008794368,0.0,0.0,0.0,1
174026083,-0.09514572,-0.23148368,0.008824256,0.0,0.0,0.0,1
174045949,-0.09531948,-0.23064895,0.008802717,0.0,0.0,0.0,1
174065673,-0.09578088,-0.22972605,0.008819901,0.0,0.0,0.0,1
174085763,-0.09656254,-0.22849934,0.008840468,0.0,0.0,0.0,1
174105441,-0.096900985,-0.22716884,0.008823939,0.0,0.0,0.0,1
174125423,-0.09754687,-0.22588998,0.008827242,0.0,0.0,0.0,1
174145171,-0.09774886,-0.2253877,0.008821128,0.0,0.0,0.0,1
174165338,-0.09835978,-0.22506869,0.008861161,0.0,0.0,0.0,1
174184990,-0.09887753,-0.22537835,0.0089132115,0.0,0.0,0.0,1
174205138,-0.098964624,-0.22589028,0.008945356,0.0,0.0,0.0,1
174224990,-0.09895237,-0.22676265,0.008966689,0.0,0.0,0.0,1
174244609,-0.099182494,-0.22737798,0.009023147,0.0,0.0,0.0,1
174264900,-0.09921574,-0.22781481,0.009041425,0.0,0.0,0.0,1
174284360,-0.09924644,-0.2278024,0.009048641,0.0,0.0,0.0,1
174304377,-0.09919956,-0.22751306,0.009034127,0.0,0.0,0.0,1
174329068,-0.0994113,-0.22751632,0.009055898,0.0,0.0,0.0,1
174344217,-0.09929031,-0.22744988,0.009039996,0.0,0.0,0.0,1
174363895,-0.0997528,-0.22752653,0.009081931,0.0,0.0,0.0,1
174388831,-0.100612,-0.22695062,0.009141908,0.0,0.0,0.0,1
