timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
190649874,2359306,2359306,0,1439,0,0,0,0,0,0,375.26074,375.26074,3762.2468,7480.2803,8.407869,0.14045066,5.1715054e-09,3.1384315,-1.1366067,-8.890985,0.008839246,-0.029730767,-0.024067732,80.14908,4384.1367,567.5192,1.0516721,0.06872793,0.020014295,25.24087,25.24087
191625570,2359306,2359306,0,1848,0,0,0,0,0,0,375.25827,375.25827,3762.4893,7480.504,8.71666,0.13292426,1.3380532e-08,3.1248057,-1.1728579,-9.381178,0.035078317,-0.011667879,-0.012117186,83.459076,4482.2075,589.04596,1.0507246,0.07275808,0.019114275,25.23304,25.23304
192643088,2359306,2359306,0,1848,0,0,0,0,0,0,375.25977,375.25977,3762.3193,7480.2266,8.3852215,0.12300817,1.9585132e-08,2.543523,1.2202271,-9.763993,-0.23560467,0.17696676,0.021403983,89.43775,2544.6384,358.0685,1.0754833,0.06841438,0.01926367,25.073439,25.073439
193656249,2359306,2359306,0,1848,0,0,0,0,0,0,375.25946,375.25946,3762.4675,7480.423,3.89142,0.07050553,4.0886e-09,0.9721853,-0.99442387,-11.218194,-0.12403027,-0.028358847,0.07378643,1.2801036,134.52176,54.97366,0.029935496,0.03859792,9.844895e-05,24.929682,24.929682
194572224,2359306,2359306,0,1848,0,0,0,0,0,0,375.26154,375.26154,3762.2485,7480.311,2.380807,0.05778741,2.420444e-08,1.4097522,-0.9412142,-12.113674,0.2637088,0.42760682,0.40165868,1.2038083,109.20463,56.121,0.040439308,0.04082552,0.00016578178,25.073437,25.073437
195591277,2359306,2359306,0,1848,0,0,0,0,0,0,375.26273,375.26273,3762.2485,7480.2617,2.2076252,0.057379767,2.8303683e-08,1.5602758,-0.38809636,-9.7706995,0.33080748,0.3773142,0.42234495,1.071036,72.98553,33.84907,0.026203718,0.035713375,0.0011808751,24.929682,24.929682
196602760,2359306,2359306,0,1848,0,0,0,0,0,0,375.26227,375.26227,3762.1917,7480.211,2.3758917,0.06295477,2.5659848e-08,1.8145028,-1.3845677,-9.474515,0.34937567,0.11883663,0.51074195,0.97621703,70.0428,26.250721,0.021052962,0.035411682,0.00021357,24.977598,24.977598
197615637,2359306,2359306,0,1848,0,0,0,0,0,0,375.2598,375.2598,3762.087,7480.133,2.216638,0.046755575,2.1669113e-08,2.2211297,-1.178135,-11.537591,-0.12283731,0.4833694,0.4601678,1.0835345,82.76199,39.596386,0.03161411,0.033554822,0.00017870037,24.929682,24.929682
198639438,2359306,2359306,0,1848,0,0,0,0,0,0,375.2602,375.2602,3762.2507,7480.252,2.1875257,0.043926917,1.1309994e-08,1.3648051,-0.69515425,-10.055787,-0.27064055,0.03267641,0.21866049,0.87502146,72.91078,25.784334,0.026229726,0.029777104,0.00034434607,24.977598,24.977598
199651414,2359306,2359306,0,1848,0,0,0,0,0,0,375.26382,375.26382,3762.2878,7480.108,2.70834,0.052348174,1.5899479e-08,1.8580989,-0.9982157,-12.084116,-0.40634578,0.14909552,-0.08580882,12.071981,381.13403,259.94125,0.06792303,0.1516533,0.0006458181,24.88176,24.88176
