timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
173844038,173843280,-0.061626673,-0.33780158,0.0061441218
173868925,173868133,-0.054106526,-0.33840352,0.0046834196
173886293,173885531,-0.057083,-0.33588016,0.005489222
173908628,173907900,-0.047862187,-0.33603647,0.0066593434
173926089,173925299,-0.058656376,-0.33648401,0.0077867485
173945937,173945189,-0.05938592,-0.33408824,0.008978684
173968698,173967553,-0.07001055,-0.33517066,0.010306352
173985688,173984951,-0.074062355,-0.33023697,0.011173765
174005944,174004835,-0.07660789,-0.3306959,0.011439665
174027935,174027205,-0.07975952,-0.32525787,0.011124637
174045372,174044603,-0.0747362,-0.32682416,0.011307866
174065255,174064487,-0.083812274,-0.3229687,0.011000533
174087658,174086857,-0.07949999,-0.31934208,0.010089444
174105005,174104255,-0.08294297,-0.31762767,0.009575676
174124932,174124139,-0.07820657,-0.3165595,0.008181022
174147247,174146509,-0.082839504,-0.3212368,0.008110631
174164690,174163908,-0.08193613,-0.32218984,0.008062955
174187058,174186287,-0.08024242,-0.32875535,0.007680277
174206920,174206161,-0.07738674,-0.32846496,0.009024678
174227004,174226045,-0.076468565,-0.33325163,0.009477365
174246712,174245929,-0.07985455,-0.33021575,0.008878846
174264479,174263331,-0.07354671,-0.3303252,0.008453353
174286468,174285697,-0.0802516,-0.32609585,0.007954063
174306394,174305581,-0.07457614,-0.32694918,0.007371193
174328676,174327951,-0.08114657,-0.32671672,0.00662528
174346096,174345349,-0.07500401,-0.32705924,0.0047354065
174366002,174365233,-0.08130836,-0.32791388,0.0038087904
174388352,174387603,-0.08313649,-0.3224657,0.0036882006
174405737,174405002,-0.08663005,-0.3224199,0.0032531638
174425617,174424892,-0.09194203,-0.3170668,0.0024478803
174448385,174447255,-0.090291664,-0.31738153,0.0019999847
174467884,174467139,-0.09431973,-0.3117315,0.0033200139
174485613,174484538,-0.09069122,-0.3105593,0.004467572
174507650,174506907,-0.094591334,-0.3063698,0.005523229
174530047,174529277,-0.087055534,-0.3040176,0.004848651
174544963,174544190,-0.094494425,-0.30445936,0.0041928967
174567351,174566559,-0.09307531,-0.3061324,0.0032230916
174587163,174586443,-0.09575305,-0.30887586,0.003451711
174607117,174606334,-0.09353103,-0.30683145,0.0037358694
174626948,174626220,-0.08949658,-0.30744928,0.004026649
174646867,174646095,-0.09049587,-0.30390456,0.003753954
174666711,174665983,-0.08583089,-0.3084809,0.0035540638
174684088,174683378,-0.087052464,-0.30792516,0.004649411
174706705,174705748,-0.083723746,-0.30950135,0.005080928
174726358,174725632,-0.088143386,-0.3067219,0.005112768
174748730,174748001,-0.08688297,-0.3034157,0.0045289886
174766113,174765400,-0.09571459,-0.30281097,0.0041462327
174786018,174785284,-0.08994969,-0.3014388,0.004332408
174808374,174807653,-0.09157756,-0.3023749,0.0058470774
174825797,174825052,-0.09712552,-0.3016107,0.0067842496
174845656,174844936,-0.09299367,-0.30568352,0.007972758
174868040,174867305,-0.09348163,-0.30441502,0.0083144335
174888026,174887189,-0.09302297,-0.3068887,0.008092064
174905340,174904588,-0.09634708,-0.30486962,0.008206195
174928027,174926958,-0.092484996,-0.30741954,0.0091942735
174947607,174946842,-0.098007396,-0.30675507,0.01082406
174965271,174964240,-0.091612175,-0.30581796,0.010847233
174987383,174986610,-0.09002081,-0.30546355,0.010522982
175007221,175006494,-0.08751409,-0.30562955,0.009465838
175029599,175028863,-0.08924647,-0.3104326,0.008324286
175044574,175043780,-0.08263776,-0.31063354,0.0083500445
175066852,175066146,-0.08255398,-0.3155516,0.009411795
175086791,175086030,-0.083872996,-0.31442946,0.011470548
175104133,175103428,-0.075856104,-0.31691107,0.0130734695
175126580,175125798,-0.08126597,-0.31807336,0.014332615
175146413,175145683,-0.07296676,-0.32208702,0.01443202
175168784,175168051,-0.07356628,-0.32386824,0.015490211
175186336,175185450,-0.07175749,-0.32504252,0.01636392
175206076,175205334,-0.075325824,-0.3248964,0.016945766
175228468,175227704,-0.074834615,-0.32006136,0.01572966
175245852,175245102,-0.077198006,-0.3195162,0.01532406
175265714,175264986,-0.0733343,-0.31495535,0.014151019
175288121,175287356,-0.070752375,-0.31456038,0.012660984
175308015,175307240,-0.06985676,-0.30925763,0.010780841
175325362,175324638,-0.0636186,-0.3094058,0.009579901
175347728,175347008,-0.06296006,-0.30842033,0.009051034
175367705,175366892,-0.055450164,-0.3101837,0.008799181
175385021,175384290,-0.061263222,-0.30840117,0.007923759
175404949,175404175,-0.062061444,-0.30668423,0.006597991
175427284,175426544,-0.068281464,-0.30763528,0.005716878
175447177,175446428,-0.06785991,-0.30454022,0.0060554883
175464554,175463827,-0.06906312,-0.30559072,0.0064517846
175489443,175488682,-0.069913715,-0.2998332,0.00829451
175506795,175506080,-0.06934864,-0.2999628,0.00901358
175524247,175523479,-0.07847851,-0.29724726,0.009383864
175546560,175545849,-0.07196404,-0.29898605,0.009733196
175566513,175565733,-0.07338738,-0.29939717,0.011057482
175588824,175588107,-0.07216988,-0.30254164,0.012124422
175606227,175605501,-0.07566458,-0.30472538,0.012482635
175626136,175625385,-0.066996515,-0.30570948,0.012711225
175648516,175647754,-0.06497519,-0.3062463,0.012933689
175666038,175665153,-0.06332214,-0.30574206,0.011642639
175685769,175685037,-0.06251894,-0.310534,0.010349092
175708150,175707406,-0.0603823,-0.3077639,0.008994104
175725575,175724805,-0.0554267,-0.30633846,0.0076546557
175745444,175744689,-0.062264822,-0.30256495,0.0051242863
175767799,175767063,-0.0572577,-0.3021774,0.002962377
175785233,175784457,-0.060568333,-0.29864487,0.001896057
175805061,175804341,-0.05911517,-0.2952218,0.00033315667
175827424,175826710,-0.06771026,-0.29542723,-0.00033910957
175847380,175846594,-0.06795893,-0.29678854,-0.00016710401
175864744,175863993,-0.07219579,-0.2996992,-0.000718558
175884652,175883877,-0.07675862,-0.29990512,-0.0011937119
175906991,175906247,-0.07589896,-0.30592653,-0.0014395354
175926884,175926131,-0.073307194,-0.3072801,-0.0002322336
175944258,175943529,-0.06941857,-0.31219298,0.0013574949
175966641,175965899,-0.06455884,-0.31186655,0.0031371317
175986498,175985783,-0.05482454,-0.31386256,0.0051188767
176008907,176008152,-0.050889667,-0.3141604,0.0073899697
176026279,176025551,-0.0433473,-0.3160395,0.0082624825
176046177,176045435,-0.049032733,-0.318316,0.008008358
176068526,176067807,-0.046269108,-0.31836703,0.0064943978
176085918,176085203,-0.049730185,-0.32194352,0.00552525
176105838,176105091,-0.053396396,-0.32201973,0.0047787772
176128224,176127457,-0.053791393,-0.3256551,0.00450127
176148463,176147341,-0.05663953,-0.322695,0.0056956518
176165456,176164739,-0.055514373,-0.32336336,0.0060273698
176187865,176187109,-0.061609812,-0.32289237,0.0068574655
176207727,176206993,-0.05716301,-0.3254534,0.007068567
176225209,176224392,-0.056643225,-0.32426488,0.007167977
176247497,176246761,-0.052101146,-0.32214215,0.007194334
176267393,176266645,-0.05703881,-0.32131734,0.0073691336
176287267,176286529,-0.05079197,-0.31819686,0.008086737
176304696,176303928,-0.05026312,-0.31848288,0.0082739685
176327071,176326299,-0.056025475,0.3138381,-0.0035519379
176346941,176346181,-0.05915526,0.31415796,-0.0042243283
176364354,176363580,-0.06787424,0.31332442,-0.0046646902
176386656,176385949,-0.062617965,0.31290093,-0.0061499737
176406602,176405834,-0.081525855,0.31332907,-0.007745072
176428942,176428203,-0.07257972,0.31232753,-0.00857444
176446399,176445601,-0.08662008,0.31195316,-0.008321571
176466188,176465485,-0.08180086,0.31387544,-0.007307108
176488583,176487855,-0.080661,0.3121763,-0.0073702554
176505962,176505254,-0.08025422,0.31235784,-0.0070015416
176525928,176525138,-0.07454276,0.3115785,-0.007365322
176548268,176547508,-0.07263845,0.3112704,-0.0068903184
176565648,176564906,-0.07817691,0.30968004,-0.0045641647
176585525,176584790,-0.07626808,0.30789337,-0.0014853331
176607906,176607160,-0.07407935,0.31155622,0.00055673363
176628126,176627044,-0.071581826,0.3126793,0.00020429971
176645163,176644442,-0.07308457,0.31462413,-3.6030775e-05
176665378,176664326,-0.07236321,0.3201375,0.00040073338
176687449,176686696,-0.070299685,0.32994005,0.0006168225
176707326,176706580,-0.072253846,0.3357237,-0.0011744732
176724691,176723978,-0.07218693,0.33688706,-0.003147797
176747103,176746348,-0.062411893,0.34095824,-0.002136727
176766935,176766232,-0.050119463,0.34411117,0.00060164236
176784362,176783630,-0.04222379,0.34790176,0.0022464108
176806749,176806000,-0.023262067,0.35036927,0.0024871144
176826605,176825884,-0.0004664145,0.34619844,0.0020911258
176851554,176850739,0.022516914,0.3440256,0.0058273803
176866395,176865651,0.043306,0.34048766,0.011128301
176886670,176885537,0.06285287,0.33150163,0.014646238
176908639,176907906,0.07873616,0.31041726,0.009074033
176926086,176925304,0.07927711,0.2836054,0.0012577241
176945901,176945189,0.088257656,0.255485,-0.0057781604
176968354,176967562,0.1007976,0.23715444,-0.012698313
176988154,176987442,0.09937096,0.21591511,-0.021164168
177005610,177004840,0.08746216,0.19299597,-0.030973764
177027914,177027210,0.07604499,0.164788,-0.043912444
177047820,177047094,0.08385423,0.14357565,-0.0522037
177065242,177064493,0.08938932,0.13458775,-0.056315802
177085093,177084377,0.07658433,0.13142626,-0.057457235
177107821,177106746,0.06924889,0.1277735,-0.05384584
177127418,177126630,0.06870663,0.12191518,-0.049632203
177145053,177144029,0.07502414,0.12121314,-0.048681967
177167101,177166399,0.07483124,0.12879744,-0.04666518
177187049,177186283,0.05831974,0.14423907,-0.039253786
177204456,177203681,0.04659675,0.16434012,-0.028626299
177226810,177226051,0.026367784,0.1813667,-0.015074016
177246670,177245935,0.011247919,0.19045587,-0.007378797
177269022,177268304,-0.0016276755,0.19950819,0.0009927505
177286458,177285706,-0.010781487,0.20352106,0.008177077
177306301,177305587,-0.010952869,0.21478318,0.015193477
177328881,177327957,-0.01144043,0.23702984,0.020389581
177346057,177345355,-0.00047482207,0.25301135,0.023193311
177366358,177365239,0.021683792,0.2703049,0.027373308
177388336,177387609,0.041943047,0.2818905,0.03513691
177405767,177405007,0.049880397,0.2871634,0.040248364
177425621,177424891,0.055368636,0.2978082,0.044067893
177448029,177447261,0.06703518,0.31344697,0.04869891
177465382,177464659,0.072501056,0.3228014,0.05180081
177487916,177487029,0.06395728,0.33103848,0.056410734
177505149,177504427,0.056291807,0.33292812,0.059306003
177527510,177526801,0.053600475,0.33548862,0.060247626
177544946,177544196,0.044149064,0.3379738,0.05961043
177564784,177564080,0.034952942,0.34128612,0.05910558
177587495,177586450,0.024166461,0.33670482,0.056341697
177604567,177603848,0.013211537,0.31893045,0.050553806
177624687,177623732,-0.013731171,0.2893622,0.04180605
177646851,177646102,-0.04465731,0.24699225,0.035588376
177664686,177663501,-0.08955211,0.21922372,0.034956124
177689057,177688355,-0.17388365,0.16469195,0.03659419
177706506,177705753,-0.23985992,0.12566207,0.046879113
177726386,177725639,-0.16543539,0.15684712,0.09742321
177748786,177748007,-0.05850438,0.20937276,0.17974053
177766128,177765406,0.012622508,0.3272351,0.18488607
177786002,177785290,0.049404733,-0.17524508,0.11648079
177806085,177805174,-0.097018756,0.5806302,0.0010633722
177825796,177825058,-0.18226947,0.82210225,-0.036632594
177846059,177844944,-0.3141315,1.0,-0.009519018
177865544,177864826,-0.28862378,0.95490974,0.040215693
177887931,177887196,-0.1065725,0.79356086,0.049415324
177905377,177904594,0.056275867,0.7526153,0.03321699
177925250,177924479,0.48823676,0.71099955,-0.0035628788
177947557,177946848,0.76000965,0.61817336,-0.044075035
177967497,177966732,0.77289486,0.5328865,-0.05142429
