timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
184227897,0,1743472111124778,10813469,364536447,1274059810,47121,67140,0.266,0.024871292,0.813,0.95900005,0.51,0.71999997,87,8,17.86,3.9210002,-17.425001,-4.5990005,4.9337063,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
184724859,0,1743472111624778,10813469,364536637,1274058841,49258,69276,0.22900002,0.022974292,0.822,0.966,0.48999998,0.7,87,8,17.906,4.6780005,-17.284,-4.2330003,4.9767184,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
185235920,0,1743472112124778,10813469,364536842,1274057885,51504,71522,0.21700001,0.020494528,0.82900006,0.9710001,0.48999998,0.7,87,9,17.766,4.321,-17.232,-4.6870003,4.9580855,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
185729917,0,1743472112624778,10813469,364537029,1274056940,53970,73988,0.21100001,0.018816045,0.83400005,0.975,0.48999998,0.7,87,9,17.331001,4.0930004,-16.841002,-4.3050003,4.9508033,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
186230149,0,1743472113124778,10813469,364537222,1274056006,55873,75891,0.21700001,0.01850206,0.836,0.97700006,0.48999998,0.7,75,9,17.271,4.188,-16.755001,-2.9980001,4.957327,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
186730836,0,1743472113624778,10813469,364537394,1274055064,57677,77695,0.20500001,0.02063206,0.83900005,0.97900003,0.51,0.71,75,9,17.233002,3.6350002,-16.846,-3.782,4.9248996,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
187231956,0,1743472114124778,10813469,364537547,1274054108,59556,79573,0.24300002,0.021208368,0.841,0.98100007,0.51,0.71,70,9,17.664001,3.0860002,-17.392,-3.2680001,4.8880196,0,nan,0.0,0.0,0.0,0,3,1,1,1,24,0
187727059,0,1743472114624777,10813469,364537676,1274053122,61280,81297,0.193,0.0155252265,0.841,0.98200005,0.51,0.71,70,9,18.108002,2.696,-17.906,-3.5830002,4.861843,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
188236080,0,1743472115124777,10813469,364537797,1274052125,63183,83200,0.19600001,0.0112758735,0.83900005,0.98100007,0.51,0.71,75,16,18.277,2.6220002,-18.088001,-3.7010002,4.856317,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
188735849,0,1743472115624777,10813469,364537907,1274051127,65215,85232,0.208,0.010507232,0.83500004,0.97900003,0.51,0.71,75,16,18.143002,2.407,-17.982,-3.7000003,4.8454475,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
189238277,0,1743472116124777,10813469,364538015,1274050132,67347,87363,0.21100001,0.010125701,0.832,0.97800004,0.53,0.72999996,75,17,18.176,2.569,-17.993,-3.989,4.854185,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
189739819,0,1743472116624777,10813469,364538134,1274049135,69287,89304,0.20700002,0.010833258,0.82900006,0.9760001,0.51,0.71,75,17,17.948,2.585,-17.761002,-3.7970002,4.8569036,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
190242006,0,1743472117124777,10813469,364538246,1274048132,71081,91097,0.209,0.010571284,0.82600003,0.97400004,0.53,0.72999996,80,16,18.039001,2.1200001,-17.914001,-3.91,4.8301578,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
190738926,0,1743472117624777,10813469,364538338,1274047143,73126,93142,0.20600002,0.009867218,0.823,0.9710001,0.53,0.71999997,80,16,17.948,1.8040001,-17.857,-3.5440001,4.8130693,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
191231838,0,1743472118124777,10813469,364538409,1274046156,75327,95343,0.21900001,0.01121182,0.82100004,0.96800005,0.53,0.71999997,86,8,17.726002,1.6630001,-17.648,-4.5880003,4.8063536,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
191737804,0,1743472118624777,10813469,364538469,1274045180,77861,97877,0.19700001,0.01049292,0.818,0.966,0.53,0.71999997,86,8,17.502,1.383,-17.448,-5.247,4.7914677,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
192235868,0,1743472119124777,10813469,364538555,1274044183,80084,100099,0.18,0.009992359,0.81700003,0.96400005,0.53,0.71999997,86,8,18.198,1.881,-18.101002,-4.1540003,4.8159122,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
192737514,0,1743472119624777,10813469,364538645,1274043185,82127,102141,0.19100001,0.0099105025,0.81500006,0.961,0.53,0.71999997,86,8,18.211,1.9720001,-18.103,-3.3430002,4.8208838,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
193235845,0,1743472120124776,10813469,364538723,1274042185,83969,103983,0.164,0.008756142,0.81200004,0.95800006,0.53,0.71999997,85,6,17.810001,1.914,-17.707,-3.4080002,4.820039,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
193735895,0,1743472120624776,10813469,364538804,1274041202,85332,105346,0.15100001,0.008262563,0.808,0.95400006,0.53999996,0.75,85,6,17.539001,1.937,-17.432001,-2.066,4.823049,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
194231340,0,1743472121124776,10813469,364538891,1274040242,86203,106217,0.13700001,0.008064643,0.80500007,0.95100003,0.55,0.75,85,6,17.34,2.4780002,-17.162,-0.661,4.855808,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
194728711,0,1743472121624776,10813469,364539053,1274039327,86595,106609,0.143,0.008725424,0.80200005,0.9480001,0.53,0.75,85,6,16.722,5.538,-15.778001,-0.51900005,5.0499673,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
195233514,0,1743472122124776,10813469,364539397,1274038523,87049,107062,0.21200001,0.010230945,0.8,0.94900006,0.58,0.78,60,6,15.976001,9.207001,-13.056001,-1.1320001,5.3266172,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
195730681,0,1743472122624776,10813469,364539861,1274037875,87715,107729,0.23700002,0.015681434,0.8,0.94900006,0.53999996,0.75,60,6,15.607,11.554001,-10.492001,-0.65800005,5.5459547,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
196231821,0,1743472123124776,10813469,364540442,1274037396,88114,108128,0.26500002,0.011144799,0.80200005,0.95000005,0.58,0.81,55,6,15.312,13.711,-6.8180003,-0.71400005,5.821748,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
196730341,0,1743472123624776,10813469,364541094,1274037092,88100,108113,0.238,0.011885168,0.80300003,0.95400006,0.51,0.72999996,55,6,15.465001,14.957001,-3.9300003,0.38500002,6.0262375,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
197235810,0,1743472124124776,10813469,364541788,1274037008,87732,107745,0.19600001,0.008516857,0.80100006,0.95500004,0.5,0.7,82,6,15.727001,15.712001,0.70400006,0.9110001,0.044798933,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
197733813,0,1743472124624776,10813469,364542489,1274037153,87181,107194,0.194,0.007927634,0.79700005,0.95600003,0.53,0.76,82,6,15.781001,15.144001,4.439,1.153,0.28514665,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
198235844,0,1743472125124776,10813469,364543159,1274037518,86322,106336,0.185,0.0084442515,0.79300004,0.957,0.5,0.71999997,88,7,16.232,13.987,8.237,1.7140001,0.532249,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
198732921,0,1743472125624775,10813469,364543776,1274038048,85114,105127,0.186,0.009518502,0.78900003,0.957,0.51,0.76,88,7,16.847,13.084001,10.613001,2.5340002,0.6814863,0,nan,0.0,0.0,0.0,0,3,1,1,1,24,0
199231115,0,1743472126124775,10813469,364544356,1274038700,83712,103725,0.18200001,0.010780898,0.78700006,0.961,0.51,0.81,94,15,17.952002,12.687,12.700001,2.5430002,0.78590286,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
199731844,0,1743472126624775,10813469,364544934,1274039433,82517,102531,0.177,0.010918255,0.78400004,0.96300006,0.48999998,0.71999997,94,15,18.699001,13.134001,13.309001,1.9300001,0.7920424,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
