timestamp,control_power[0],control_power[1],control_power[2]
1743177449373379,7.890975e-06,4.7646854e-06,1.3362876e-07
1743177449873379,9.888301e-06,5.5718265e-06,9.150577e-08
1743177450373379,4.67175e-06,5.6493795e-06,0.00037538155
1743177450873379,6.3725165e-06,6.570789e-06,3.6299025e-07
1743177451373379,6.1883648e-06,6.335547e-06,2.384889e-07
1743177451873379,5.440988e-06,6.9399275e-06,1.2604633e-07
1743177452373379,4.370815e-06,7.748511e-06,1.1143025e-07
1743177452873379,5.257574e-06,4.5074307e-06,8.811442e-08
1743177453373379,8.22288e-06,5.8821615e-06,5.048641e-08
1743177453873379,7.773553e-06,6.8082327e-06,1.0630803e-07
1743177454373379,5.097507e-06,4.708372e-06,1.925582e-07
1743177454873379,5.2713667e-06,6.476408e-06,1.654907e-07
1743177455373379,6.3383422e-06,5.859283e-06,4.1746237e-08
1743177455873379,1.0992381e-05,1.045154e-05,9.301257e-08
1743177456373379,6.5494255e-06,5.6738495e-06,1.00067275e-07
1743177456873379,6.3414755e-06,9.186068e-06,1.1787054e-07
1743177457373379,5.6720714e-06,5.4384e-06,1.3919251e-07
1743177457873379,7.849104e-06,6.9261e-06,5.8396637e-08
1743177458373379,0.0009050427,0.00013388153,6.5522094e-08
1743177458873379,8.765377e-06,6.3097445e-06,8.286169e-08
1743177459373379,7.0495644e-06,6.2741874e-06,1.0183003e-07
1743177459873379,5.2777773e-06,8.685323e-06,3.980411e-08
1743177460373379,6.813611e-06,7.6290885e-06,7.1318546e-08
1743177460873379,7.258997e-06,4.5472802e-06,2.860562e-07
1743177461373379,6.8729632e-06,6.6269613e-06,1.521353e-07
1743177461873379,6.0531725e-06,7.679489e-06,9.035469e-07
1743177462373379,7.1022314e-06,6.027039e-06,2.853252e-06
1743177462873379,4.3099244e-06,6.179621e-06,6.0205607e-06
1743177463373379,4.9871906e-06,7.2930975e-06,1.6248345e-05
1743177463873379,6.5376694e-06,6.7048127e-06,2.9074395e-06
1743177464373379,5.3010467e-06,4.523704e-06,5.6863723e-06
1743177464873379,6.918589e-06,4.057904e-06,4.7612278e-07
1743177465373379,5.1388647e-06,5.8469845e-06,1.3266074e-06
1743177465873379,5.4469724e-06,4.581741e-06,2.6325672e-06
1743177466373379,6.1122123e-06,4.968465e-06,6.300855e-07
1743177466873379,4.8812703e-06,4.799401e-06,1.4747259e-07
1743177467373379,4.7711496e-06,8.053514e-06,9.489552e-08
1743177467873379,6.0052494e-06,5.264456e-06,7.401953e-08
1743177468373379,5.0544054e-06,7.3136157e-06,6.8928466e-07
1743177468873379,5.148117e-06,4.653862e-06,6.3880333e-07
1743177469373379,5.5105456e-06,7.71533e-06,3.5348023e-07
1743177469873379,0.00017057544,1.616023e-05,3.88426e-07
1743177470373379,3.2067706e-05,3.4333723e-05,0.0011097413
1743177470873379,7.5330654e-06,7.825269e-05,0.00079882774
1743177471373379,5.571973e-06,1.3590379e-05,0.000638512
1743177471873379,6.987331e-06,7.69655e-06,0.00043077153
1743177472373379,8.933432e-06,7.19059e-05,0.0003246776
1743177472873379,5.419943e-06,8.253659e-06,0.00018876462
1743177473373379,6.837714e-06,6.570648e-06,0.0002922797
1743177473873379,0.00041105732,2.3841181e-05,0.016293757
1743177474373379,0.00019436094,5.5430526e-05,0.009015236
1743177474873379,0.00017836812,5.8071542e-05,0.02760232
1743177475373379,6.152896e-05,6.3944484e-05,0.02179121
1743177475873379,2.7646e-05,2.0803996e-05,0.015253755
1743177476373379,5.9089103e-05,0.00014655475,0.0035849554
1743177476873379,1.3924565e-05,7.567174e-05,0.0035685848
1743177477373379,1.4773497e-05,3.8342947e-05,0.00025995716
1743177477873379,8.522453e-06,1.2189446e-05,0.00035888472
1743177478373379,1.10309e-05,1.3277439e-05,1.6158147e-05
1743177478873379,9.511583e-06,8.119925e-06,1.0279276e-05
1743177479373379,7.124804e-06,8.073794e-06,0.000100580975
1743177479873379,7.597512e-06,7.7387185e-06,0.00010632759
1743177480373379,1.0623149e-05,9.852623e-06,7.938314e-05
1743177480873379,5.029887e-06,7.3925758e-06,8.439189e-05
1743177481373379,5.8538258e-06,7.196651e-06,0.004188097
1743177481873379,0.00037587565,0.00021744009,0.025100283
1743177482373379,0.00012701734,3.6332924e-05,0.005268154
1743177482873379,3.975991e-05,5.1682768e-05,0.0056367503
1743177483373379,2.980385e-05,6.675563e-05,0.009820377
1743177483873379,1.294161e-05,2.5378513e-05,0.006449048
1743177484373379,1.1825029e-05,5.545826e-05,0.0061329976
1743177484873379,6.073768e-06,5.981212e-05,0.001058402
1743177485373379,7.0311216e-06,4.139971e-05,0.0014059052
1743177485873379,6.381745e-06,1.1901441e-05,0.00015000104
1743177486373379,6.3151156e-06,1.080368e-05,0.00020076049
1743177486873379,6.4783094e-06,1.0502874e-05,7.3786185e-05
1743177487373379,5.3039676e-06,6.6778066e-06,7.142743e-05
1743177487873379,7.944067e-06,7.663814e-06,2.0593552e-06
1743177488373379,6.5673757e-06,6.5988675e-06,1.2552535e-05
1743177488873379,5.8714218e-06,8.166291e-06,0.0003541951
1743177489373379,0.00022376895,1.5284082e-05,0.0116055105
1743177489873379,0.00021928901,8.443892e-05,0.01978058
1743177490373379,8.831003e-05,0.00018872524,0.050008636
1743177490873379,0.00013442428,6.0461636e-05,0.009684565
1743177491373379,9.6782474e-05,2.672838e-05,0.014098614
1743177491873379,1.9694657e-05,1.30098515e-05,0.005532538
1743177492373379,0.000549075,0.00018144163,0.025224466
1743177492873379,0.00013703266,4.012345e-05,0.0071762144
1743177493373379,5.097051e-05,6.970803e-05,0.03675518
1743177493873379,1.099064e-05,6.495749e-05,0.016039424
1743177494373379,1.2809603e-05,2.245149e-05,0.013472415
1743177494873379,9.492786e-06,5.1341984e-05,0.0022090352
1743177495373379,9.281914e-06,3.040082e-05,0.0026715894
1743177495873379,5.1219517e-06,2.6516986e-05,0.00029764193
1743177496373379,5.6210056e-06,2.7548956e-05,0.00044860414
1743177496873379,7.7609475e-06,2.7611632e-05,7.1321716e-05
1743177497373379,5.8283385e-06,3.2454845e-05,7.171142e-05
1743177497873379,5.3267204e-06,2.733376e-05,2.4248262e-05
1743177498373379,5.261082e-06,3.756729e-05,1.0569519e-05
1743177498873379,6.5756444e-06,3.361109e-05,5.398004e-06
1743177499373379,4.99711e-06,1.0014549e-05,3.357805e-06
1743177499873379,6.2592667e-06,8.9527075e-06,3.0429494e-06
1743177500373379,5.4328234e-06,6.394978e-06,8.0208133e-07
1743177500873379,1.0596256e-05,9.725133e-06,1.3374693e-06
1743177501373379,6.022446e-06,6.996174e-06,2.2373863e-06
1743177501873379,5.8239693e-06,7.778384e-06,8.737065e-06
1743177502373379,6.1330556e-06,5.2115583e-06,1.7061835e-05
1743177502873379,0.00041646627,3.4929348e-05,0.01661814
1743177503373379,0.0003326618,0.000101017744,0.0134012755
1743177503873379,0.00016576808,6.255002e-05,0.040024433
1743177504373379,0.000106823514,5.2669446e-05,0.019867921
1743177504873379,2.4878138e-05,1.9890549e-05,0.015227686
1743177505373379,9.831856e-05,2.6555257e-05,0.002581829
1743177505873379,5.6407243e-05,1.6928136e-05,0.0030191098
1743177506373379,8.304485e-06,1.2007282e-05,0.00037850332
1743177506873379,7.543038e-06,1.0525363e-05,0.0006232606
1743177507373379,8.398905e-06,1.0310026e-05,0.00011643985
1743177507873379,9.060519e-06,8.833301e-06,7.3010015e-05
1743177508373379,5.6504964e-06,8.084994e-06,0.00010245326
1743177508873379,1.14655695e-05,9.135978e-06,6.974531e-05
1743177509373379,0.00019702823,8.9736e-06,0.0027566627
1743177509873379,0.00050571037,0.00018824045,0.02662369
1743177510373379,9.3180744e-05,0.00012098666,0.0058794236
1743177510873379,8.055905e-05,2.6812599e-05,0.047075067
1743177511373379,4.20867e-05,1.0877275e-05,0.0076097352
1743177511873379,1.0605435e-05,7.666265e-05,0.013285789
1743177512373379,9.358281e-06,1.0665695e-05,0.001180801
1743177512873379,1.8988416e-05,9.940001e-06,0.0038111645
1743177513373379,0.0002458873,5.8918347e-05,0.014244862
1743177513873379,8.053065e-05,4.5274406e-05,0.0069613606
1743177514373379,7.478712e-05,0.00010277777,0.032214947
1743177514873379,2.984976e-05,2.5638908e-05,0.018321289
1743177515373379,0.00019012699,6.616153e-05,0.016761018
1743177515873379,3.7077123e-05,1.3968469e-05,0.0025538346
1743177516373379,1.4520507e-05,6.3617586e-06,0.0043986775
1743177516873379,0.0006172035,0.00012099507,0.016639486
1743177517373379,0.00014113805,4.1034295e-05,0.0043858043
1743177517873379,4.4899632e-05,7.306115e-05,0.042130087
1743177518373379,9.122376e-06,4.7829297e-05,0.010038414
1743177518873379,1.9811321e-05,1.619016e-05,0.012711245
1743177519373379,1.2099768e-05,5.1703933e-05,0.0013712812
1743177519873379,7.3424585e-06,2.5601312e-05,0.0021324735
1743177520373379,8.902017e-06,3.5820998e-05,0.00031997787
1743177520873379,2.6358846e-05,3.3512108e-05,0.0004143731
1743177521373379,1.1690868e-05,2.1839465e-05,4.6426794e-05
1743177521873379,7.4710597e-06,1.8231627e-05,0.00015892052
1743177522373379,6.459206e-06,2.4576564e-05,2.1448384e-05
1743177522873379,7.228375e-06,3.271986e-05,9.680135e-06
1743177523373379,8.815967e-06,4.5107558e-05,1.4011217e-06
1743177523873379,1.0180803e-05,4.0659783e-05,1.2295687e-06
1743177524373379,5.951785e-06,1.2129793e-05,1.3143239e-06
1743177524873379,5.743526e-06,9.388198e-06,3.6613212e-06
1743177525373379,7.367765e-06,6.841515e-06,3.397168e-07
1743177525873379,8.555219e-06,8.046943e-06,3.770656e-06
1743177526373379,7.885147e-06,5.583322e-06,5.711949e-06
1743177526873379,7.598341e-06,6.3197745e-06,1.21635785e-05
1743177527373379,7.1831455e-06,5.8223163e-06,0.0001136805
1743177527873379,0.0003976152,6.5267275e-05,0.01886276
1743177528373379,7.243018e-05,7.83329e-05,0.0121168075
1743177528873379,0.00011442972,0.00012344064,0.04982844
1743177529373379,0.00020528605,5.292319e-05,0.011567772
1743177529873379,6.178568e-05,1.6403676e-05,0.01563986
1743177530373379,0.00022872185,5.3011812e-05,0.02556662
1743177530873379,0.00039492067,0.00027580874,0.034836587
1743177531373379,0.00011473716,0.00011163563,0.014454258
1743177531873379,0.00015378221,1.6274491e-05,0.04843604
1743177532373379,2.5555692e-05,8.54199e-05,0.010886964
1743177532873379,1.0162915e-05,9.495819e-06,0.011493002
1743177533373379,9.5406685e-05,1.0839062e-05,0.011236132
1743177533873379,0.00036012867,0.00012884031,0.037591185
1743177534373379,0.00013637019,0.00017557084,0.054276336
1743177534873379,0.00024853184,0.000102165664,0.024376351
1743177535373379,0.00048307155,8.141555e-05,0.005014989
1743177535873379,7.789476e-05,0.0001435317,0.010306457
1743177536373379,0.00013465087,1.2748384e-05,0.024241637
1743177536873379,9.918767e-06,8.24362e-05,0.006397342
1743177537373379,0.00022119842,1.7462475e-05,0.012449514
1743177537873379,0.00017763316,7.381354e-05,0.026825387
1743177538373379,0.00020444451,9.56492e-05,0.051539864
1743177538873379,4.475079e-05,2.0746184e-05,0.01102987
1743177539373379,0.00015570612,6.80263e-05,0.016889332
1743177539873379,4.8834234e-05,1.6960334e-05,0.002107546
1743177540373379,9.401098e-06,1.2366582e-05,0.0034337877
1743177540873379,0.0005387088,8.172129e-05,0.0089995265
1743177541373379,0.00014422763,8.2917286e-05,0.010419301
1743177541873379,7.202734e-05,8.394692e-05,0.03414653
1743177542373379,2.332972e-05,1.6735874e-05,0.01998138
1743177542873379,2.4589632e-05,1.0939467e-05,0.013327088
1743177543373379,1.2952276e-05,6.8639434e-05,0.00257736
1743177543873379,6.146634e-06,1.5051772e-05,0.001828473
1743177544373379,7.591172e-06,7.2069565e-06,0.0009279803
1743177544873379,2.7530705e-05,7.687605e-06,0.00096003537
1743177545373379,0.00041158023,9.311888e-05,0.030787848
1743177545873379,0.00011885467,0.00023722637,0.051069397
1743177546373379,0.0016176371,0.0006467395,0.1030216
1743177546873379,0.00014472284,7.096857e-05,0.03511475
1743177547373379,0.00031978555,2.8798548e-05,0.009685705
1743177547873379,1.3636343e-05,3.8725768e-05,0.0054896623
1743177548373379,1.0433432e-05,4.928047e-05,0.0016023652
1743177548873379,1.2660808e-05,3.5300593e-05,0.0015546206
1743177549373379,1.3324928e-05,3.245029e-05,0.00018717449
1743177549873379,8.710659e-06,1.6668215e-05,0.00014562882
1743177550373379,7.40626e-06,9.25999e-06,1.7790951e-05
1743177550873379,6.3800962e-06,7.155113e-06,2.6874479e-05
1743177551373379,7.6240935e-06,2.2781822e-05,1.5506306e-05
1743177551873379,5.0376275e-06,7.692559e-06,5.5063705e-05
1743177552373379,7.0003525e-06,8.288459e-06,2.217197e-05
