timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
21726356000,-0.0,-0.0,-1.0712705,0.0,0.8599446,-0.0,0.0,-0.5103875,0.0,0.0,-0.001,0,0,0,0,0
21726364000,-0.0,-0.0,-1.0712653,0.0,0.8599459,-0.0,0.0,-0.5103853,0.0,0.0,-0.001,0,0,0,0,0
21726412000,-0.0,-0.0,-1.0712674,0.0,0.85994536,-0.0,0.0,-0.51038605,0.0,0.0,-0.001,0,0,0,0,0
21726452000,-0.0,-0.0,-1.0713533,0.0,0.8599234,-0.0,0.0,-0.51042306,0.0,0.0,-0.001,0,0,0,0,0
21726508000,-0.0,-0.0,-1.0713632,0.0,0.8599209,-0.0,0.0,-0.5104273,0.0,0.0,-0.001,0,0,0,0,0
21726556000,-0.0,-0.0,-1.0712874,0.0,0.8599403,-0.0,0.0,-0.51039475,0.0,0.0,-0.001,0,0,0,0,0
21726604000,-0.0,-0.0,-1.0713049,0.0,0.85993576,-0.0,0.0,-0.51040226,0.0,0.0,-0.001,0,0,0,0,0
21726660000,-0.0,-0.0,-1.0712669,0.0,0.8599455,-0.0,0.0,-0.51038593,0.0,0.0,-0.001,0,0,0,0,0
21726708000,-0.0,-0.0,-1.0713458,0.0,0.8599253,-0.0,0.0,-0.5104198,0.0,0.0,-0.001,0,0,0,0,0
21726756000,-0.0,-0.0,-1.0712483,0.0,0.85995024,-0.0,0.0,-0.5103779,0.0,0.0,-0.001,0,0,0,0,0
21726804000,-0.0,-0.0,-1.0712713,0.0,0.8599444,-0.0,0.0,-0.5103878,0.0,0.0,-0.001,0,0,0,0,0
21726852000,-0.0,-0.0,-1.0712899,0.0,0.8599397,-0.0,0.0,-0.51039577,0.0,0.0,-0.001,0,0,0,0,0
21726908000,-0.0,-0.0,-1.071182,0.0,0.8599672,-0.0,0.0,-0.51034945,0.0,0.0,-0.001,0,0,0,0,0
21726956000,-0.0,-0.0,-1.0712237,0.0,0.8599565,-0.0,0.0,-0.51036733,0.0,0.0,-0.001,0,0,0,0,0
21727012000,-0.0,-0.0,-1.0711964,0.0,0.85996354,-0.0,0.0,-0.5103556,0.0,0.0,-0.001,0,0,0,0,0
21727052000,-0.0,-0.0,-1.0710964,0.0,0.859989,-0.0,0.0,-0.5103126,0.0,0.0,-0.001,0,0,0,0,0
21727108000,-0.0,-0.0,-1.071079,0.0,0.85999346,-0.0,0.0,-0.5103051,0.0,0.0,-0.001,0,0,0,0,0
21727156000,-0.0,-0.0,-1.0710156,0.0,0.8600096,-0.0,0.0,-0.5102778,0.0,0.0,-0.001,0,0,0,0,0
21727204000,-0.0,-0.0,-1.0710117,0.0,0.8600106,-0.0,0.0,-0.51027614,0.0,0.0,-0.001,0,0,0,0,0
21727252000,-0.0,-0.0,-1.0710717,0.0,0.8599953,-0.0,0.0,-0.510302,0.0,0.0,-0.001,0,0,0,0,0
21727308000,-0.0,-0.0,-1.0711205,0.0,0.85998285,-0.0,0.0,-0.5103229,0.0,0.0,-0.001,0,0,0,0,0
21727356000,-0.0,-0.0,-1.0711823,0.0,0.8599671,-0.0,0.0,-0.51034945,0.0,0.0,-0.001,0,0,0,0,0
21727412000,-0.0,-0.0,-1.071182,0.0,0.8599672,-0.0,0.0,-0.51034945,0.0,0.0,-0.001,0,0,0,0,0
21727460000,-0.0,-0.0,-1.0712423,0.0,0.85995173,-0.0,0.0,-0.5103753,0.0,0.0,-0.001,0,0,0,0,0
21727508000,-0.0,-0.0,-1.0712895,0.0,0.85993975,-0.0,0.0,-0.51039565,0.0,0.0,-0.001,0,0,0,0,0
21727556000,-0.0,-0.0,-1.0710864,0.0,0.85999155,-0.0,0.0,-0.51030827,0.0,0.0,-0.001,0,0,0,0,0
21727604000,-0.0,-0.0,-1.0710602,0.0,0.8599982,-0.0,0.0,-0.510297,0.0,0.0,-0.001,0,0,0,0,0
21727660000,-0.0,-0.0,-1.0710895,0.0,0.8599908,-0.0,0.0,-0.5103096,0.0,0.0,-0.001,0,0,0,0,0
21727708000,-0.0,-0.0,-1.0710549,0.0,0.8599996,-0.0,0.0,-0.51029474,0.0,0.0,-0.001,0,0,0,0,0
21727756000,-0.0,-0.0,-1.0710676,0.0,0.8599964,-0.0,0.0,-0.51030016,0.0,0.0,-0.001,0,0,0,0,0
21727804000,-0.0,-0.0,-1.0710655,0.0,0.85999686,-0.0,0.0,-0.5102993,0.0,0.0,-0.001,0,0,0,0,0
21727860000,-0.0,-0.0,-1.0712126,0.0,0.85995936,-0.0,0.0,-0.5103625,0.0,0.0,-0.001,0,0,0,0,0
21727908000,-0.0,-0.0,-1.0711384,0.0,0.85997826,-0.0,0.0,-0.5103307,0.0,0.0,-0.001,0,0,0,0,0
21727956000,-0.0,-0.0,-1.0711188,0.0,0.8599833,-0.0,0.0,-0.5103222,0.0,0.0,-0.001,0,0,0,0,0
21728012000,-0.0,-0.0,-1.0712444,0.0,0.85995126,-0.0,0.0,-0.51037616,0.0,0.0,-0.001,0,0,0,0,0
21728052000,-0.0,-0.0,-1.0712988,0.0,0.85993737,-0.0,0.0,-0.5103996,0.0,0.0,-0.001,0,0,0,0,0
21728108000,-0.0,-0.0,-1.0712826,0.0,0.8599415,-0.0,0.0,-0.5103926,0.0,0.0,-0.001,0,0,0,0,0
21728156000,-0.0,-0.0,-1.0712444,0.0,0.85995126,-0.0,0.0,-0.51037616,0.0,0.0,-0.001,0,0,0,0,0
21728204000,-0.0,-0.0,-1.0711695,0.0,0.8599704,-0.0,0.0,-0.51034397,0.0,0.0,-0.001,0,0,0,0,0
21728252000,-0.0,-0.0,-1.0710456,0.0,0.860002,-0.0,0.0,-0.51029074,0.0,0.0,-0.001,0,0,0,0,0
21728308000,-0.0,-0.0,-1.0709717,0.0,0.8600208,-0.0,0.0,-0.510259,0.0,0.0,-0.001,0,0,0,0,0
21728356000,-0.0,-0.0,-1.0710065,0.0,0.86001194,-0.0,0.0,-0.51027393,0.0,0.0,-0.001,0,0,0,0,0
21728404000,-0.0,-0.0,-1.0710933,0.0,0.85998976,-0.0,0.0,-0.51031125,0.0,0.0,-0.001,0,0,0,0,0
21728452000,-0.0,-0.0,-1.071054,0.0,0.85999984,-0.0,0.0,-0.5102943,0.0,0.0,-0.001,0,0,0,0,0
21728508000,-0.0,-0.0,-1.07095,0.0,0.86002636,-0.0,0.0,-0.5102497,0.0,0.0,-0.001,0,0,0,0,0
21728556000,-0.0,-0.0,-1.0709611,0.0,0.86002356,-0.0,0.0,-0.5102543,0.0,0.0,-0.001,0,0,0,0,0
21728604000,-0.0,-0.0,-1.071048,0.0,0.8600013,-0.0,0.0,-0.51029176,0.0,0.0,-0.001,0,0,0,0,0
21728660000,-0.0,-0.0,-1.0710214,0.0,0.8600081,-0.0,0.0,-0.5102804,0.0,0.0,-0.001,0,0,0,0,0
21728708000,-0.0,-0.0,-1.0709525,0.0,0.86002576,-0.0,0.0,-0.5102507,0.0,0.0,-0.001,0,0,0,0,0
21728756000,-0.0,-0.0,-1.071007,0.0,0.8600118,-0.0,0.0,-0.5102741,0.0,0.0,-0.001,0,0,0,0,0
21728804000,-0.0,-0.0,-1.0709355,0.0,0.86003006,-0.0,0.0,-0.5102434,0.0,0.0,-0.001,0,0,0,0,0
21728852000,-0.0,-0.0,-1.0709519,0.0,0.8600259,-0.0,0.0,-0.51025045,0.0,0.0,-0.001,0,0,0,0,0
21728908000,-0.0,-0.0,-1.0709162,0.0,0.86003494,-0.0,0.0,-0.5102351,0.0,0.0,-0.001,0,0,0,0,0
21728956000,-0.0,-0.0,-1.0708694,0.0,0.8600469,-0.0,0.0,-0.510215,0.0,0.0,-0.001,0,0,0,0,0
21729004000,-0.0,-0.0,-1.070873,0.0,0.86004597,-0.0,0.0,-0.51021653,0.0,0.0,-0.001,0,0,0,0,0
21729052000,-0.0,-0.0,-1.0708327,0.0,0.8600563,-0.0,0.0,-0.5101992,0.0,0.0,-0.001,0,0,0,0,0
21729108000,-0.0,-0.0,-1.0707341,0.0,0.86008143,-0.0,0.0,-0.5101568,0.0,0.0,-0.001,0,0,0,0,0
21729156000,-0.0,-0.0,-1.070879,0.0,0.8600445,-0.0,0.0,-0.5102191,0.0,0.0,-0.001,0,0,0,0,0
21729204000,-0.0,-0.0,-1.0710839,0.0,0.8599922,-0.0,0.0,-0.5103072,0.0,0.0,-0.001,0,0,0,0,0
21729252000,-0.0,-0.0,-1.0711844,0.0,0.8599666,-0.0,0.0,-0.5103504,0.0,0.0,-0.001,0,0,0,0,0
21729308000,-0.0,-0.0,-1.0712479,0.0,0.85995036,-0.0,0.0,-0.5103777,0.0,0.0,-0.001,0,0,0,0,0
21729356000,-0.0,-0.0,-1.0713255,0.0,0.8599305,-0.0,0.0,-0.51041114,0.0,0.0,-0.001,0,0,0,0,0
21729404000,-0.0,-0.0,-1.0713012,0.0,0.8599368,-0.0,0.0,-0.5104007,0.0,0.0,-0.001,0,0,0,0,0
21729452000,-0.0,-0.0,-1.0712874,0.0,0.8599403,-0.0,0.0,-0.51039475,0.0,0.0,-0.001,0,0,0,0,0
21729508000,-0.0,-0.0,-1.0713232,0.0,0.8599312,-0.0,0.0,-0.5104101,0.0,0.0,-0.001,0,0,0,0,0
21729556000,-0.0,-0.0,-1.0712715,0.0,0.8599443,-0.0,0.0,-0.5103879,0.0,0.0,-0.001,0,0,0,0,0
21729604000,-0.0,-0.0,-1.071283,0.0,0.8599414,-0.0,0.0,-0.5103928,0.0,0.0,-0.001,0,0,0,0,0
21729652000,-0.0,-0.0,-1.0713503,0.0,0.8599242,-0.0,0.0,-0.51042175,0.0,0.0,-0.001,0,0,0,0,0
21729708000,-0.0,-0.0,-1.0713677,0.0,0.8599198,-0.0,0.0,-0.5104292,0.0,0.0,-0.001,0,0,0,0,0
21729756000,-0.0,-0.0,-1.0713038,0.0,0.8599361,-0.0,0.0,-0.5104018,0.0,0.0,-0.001,0,0,0,0,0
21729812000,-0.0,-0.0,-1.071287,0.0,0.85994035,-0.0,0.0,-0.5103946,0.0,0.0,-0.001,0,0,0,0,0
21729860000,-0.0,-0.0,-1.0713378,0.0,0.8599274,-0.0,0.0,-0.51041645,0.0,0.0,-0.001,0,0,0,0,0
21729908000,-0.0,-0.0,-1.071257,0.0,0.85994804,-0.0,0.0,-0.51038164,0.0,0.0,-0.001,0,0,0,0,0
21729956000,-0.0,-0.0,-1.0711555,0.0,0.8599739,-0.0,0.0,-0.510338,0.0,0.0,-0.001,0,0,0,0,0
21730004000,-0.0,-0.0,-1.0712118,0.0,0.85995954,-0.0,0.0,-0.5103622,0.0,0.0,-0.001,0,0,0,0,0
21730052000,-0.0,-0.0,-1.0712277,0.0,0.8599555,-0.0,0.0,-0.510369,0.0,0.0,-0.001,0,0,0,0,0
21730108000,-0.0,-0.0,-1.0712535,0.0,0.8599489,-0.0,0.0,-0.51038015,0.0,0.0,-0.001,0,0,0,0,0
21730156000,-0.0,-0.0,-1.0713539,0.0,0.8599233,-0.0,0.0,-0.51042324,0.0,0.0,-0.001,0,0,0,0,0
21730212000,-0.0,-0.0,-1.0713228,0.0,0.85993123,-0.0,0.0,-0.5104099,0.0,0.0,-0.001,0,0,0,0,0
21730252000,-0.0,-0.0,-1.0712684,0.0,0.8599451,-0.0,0.0,-0.5103865,0.0,0.0,-0.001,0,0,0,0,0
21730308000,-0.0,-0.0,-1.0714151,0.0,0.8599077,-0.0,0.0,-0.5104495,0.0,0.0,-0.001,0,0,0,0,0
21730356000,-0.0,-0.0,-1.0711685,0.0,0.85997057,-0.0,0.0,-0.5103436,0.0,0.0,-0.001,0,0,0,0,0
21730404000,-0.0,-0.0,-1.0711219,0.0,0.8599825,-0.0,0.0,-0.5103236,0.0,0.0,-0.001,0,0,0,0,0
21730452000,-0.0,-0.0,-1.0710515,0.0,0.86000043,-0.0,0.0,-0.51029325,0.0,0.0,-0.001,0,0,0,0,0
21730508000,-0.0,-0.0,-1.0710083,0.0,0.86001146,-0.0,0.0,-0.5102747,0.0,0.0,-0.001,0,0,0,0,0
21730556000,-0.0,-0.0,-1.0709938,0.0,0.86001515,-0.0,0.0,-0.51026845,0.0,0.0,-0.001,0,0,0,0,0
21730604000,-0.0,-0.0,-1.0710436,0.0,0.86000246,-0.0,0.0,-0.51028985,0.0,0.0,-0.001,0,0,0,0,0
21730652000,-0.0,-0.0,-1.0710332,0.0,0.86000514,-0.0,0.0,-0.5102854,0.0,0.0,-0.001,0,0,0,0,0
21730708000,-0.0,-0.0,-1.0709537,0.0,0.8600254,-0.0,0.0,-0.5102512,0.0,0.0,-0.001,0,0,0,0,0
