timestamp,speed_up,speed_down,want_takeoff
1743177450773379,3.6000001,1.8000001,0
1743177451773379,3.6000001,1.8000001,0
1743177452773379,3.6000001,1.8000001,0
1743177453773379,3.6000001,1.8000001,0
1743177454773379,3.6000001,1.8000001,1
1743177455773379,3.6000001,1.8000001,1
1743177456773379,3.6000001,1.8000001,1
1743177457773379,3.6000001,1.8000001,1
1743177458773379,3.6000001,1.8000001,1
1743177459773379,3.6000001,1.8000001,1
1743177460773379,3.6000001,1.8000001,1
1743177461773379,3.6000001,1.8000001,1
1743177462773379,3.6000001,1.8000001,1
1743177463773379,3.6000001,1.8000001,1
1743177464773379,3.6000001,1.8000001,1
1743177465773379,3.6000001,1.8000001,1
1743177466773379,3.6000001,1.8000001,1
1743177467773379,3.6000001,1.8000001,1
1743177468773379,3.6000001,1.8000001,1
1743177469773379,3.6000001,1.8000001,1
1743177470773379,3.6000001,1.8000001,0
1743177471773379,3.6000001,1.8000001,0
1743177472773379,3.6000001,1.8000001,0
1743177473773379,3.6000001,1.8000001,0
1743177474773379,3.6000001,1.8000001,0
1743177475773379,3.6000001,1.8000001,0
1743177476773379,3.6000001,1.8000001,0
1743177477773379,3.6000001,1.8000001,0
1743177478773379,3.6000001,1.8000001,0
1743177479773379,3.6000001,1.8000001,0
1743177480773379,3.6000001,1.8000001,0
1743177481773379,3.6000001,1.8000001,0
1743177482773379,3.6000001,1.8000001,0
1743177483773379,3.6000001,1.8000001,0
1743177484773379,3.6000001,1.8000001,0
1743177485773379,3.6000001,1.8000001,0
1743177486773379,3.6000001,1.8000001,0
1743177487773379,3.6000001,1.8000001,0
1743177488773379,3.6000001,1.8000001,0
1743177489773379,3.6000001,1.8000001,0
1743177490773379,3.6000001,1.8000001,0
1743177491773379,3.6000001,1.8000001,0
1743177492773379,3.6000001,1.8000001,0
1743177493773379,3.6000001,1.8000001,0
1743177494773379,3.6000001,1.8000001,0
1743177495773379,3.6000001,1.8000001,0
1743177496773379,3.6000001,1.8000001,0
1743177497773379,3.6000001,1.8000001,0
1743177498773379,3.6000001,1.8000001,0
1743177499773379,3.6000001,1.8000001,0
1743177500773379,3.6000001,1.8000001,0
1743177501773379,3.6000001,1.8000001,0
1743177502773379,3.6000001,1.8000001,0
1743177503773379,3.6000001,1.8000001,0
1743177504773379,3.6000001,1.8000001,0
1743177505773379,3.6000001,1.8000001,0
1743177506773379,3.6000001,1.8000001,0
1743177507773379,3.6000001,1.8000001,0
1743177508773379,3.6000001,1.8000001,0
1743177509773379,3.6000001,1.8000001,0
1743177510773379,3.6000001,1.8000001,0
1743177511773379,3.6000001,1.8000001,0
1743177512773379,3.6000001,1.8000001,0
1743177513773379,3.6000001,1.8000001,0
1743177514773379,3.6000001,1.8000001,0
1743177515773379,3.6000001,1.8000001,0
1743177516773379,3.6000001,1.8000001,0
1743177517773379,3.6000001,1.8000001,0
1743177518773379,3.6000001,1.8000001,0
1743177519773379,3.6000001,1.8000001,0
1743177520773379,3.6000001,1.8000001,0
1743177521773379,3.6000001,1.8000001,0
1743177522773379,3.6000001,1.8000001,0
1743177523773379,3.6000001,1.8000001,0
1743177524773379,3.6000001,1.8000001,0
1743177525773379,3.6000001,1.8000001,0
1743177526773379,3.6000001,1.8000001,0
1743177527773379,3.6000001,1.8000001,0
1743177528773379,3.6000001,1.8000001,0
1743177529773379,3.6000001,1.8000001,0
1743177530773379,3.6000001,1.8000001,0
1743177531773379,3.6000001,1.8000001,0
1743177532773379,3.6000001,1.8000001,0
1743177533773379,3.6000001,1.8000001,0
1743177534773379,3.6000001,1.8000001,0
1743177535773379,3.6000001,1.8000001,0
1743177536773379,3.6000001,1.8000001,0
1743177537773379,3.6000001,1.8000001,0
1743177538773379,3.6000001,1.8000001,0
1743177539773379,3.6000001,1.8000001,0
1743177540773379,3.6000001,1.8000001,0
1743177541773379,3.6000001,1.8000001,0
1743177542773379,3.6000001,1.8000001,0
1743177543773379,3.6000001,1.8000001,0
1743177544773379,3.6000001,1.8000001,0
1743177545773379,3.6000001,1.8000001,0
1743177546773379,3.6000001,1.8000001,0
1743177547773379,3.6000001,1.8000001,0
1743177548773379,3.6000001,1.8000001,0
1743177549773379,3.6000001,1.8000001,0
1743177550773379,3.6000001,1.8000001,0
1743177551773379,3.6000001,1.8000001,0
1743177552773379,3.6000001,1.8000001,0
1743177553773379,3.6000001,1.8000001,0
1743177554773379,3.6000001,1.8000001,0
1743177555773379,3.6000001,1.8000001,0
1743177556773379,3.6000001,1.8000001,0
1743177557773379,3.6000001,1.8000001,0
1743177558773379,3.6000001,1.8000001,0
1743177559773379,3.6000001,1.8000001,0
1743177560773379,3.6000001,1.8000001,0
1743177561773379,3.6000001,1.8000001,0
1743177562773379,3.6000001,1.8000001,0
1743177563773379,3.6000001,1.8000001,0
1743177564773379,3.6000001,1.8000001,0
1743177565773379,3.6000001,1.8000001,0
1743177566773379,3.6000001,1.8000001,0
1743177567773379,3.6000001,1.8000001,0
1743177568773379,3.6000001,1.8000001,0
1743177569773379,3.6000001,1.8000001,0
1743177570773379,3.6000001,1.8000001,0
1743177571773379,3.6000001,1.8000001,0
1743177572773379,3.6000001,1.8000001,0
1743177573773379,3.6000001,1.8000001,0
1743177574773379,3.6000001,1.8000001,0
1743177575773379,3.6000001,1.8000001,0
1743177576773379,3.6000001,1.8000001,0
1743177577773379,3.6000001,1.8000001,0
1743177578773379,3.6000001,1.8000001,0
1743177579773379,3.6000001,1.8000001,0
1743177580773379,3.6000001,1.8000001,0
