timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
1743177450725379,1743177450725379,1310988,0.02633622,0.019153614,-9.78989,0.1540046,0,0,0,0,1
1743177451725379,1743177451725379,1310988,0.007182605,0.08140286,-9.715671,-0.58056647,0,0,0,0,1
1743177452725379,1743177452725379,1310988,0.04070143,0.0023942017,-9.864111,-0.59592783,0,0,0,0,1
1743177453725379,1743177453725379,1310988,0.007182605,-0.0047884034,-9.861717,0.6721046,0,0,0,0,1
1743177454725379,1743177454725379,1310988,-0.076614454,0.016759412,-9.828198,-0.7151433,0,0,0,0,1
1743177455725379,1743177455725379,1310988,-0.02873042,-0.023942016,-9.830592,0.31014398,0,0,0,0,1
1743177456725379,1743177456725379,1310988,0.02873042,0.14604631,-9.727641,0.14859739,0,0,0,0,1
1743177457725379,1743177457725379,1310988,0.02633622,0.11971009,-9.787497,-0.3112897,0,0,0,0,1
1743177458725379,1743177458725379,1310988,-0.011971008,-0.047884032,-12.0571995,0.2852902,0,0,0,0,1
1743177459725379,1743177459725379,1310988,0.05746084,0.035913024,-10.012551,0.8878162,0,0,0,0,1
1743177460725379,1743177460725379,1310988,-0.22026655,-0.14844051,-9.837775,-0.22017735,0,0,0,0,1
1743177461725379,1743177461725379,1310988,-0.8595184,-0.8595184,-9.749189,0.24040027,0,0,0,0,1
1743177462725379,1743177462725379,1310988,-0.91219085,-1.0055647,-9.775525,-0.8072624,0,0,0,0,1
1743177463725379,1743177463725379,1310988,-0.93134445,-0.9959879,-9.801862,-0.24238524,0,0,0,0,1
1743177464725379,1743177464725379,1310988,-0.94331545,-0.9888053,-9.753978,-0.56825584,0,0,0,0,1
1743177465725379,1743177465725379,1310988,-1.0486604,-0.94810385,-9.136273,-0.61027867,0,0,0,0,1
1743177466725379,1743177466725379,1310988,-1.055843,-0.93373865,-8.899248,0.9443233,0,0,0,0,1
1743177467725379,1743177467725379,1310988,-1.0941502,-1.0414777,-9.150639,-0.99176794,0,0,0,0,1
1743177468725379,1743177468725379,1310988,-1.0965444,-1.0486604,-9.279925,-0.3512978,0,0,0,0,1
1743177469725379,1743177469725379,1310988,-1.0534488,-1.1420342,-9.349358,0.05983323,0,0,0,0,1
1743177470725379,1743177470725379,1310988,-1.3910311,-0.830788,-9.785102,-0.24068908,0,0,0,0,1
1743177471725379,1743177471725379,1310988,-1.8842367,-0.9983821,-9.543288,0.047305875,0,0,0,0,1
1743177472725379,1743177472725379,1310988,-1.520318,-0.78529817,-9.655815,0.81806254,0,0,0,0,1
1743177473725379,1743177473725379,1310988,-1.4628572,-0.8882488,-9.787497,-0.9301115,0,0,0,0,1
1743177474725379,1743177474725379,1310988,0.0047884034,-2.15957,-10.565612,0.009379515,0,0,0,0,1
1743177475725379,1743177475725379,1310988,-1.0654198,-1.7381904,-9.78989,-0.63163763,0,0,0,0,1
1743177476725379,1743177476725379,1310988,-0.47644615,-2.135628,-9.495404,0.617298,0,0,0,0,1
1743177477725379,1743177477725379,1310988,-0.35434186,-1.4628572,-9.765948,-0.56740874,0,0,0,0,1
1743177478725379,1743177478725379,1310988,0.009576807,-1.13964,-9.816227,-0.32863876,0,0,0,0,1
1743177479725379,1743177479725379,1310988,0.0,-0.78050977,-9.799467,-0.7420484,0,0,0,0,1
1743177480725379,1743177480725379,1310988,0.1388637,-0.4405331,-9.7803135,-0.5745039,0,0,0,0,1
1743177481725379,1743177481725379,1310988,0.20590134,-0.37110126,-9.947908,0.6911549,0,0,0,0,1
1743177482725379,1743177482725379,1310988,-0.46208093,-0.32321724,-10.247183,-0.8500611,0,0,0,0,1
1743177483725379,1743177483725379,1310988,-1.1827357,-0.06703765,-9.579201,0.05411835,0,0,0,0,1
1743177484725379,1743177484725379,1310988,-1.0342951,-0.023942016,-9.739613,-0.447759,0,0,0,0,1
1743177485725379,1743177485725379,1310988,-0.6560113,0.019153614,-9.832987,-0.011519369,0,0,0,0,1
1743177486725379,1743177486725379,1310988,-0.36152446,0.04070143,-9.878476,-0.15801913,0,0,0,0,1
1743177487725379,1743177487725379,1310988,-0.22026655,0.08140286,-9.861717,0.3739106,0,0,0,0,1
1743177488725379,1743177488725379,1310988,-0.1340753,0.08140286,-9.792285,-0.43652534,0,0,0,0,1
1743177489725379,1743177489725379,1310988,-0.20829555,0.0047884034,-9.488221,-0.9157683,0,0,0,0,1
1743177490725379,1743177490725379,1310988,-0.45489833,0.038307227,-9.938332,0.815915,0,0,0,0,1
1743177491725379,1743177491725379,1310988,-0.28491,0.045489833,-9.9550905,-0.18372089,0,0,0,0,1
1743177492725379,1743177492725379,1310988,-0.29927522,0.08140286,-9.902418,0.31542516,0,0,0,0,1
1743177493725379,1743177493725379,1310988,-0.830788,0.34476504,-9.722853,0.5055537,0,0,0,0,1
1743177494725379,1743177494725379,1310988,-1.7142484,0.11252748,-9.639056,0.35379294,0,0,0,0,1
1743177495725379,1743177495725379,1310988,-1.8962077,0.24899697,-9.672575,-0.53133553,0,0,0,0,1
1743177496725379,1743177496725379,1310988,-2.1523874,0.25378537,-9.572019,-0.24852829,0,0,0,0,1
1743177497725379,1743177497725379,1310988,-2.4013844,0.15083471,-9.52174,-0.6491617,0,0,0,0,1
1743177498725379,1743177498725379,1310988,-2.3415294,0.1436521,-9.648633,-0.10782252,0,0,0,0,1
1743177499725379,1743177499725379,1310988,-1.8076223,0.1604115,-9.794679,0.670332,0,0,0,0,1
1743177500725379,1743177500725379,1310988,-1.2785037,0.1604115,-9.7803135,0.07462819,0,0,0,0,1
1743177501725379,1743177501725379,1310988,-0.9648633,0.16759412,-9.737218,0.17177884,0,0,0,0,1
1743177502725379,1743177502725379,1310988,-0.7326257,0.14844051,-10.146626,0.155173,0,0,0,0,1
1743177503725379,1743177503725379,1310988,-0.91937345,-0.18674773,-10.81461,0.80759054,0,0,0,0,1
1743177504725379,1743177504725379,1310988,-2.0278888,-0.059855044,-9.560047,-0.09330041,0,0,0,0,1
1743177505725379,1743177505725379,1310988,-1.3790601,-0.019153614,-9.9550905,-0.3866634,0,0,0,0,1
1743177506725379,1743177506725379,1310988,-1.067814,0.007182605,-9.765948,0.7078095,0,0,0,0,1
1743177507725379,1743177507725379,1310988,-0.7541735,0.02633622,-9.818622,0.8685693,0,0,0,0,1
1743177508725379,1743177508725379,1310988,-0.5554548,-0.079008654,-9.828198,0.59504056,0,0,0,0,1
1743177509725379,1743177509725379,1310988,-0.47405192,0.007182605,-9.828198,0.7922879,0,0,0,0,1
1743177510725379,1743177510725379,1310988,-0.58897364,0.32321724,-9.751583,0.8426239,0,0,0,0,1
1743177511725379,1743177511725379,1310988,-0.6727707,0.0047884034,-9.983821,0.75449514,0,0,0,0,1
1743177512725379,1743177512725379,1310988,-0.22026655,0.10295067,-9.830592,0.48201218,0,0,0,0,1
1743177513725379,1743177513725379,1310988,-0.25139117,-0.08619126,-9.842564,-0.7911611,0,0,0,0,1
1743177514725379,1743177514725379,1310988,-0.4429273,-0.1436521,-9.344569,0.64994407,0,0,0,0,1
1743177515725379,1743177515725379,1310988,-0.2825158,-0.06703765,-9.816227,0.42822102,0,0,0,0,1
1743177516725379,1743177516725379,1310988,-0.30406362,-0.19393034,-9.97185,0.83872575,0,0,0,0,1
1743177517725379,1743177517725379,1310988,-0.91937345,0.110133275,-10.326192,0.92889047,0,0,0,0,1
1743177518725379,1743177518725379,1310988,-1.8483237,0.0023942017,-9.627085,0.13175866,0,0,0,0,1
1743177519725379,1743177519725379,1310988,-1.520318,0.011971008,-9.691729,0.19913499,0,0,0,0,1
1743177520725379,1743177520725379,1310988,-4.7285485,-1.448492,-8.760384,-0.21913461,0,0,0,0,1
1743177521725379,1743177521725379,1310988,-2.9999347,-0.2657564,-9.232041,-0.4909206,0,0,0,0,1
1743177522725379,1743177522725379,1310988,-2.1523874,-0.04309563,-9.694122,-0.7735408,0,0,0,0,1
1743177523725379,1743177523725379,1310988,-2.1739352,-0.033518825,-9.775525,-0.29463428,0,0,0,0,1
1743177524725379,1743177524725379,1310988,-2.0015526,0.011971008,-9.725247,0.08628919,0,0,0,0,1
1743177525725379,1743177525725379,1310988,-1.7142484,-0.016759412,-9.7084875,-0.17816468,0,0,0,0,1
1743177526725379,1743177526725379,1310988,-1.400608,0.016759412,-9.763555,0.39025202,0,0,0,0,1
1743177527725379,1743177527725379,1310988,-1.1779473,0.05746084,-10.086772,0.056526996,0,0,0,0,1
1743177528725379,1743177528725379,1310988,-0.78290397,-0.6392518,-9.751583,-0.04974786,0,0,0,0,1
1743177529725379,1743177529725379,1310988,-0.6919243,-0.2657564,-9.607931,0.17867902,0,0,0,0,1
1743177530725379,1743177530725379,1310988,-0.7541735,-0.19632454,-9.3733,-0.48851413,0,0,0,0,1
1743177531725379,1743177531725379,1310988,-1.1420342,0.16519992,-9.370906,-0.13726054,0,0,0,0,1
1743177532725379,1743177532725379,1310988,-0.6584055,0.02633622,-9.775525,-0.35245278,0,0,0,0,1
1743177533725379,1743177533725379,1310988,-0.545878,-0.033518825,-9.588778,-0.12063662,0,0,0,0,1
1743177534725379,1743177534725379,1310988,-0.36152446,-0.12449849,-9.097966,0.06882519,0,0,0,0,1
1743177535725379,1743177535725379,1310988,-0.4261679,0.011971008,-9.835381,0.22916712,0,0,0,0,1
1743177536725379,1743177536725379,1310988,-0.39264908,0.04070143,-9.983821,-0.54295605,0,0,0,0,1
1743177537725379,1743177537725379,1310988,-0.32321724,-0.08140286,-9.598354,0.34566092,0,0,0,0,1
1743177538725379,1743177538725379,1310988,-0.40940848,-0.15562311,-9.627085,0.3300423,0,0,0,0,1
1743177539725379,1743177539725379,1310988,-0.1316811,-0.15322891,-9.907207,0.7073025,0,0,0,0,1
1743177540725379,1743177540725379,1310988,-0.038307227,-0.1388637,-10.096349,-0.21979378,0,0,0,0,1
1743177541725379,1743177541725379,1310988,-0.33997664,0.06703765,-10.534488,0.8386291,0,0,0,0,1
1743177542725379,1743177542725379,1310988,-0.50757074,-0.090979666,-10.007763,-0.71914417,0,0,0,0,1
1743177543725379,1743177543725379,1310988,-0.17717093,-0.29927522,-9.92636,0.8379456,0,0,0,0,1
1743177544725379,1743177544725379,1310988,-0.16280572,-0.7422025,-9.821015,0.5163838,0,0,0,0,1
1743177545725379,1743177545725379,1310988,0.06703765,-1.6998832,-10.25676,-0.28182444,0,0,0,0,1
1743177546725379,1743177546725379,1310988,-1.2210429,-1.8100165,-10.096349,-0.36011022,0,0,0,0,1
1743177547725379,1743177547725379,1310988,-0.9720459,-2.896984,-9.552865,0.070798665,0,0,0,0,1
1743177548725379,1743177548725379,1310988,-2.80361,-1.9656396,-9.375694,-0.8405336,0,0,0,0,1
1743177549725379,1743177549725379,1310988,-4.1683054,-2.1092918,-8.616732,0.9967585,0,0,0,0,1
1743177550725379,1743177550725379,1310988,-4.1706996,-1.9967642,-8.664616,-0.18431203,0,0,0,0,1
1743177551725379,1743177551725379,1310988,-3.3518825,-2.1164744,-9.011775,0.354205,0,0,0,0,1
1743177552725379,1743177552725379,1310988,-3.2968156,-1.8770541,-9.100361,0.71592814,0,0,0,0,1
1743177553725379,1743177553725379,1310988,-3.1435869,-1.9033904,-9.176975,-0.91630346,0,0,0,0,1
1743177554725379,1743177554725379,1310988,-3.145981,-1.5849615,-9.224859,0.038950145,0,0,0,0,1
1743177555725379,1743177555725379,1310988,-3.1866825,-1.352724,-9.44752,0.094295196,0,0,0,0,1
1743177556725379,1743177556725379,1310988,-3.8163576,0.16759412,-9.289502,0.5901249,0,0,0,0,1
1743177557725379,1743177557725379,1310988,-5.1259856,-0.19153613,-8.418014,-0.9768651,0,0,0,0,1
1743177558725379,1743177558725379,1310988,-5.511452,-0.007182605,-7.9702973,-0.090550505,0,0,0,0,1
1743177559725379,1743177559725379,1310988,-5.616797,-0.095768064,-8.082825,0.5172071,0,0,0,0,1
1743177560725379,1743177560725379,1310988,-5.686229,-0.007182605,-8.013393,-0.06498373,0,0,0,0,1
1743177561725379,1743177561725379,1310988,-5.805939,-0.033518825,-7.920019,0.6523393,0,0,0,0,1
1743177562725379,1743177562725379,1310988,-5.896919,-0.045489833,-7.8146744,0.032384217,0,0,0,0,1
1743177563725379,1743177563725379,1310988,-5.932832,-0.059855044,-7.752425,-0.7200059,0,0,0,0,1
1743177564725379,1743177564725379,1310988,-6.0238113,-0.088585466,-7.788338,-0.888716,0,0,0,0,1
1743177565725379,1743177565725379,1310988,-6.007052,-0.007182605,-7.7452426,0.5348309,0,0,0,0,1
1743177566725379,1743177566725379,1310988,-6.069301,-0.04070143,-7.6853876,-0.1387281,0,0,0,0,1
1743177567725379,1743177567725379,1310988,-6.2847795,-0.0023942017,-7.563283,-0.6394621,0,0,0,0,1
1743177568725379,1743177568725379,1310988,-5.925649,-0.016759412,-7.8912888,0.23831406,0,0,0,0,1
1743177569725379,1743177569725379,1310988,-5.4779334,0.007182605,-8.152257,-0.66587114,0,0,0,0,1
1743177570725379,1743177570725379,1310988,-5.046977,0.04309563,-8.367735,-0.4180147,0,0,0,0,1
1743177571725379,1743177571725379,1310988,-4.7620673,0.12689269,-8.343793,-0.6550967,0,0,0,0,1
1743177572725379,1743177572725379,1310988,-4.6471453,-0.0047884034,-8.4108305,0.67626345,0,0,0,0,1
1743177573725379,1743177573725379,1310988,-4.6686935,0.11492168,-8.465898,-0.09436688,0,0,0,0,1
1743177574725379,1743177574725379,1310988,-4.6806645,0.093373865,-8.571242,-0.028759385,0,0,0,0,1
1743177575725379,1743177575725379,1310988,-4.618415,0.079008654,-8.62152,0.9060454,0,0,0,0,1
1743177576725379,1743177576725379,1310988,-4.596867,0.10295067,-8.690952,0.36491972,0,0,0,0,1
1743177577725379,1743177577725379,1310988,-4.5681367,0.05746084,-8.676587,-0.07790218,0,0,0,0,1
1743177578725379,1743177578725379,1310988,-4.606444,0.11492168,-8.688558,-0.6386398,0,0,0,0,1
1743177579725379,1743177579725379,1310988,-4.570531,0.011971008,-8.65025,-0.32170445,0,0,0,0,1
1743177580725379,1743177580725379,1310988,-4.618415,0.088585466,-8.602366,0.5983871,0,0,0,0,1
1743177581725379,1743177581725379,1310988,-4.534618,0.06464344,-8.602366,0.079531096,0,0,0,0,1
1743177582725379,1743177582725379,1310988,-4.6232033,0.06943185,-8.9040365,0.8560489,0,0,0,0,1
1743177583725379,1743177583725379,1310988,-4.5154643,0.04309563,-8.889671,-0.49891865,0,0,0,0,1
1743177584725379,1743177584725379,1310988,-4.211401,0.047884032,-8.995016,-0.6709093,0,0,0,0,1
1743177585725379,1743177585725379,1310988,-3.5984852,0.059855044,-9.296685,0.25595668,0,0,0,0,1
1743177586725379,1743177586725379,1310988,-2.3104045,0.06703765,-9.677363,-0.48288897,0,0,0,0,1
1743177587725379,1743177587725379,1310988,-1.0845734,0.02633622,-9.787497,0.2974791,0,0,0,0,1
1743177588725379,1743177588725379,1310988,-0.320823,-0.06943185,-9.883265,-0.17015909,0,0,0,0,1
1743177589725379,1743177589725379,1310988,-0.05746084,-0.02873042,-9.847352,0.6836062,0,0,0,0,1
1743177590725379,1743177590725379,1310988,0.02873042,-0.011971008,-9.78989,0.89302635,0,0,0,0,1
1743177591725379,1743177591725379,1310988,-0.04070143,-0.02873042,-9.744401,-0.74225885,0,0,0,0,1
1743177592725379,1743177592725379,1310988,-0.0047884034,-0.035913024,-9.818622,-0.49186602,0,0,0,0,1
1743177593725379,1743177593725379,1310988,-0.007182605,-0.02633622,-9.82341,-0.9653376,0,0,0,0,1
1743177594725379,1743177594725379,1310988,0.20111294,0.007182605,-9.368511,-0.7862364,0,0,0,0,1
1743177595725379,1743177595725379,1310988,0.019153614,-0.088585466,-9.77792,0.4322982,0,0,0,0,1
