timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
1743177450545379,4000.0,0.1386454,0.0,0.0,86,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177450809379,4000.0,0.1386454,4641.4346,0.0,104,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177452081379,4000.0,0.1386454,4331.6733,0.0,201,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177453341379,4000.0,0.1386454,4702.1914,0.0,306,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177454617379,4000.0,0.1386454,5140.4385,0.0,414,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177455617379,4000.0,0.1386454,4410.359,0.0,489,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177455869379,4000.0,0.1386454,4410.359,0.0,508,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177457137379,4000.0,0.1386454,4280.877,0.0,617,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177458393379,4000.0,0.1386454,5164.343,0.0,718,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177459665379,4000.0,0.1386454,4413.3467,0.0,827,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177460665379,4000.0,0.1386454,5144.4224,0.0,900,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177460933379,4000.0,0.1386454,5144.4224,0.0,919,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177462189379,4000.0,0.1386454,4411.355,0.0,1019,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177463445379,4000.0,0.1386454,4889.4424,0.0,1120,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177464721379,4000.0,0.1386454,4860.558,0.0,1237,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177465721379,4000.0,0.1386454,4874.5024,0.0,1315,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177465977379,4000.0,0.1386454,4874.5024,0.0,1332,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177467229379,4000.0,0.1386454,4683.267,0.0,1431,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
