timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
21726360000,1,0,1,0,0,0,0,0
21726864000,1,0,1,0,0,0,0,0
21727368000,1,0,1,0,0,0,0,0
21727392000,1,0,1,0,0,0,0,0
21727896000,1,0,1,0,0,0,0,0
21728400000,1,0,1,0,0,0,0,0
21728904000,1,0,1,0,0,0,0,0
21729408000,1,0,1,0,0,0,0,0
21729912000,1,0,1,0,0,0,0,0
21730284000,1,0,1,0,0,0,0,0
21730788000,1,0,1,0,0,0,0,0
21731296000,1,0,1,0,0,0,0,0
21731800000,1,0,1,0,0,0,0,0
21732292000,1,0,1,0,0,0,0,0
21732796000,1,0,1,0,0,0,0,0
21733300000,1,0,1,0,0,0,0,0
21733804000,1,0,1,0,0,0,0,0
21734308000,1,0,1,0,0,0,0,0
21734812000,1,0,1,0,0,0,0,0
21735320000,1,0,1,0,0,0,0,0
21735824000,1,0,1,0,0,0,0,0
21736328000,1,0,1,0,0,0,0,0
21736832000,1,0,1,0,0,0,0,0
21737252000,1,0,1,0,0,0,0,0
21737312000,1,0,1,0,0,0,0,0
21737468000,1,0,1,0,0,0,0,0
21737972000,1,0,1,0,0,0,0,0
21738476000,1,0,1,0,0,0,0,0
21738980000,1,0,1,0,0,0,0,0
21739172000,1,0,1,0,0,0,0,0
21739676000,1,0,1,0,0,0,0,0
21740180000,1,0,1,0,0,0,0,0
21740288000,1,0,1,0,0,0,0,0
21740792000,1,0,1,0,0,0,0,0
21741296000,1,0,1,0,0,0,0,0
21741800000,1,0,1,0,0,0,0,0
21742304000,1,0,1,0,0,0,0,0
21742808000,1,0,1,0,0,0,0,0
21743312000,1,0,1,0,0,0,0,0
21743816000,1,0,1,0,0,0,0,0
21744320000,1,0,1,0,0,0,0,0
21744824000,1,0,1,0,0,0,0,0
21745328000,1,0,1,0,0,0,0,0
21745832000,1,0,1,0,0,0,0,0
21746336000,1,0,1,0,0,0,0,0
21746840000,1,0,1,0,0,0,0,0
21747344000,1,0,1,0,0,0,0,0
21747848000,1,0,1,0,0,0,0,0
21748352000,1,0,1,0,0,0,0,0
21748856000,1,0,1,0,0,0,0,0
21749360000,1,0,1,0,0,0,0,0
21749864000,1,0,1,0,0,0,0,0
21750368000,1,0,1,0,0,0,0,0
21750872000,1,0,1,0,0,0,0,0
21751376000,1,0,1,0,0,0,0,0
21751880000,1,0,1,0,0,0,0,0
21752384000,1,0,1,0,0,0,0,0
21752888000,1,0,1,0,0,0,0,0
21753392000,1,0,1,0,0,0,0,0
21753896000,1,0,1,0,0,0,0,0
21754400000,1,0,1,0,0,0,0,0
21754904000,1,0,1,0,0,0,0,0
21755408000,1,0,1,0,0,0,0,0
21755912000,1,0,1,0,0,0,0,0
21756416000,1,0,1,0,0,0,0,0
21756920000,1,0,1,0,0,0,0,0
21757424000,1,0,1,0,0,0,0,0
21757928000,1,0,1,0,0,0,0,0
21758432000,1,0,1,0,0,0,0,0
21758936000,1,0,1,0,0,0,0,0
21759440000,1,0,1,0,0,0,0,0
21759944000,1,0,1,0,0,0,0,0
21760448000,1,0,1,0,0,0,0,0
21760952000,1,0,1,0,0,0,0,0
21761456000,1,0,1,0,0,0,0,0
21761960000,1,0,1,0,0,0,0,0
21762464000,1,0,1,0,0,0,0,0
21762968000,1,0,1,0,0,0,0,0
21763472000,1,0,1,0,0,0,0,0
21763976000,1,0,1,0,0,0,0,0
21764480000,1,0,1,0,0,0,0,0
21764984000,1,0,1,0,0,0,0,0
21765488000,1,0,1,0,0,0,0,0
21765992000,1,0,1,0,0,0,0,0
21766496000,1,0,1,0,0,0,0,0
21767000000,1,0,1,0,0,0,0,0
21767504000,1,0,1,0,0,0,0,0
21768008000,1,0,1,0,0,0,0,0
21768512000,1,0,1,0,0,0,0,0
21769016000,1,0,1,0,0,0,0,0
21769520000,1,0,1,0,0,0,0,0
21770024000,1,0,1,0,0,0,0,0
21770528000,1,0,1,0,0,0,0,0
21771032000,1,0,1,0,0,0,0,0
21771536000,1,0,1,0,0,0,0,0
21772040000,1,0,1,0,0,0,0,0
21772544000,1,0,1,0,0,0,0,0
21773048000,1,0,1,0,0,0,0,0
21773552000,1,0,1,0,0,0,0,0
21774056000,1,0,1,0,0,0,0,0
21774560000,1,0,1,0,0,0,0,0
21775064000,1,0,1,0,0,0,0,0
21775568000,1,0,1,0,0,0,0,0
21776072000,1,0,1,0,0,0,0,0
21776576000,1,0,1,0,0,0,0,0
21777080000,1,0,1,0,0,0,0,0
21777584000,1,0,1,0,0,0,0,0
21778088000,1,0,1,0,0,0,0,0
21778592000,1,0,1,0,0,0,0,0
21779096000,1,0,1,0,0,0,0,0
21779600000,1,0,1,0,0,0,0,0
21780104000,1,0,1,0,0,0,0,0
21780608000,1,0,1,0,0,0,0,0
21781112000,1,0,1,0,0,0,0,0
21781616000,1,0,1,0,0,0,0,0
21782120000,1,0,1,0,0,0,0,0
21782624000,1,0,1,0,0,0,0,0
21783128000,1,0,1,0,0,0,0,0
21783632000,1,0,1,0,0,0,0,0
21784136000,1,0,1,0,0,0,0,0
21784640000,1,0,1,0,0,0,0,0
21785144000,1,0,1,0,0,0,0,0
21785648000,1,0,1,0,0,0,0,0
21786152000,1,0,1,0,0,0,0,0
21786656000,1,0,1,0,0,0,0,0
21787160000,1,0,1,0,0,0,0,0
21787664000,1,0,1,0,0,0,0,0
21788168000,1,0,1,0,0,0,0,0
21788672000,1,0,1,0,0,0,0,0
21789176000,1,0,1,0,0,0,0,0
21789680000,1,0,1,0,0,0,0,0
21790184000,1,0,1,0,0,0,0,0
21790688000,1,0,1,0,0,0,0,0
21791192000,1,0,1,0,0,0,0,0
21791696000,1,0,1,0,0,0,0,0
21792200000,1,0,1,0,0,0,0,0
21792704000,1,0,1,0,0,0,0,0
21793208000,1,0,1,0,0,0,0,0
21793712000,1,0,1,0,0,0,0,0
21794216000,1,0,1,0,0,0,0,0
21794720000,1,0,1,0,0,0,0,0
21795224000,1,0,1,0,0,0,0,0
21795728000,1,0,1,0,0,0,0,0
21796232000,1,0,1,0,0,0,0,0
21796736000,1,0,1,0,0,0,0,0
21797240000,1,0,1,0,0,0,0,0
21797744000,1,0,1,0,0,0,0,0
21798248000,1,0,1,0,0,0,0,0
21798752000,1,0,1,0,0,0,0,0
21799256000,1,0,1,0,0,0,0,0
21799760000,1,0,1,0,0,0,0,0
21800264000,1,0,1,0,0,0,0,0
21800768000,1,0,1,0,0,0,0,0
21801272000,1,0,1,0,0,0,0,0
21801776000,1,0,1,0,0,0,0,0
21802280000,1,0,1,0,0,0,0,0
21802784000,1,0,1,0,0,0,0,0
21803288000,1,0,1,0,0,0,0,0
21803792000,1,0,1,0,0,0,0,0
21804296000,1,0,1,0,0,0,0,0
21804800000,1,0,1,0,0,0,0,0
21805304000,1,0,1,0,0,0,0,0
21805808000,1,0,1,0,0,0,0,0
21806312000,1,0,1,0,0,0,0,0
21806348000,1,0,1,0,0,0,0,0
21806852000,1,0,1,0,0,0,0,0
