timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
21690616000,21690612000,1310988,250.0,0.48828125,73.73047,nan,nan,nan,nan,nan,nan,nan,nan,7.463391,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21736184000,21736180000,1310988,250.0,0.48828125,73.76674,nan,nan,nan,nan,nan,nan,nan,nan,9.990386,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21736696000,21736692000,1310988,250.0,0.48828125,73.76674,nan,nan,nan,nan,nan,nan,nan,nan,9.330482,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21738744000,21738740000,1310988,250.0,0.48828125,73.73047,nan,nan,nan,nan,nan,nan,nan,nan,8.281961,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21742328000,21742324000,1310988,250.0,0.48828125,73.76674,nan,nan,nan,nan,nan,nan,nan,nan,8.714542,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21742840000,21742836000,1310988,250.0,0.48828125,73.769646,nan,nan,nan,nan,nan,nan,nan,nan,9.342636,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21743352000,21743348000,1310988,250.0,0.48828125,73.77939,nan,nan,nan,nan,nan,nan,nan,nan,9.052516,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21748472000,21748468000,1310988,250.0,0.48828125,73.77939,nan,nan,nan,nan,nan,nan,nan,nan,9.3589945,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21748984000,21748980000,1310988,250.0,0.48828125,73.78972,nan,nan,nan,nan,nan,nan,nan,nan,9.468157,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21751544000,21751540000,1310988,250.0,0.48828125,73.800804,nan,nan,nan,nan,nan,nan,nan,nan,9.421158,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21752056000,21752052000,1310988,250.0,0.48828125,73.83436,nan,nan,nan,nan,nan,nan,nan,nan,9.116835,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21753592000,21753588000,1310988,250.0,0.48828125,73.83436,nan,nan,nan,nan,nan,nan,nan,nan,8.712064,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21754104000,21754100000,1310988,250.0,0.48828125,73.83436,nan,nan,nan,nan,nan,nan,nan,nan,8.994337,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21754616000,21754612000,1310988,250.0,0.48828125,73.83436,nan,nan,nan,nan,nan,nan,nan,nan,9.211559,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21756664000,21756660000,1310988,250.0,0.48828125,73.83436,nan,nan,nan,nan,nan,nan,nan,nan,9.108222,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21757176000,21757172000,1310988,250.0,0.48828125,73.83669,nan,nan,nan,nan,nan,nan,nan,nan,9.661072,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21757688000,21757684000,1310988,250.0,0.48828125,73.83669,nan,nan,nan,nan,nan,nan,nan,nan,8.619686,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21759224000,21759220000,1310988,250.0,0.48828125,73.83436,nan,nan,nan,nan,nan,nan,nan,nan,8.844064,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
21759736000,21759732000,1310988,250.0,0.48828125,73.83752,nan,nan,nan,nan,nan,nan,nan,nan,9.417322,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
