timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
21727028000,21726910000,0.0008723638,0.0008153791,0.0010222842,1,0,0,0,0,0,0,0,0,0,0
21728012000,21727894000,0.00046635896,0.00016150155,0.00036569402,1,0,0,0,0,0,0,0,0,0,0
21729204000,21729090000,0.00064169505,0.0005349148,0.0007340951,1,0,0,0,0,0,0,0,0,0,0
21730044000,21729922000,0.00046926425,0.00070336676,0.00035296576,1,0,0,0,0,0,0,0,0,0,0
21731028000,21730910000,0.0004592299,0.0007575967,0.00040388425,1,0,0,0,0,0,0,0,0,0,0
21732012000,21731894000,0.00041564115,0.0006993172,0.0009403846,1,0,0,0,0,0,0,0,0,0,0
21733004000,21732886000,0.0008406888,0.0005766536,0.0010101803,1,0,0,0,0,0,0,0,0,0,0
21734044000,21733926000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21735028000,21734914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21736020000,21735902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21737212000,21737098000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21738204000,21738082000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21739036000,21738914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21740028000,21739906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21741012000,21740894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21742212000,21742090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21743036000,21742922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21744028000,21743910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21745020000,21744898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21746212000,21746094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21747044000,21746926000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21748028000,21747910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21749020000,21748902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21750012000,21749890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21751204000,21751086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21752036000,21751918000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21753028000,21752906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21754012000,21753894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21755212000,21755090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21756044000,21755922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21757028000,21756910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21758020000,21757898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21759212000,21759094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21760044000,21759926000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21761036000,21760914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21762020000,21761898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21763004000,21762886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21764204000,21764086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21765036000,21764918000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21766028000,21765906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21767012000,21766894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21768212000,21768094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21769044000,21768926000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21770036000,21769914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21771020000,21770902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21772212000,21772094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21773204000,21773082000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21774036000,21773914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21775028000,21774906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21776012000,21775894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21777212000,21777090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21778044000,21777922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21779028000,21778906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21780012000,21779898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21781212000,21781090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21782044000,21781926000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21783036000,21782914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21784020000,21783902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21785212000,21785094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21786204000,21786086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21787036000,21786918000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21788020000,21787902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21789012000,21788894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21790212000,21790090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21791044000,21790922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21792028000,21791906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21793020000,21792898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21794212000,21794094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21795044000,21794926000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21796036000,21795914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21797020000,21796902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21798212000,21798094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21799204000,21799082000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21800036000,21799918000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21801028000,21800906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21802012000,21801894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21803212000,21803090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21804044000,21803922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21805028000,21804910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21806020000,21805898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21807212000,21807094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21808044000,21807922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21809028000,21808910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21810020000,21809902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21811012000,21810890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21812204000,21812086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21813036000,21812914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21814028000,21813906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21815012000,21814894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21816212000,21816090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21817044000,21816922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21818028000,21817910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21819020000,21818898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21820212000,21820094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21821044000,21820922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21822036000,21821914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21823020000,21822902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21824012000,21823890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21825204000,21825086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21826036000,21825918000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21827028000,21826906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21828012000,21827894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21829212000,21829090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21830044000,21829922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21831028000,21830910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21832020000,21831898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21833212000,21833094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21834044000,21833922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21835036000,21834914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21836020000,21835902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21837012000,21836890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21838204000,21838086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21839036000,21838918000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21840028000,21839906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21841012000,21840894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21842212000,21842090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21843044000,21842922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21844028000,21843910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21845020000,21844898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21846212000,21846094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21847044000,21846926000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21848036000,21847914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21849020000,21848902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21850012000,21849890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
